pair,control_seconds,candidate_seconds,candidate_delta_percent
1,1.08,1.07,-0.925926
2,1.07,1.06,-0.934579
3,1.07,1.07,0.000000
4,1.07,1.06,-0.934579
5,1.08,1.08,0.000000
6,1.08,1.07,-0.925926
