geometry,workload,allocations,frees,failures,invalid_frees,wrong_owner_frees,requested_bytes,capacity_bytes,internal_fragmentation_bytes,peak_live_capacity_bytes,slabs_owned,slabs_reserved,retained_slab_bytes,slabs_from_system,slabs_to_system,depot_refills,depot_returns,depot_hits
s0,base64,3984,3984,0,0,0,4482646,4645444,162798,2048580,13,5,1179648,20,2,20,7,0
s0,bounce,3361596,3361596,0,0,0,1776012182,1776173828,161646,2267332,17,7,1572864,26,2,26,9,0
s0,permute,1487,1487,0,0,0,1918646,2085876,167230,2047988,13,6,1245184,20,1,20,7,0
s0,rexxcps,4141568,4141568,0,0,0,820952715,821131372,178657,2210764,14,6,1310720,22,2,22,8,0
s0,richards,1916,1916,0,0,0,2246964,2413388,166424,2375052,14,8,1441792,24,2,24,10,0
s0,sieve,1473,1473,0,0,0,3966310,4120964,154654,4083076,13,5,1179648,19,1,19,6,0
s0,towers,48285887,48285887,0,0,0,25496168669,25496413620,244951,3166900,13,8,1376256,37,16,93,80,56
s1,base64,3984,3984,0,0,0,4482646,4592524,109878,1995660,12,3,983040,15,0,15,3,0
s1,bounce,3361596,3361596,0,0,0,1776012182,1776125316,113134,2218820,16,5,1376256,22,1,22,6,0
s1,permute,1487,1487,0,0,0,1918646,2044636,125990,2006748,12,4,1048576,16,0,16,4,0
s1,rexxcps,4141568,4141568,0,0,0,820952715,821077404,124689,2156796,13,4,1114112,17,0,17,4,0
s1,richards,1916,1916,0,0,0,2246964,2366980,120016,2328644,13,6,1245184,20,1,20,7,0
s1,sieve,1473,1473,0,0,0,3966310,4079724,113414,4041836,12,3,983040,15,0,15,3,0
s1,towers,48285887,48285887,0,0,0,25496168669,25496279388,110719,3032668,12,6,1179648,29,11,85,73,56
s1b,base64,3984,3984,0,0,0,4482646,4645444,162798,2048580,13,1,1835008,14,0,14,1,0
s1b,bounce,3361596,3361596,0,0,0,1776012182,1776173828,161646,2267332,17,2,2490368,19,0,19,2,0
s1b,permute,1487,1487,0,0,0,1918646,2085876,167230,2047988,13,2,1966080,15,0,15,2,0
s1b,rexxcps,4141568,4141568,0,0,0,820952715,821131372,178657,2210764,14,2,2097152,16,0,16,2,0
s1b,richards,1916,1916,0,0,0,2246964,2413388,166424,2375052,14,2,2097152,16,0,16,2,0
s1b,sieve,1473,1473,0,0,0,3966310,4120964,154654,4083076,13,1,1835008,14,0,14,1,0
s1b,towers,48285887,48285887,0,0,0,25496168669,25496413620,244951,3166900,13,2,1966080,22,7,22,9,0
