workload,candidate,control_retained_slab_bytes,candidate_retained_slab_bytes,retained_delta_bytes,control_peak_live_capacity_bytes,candidate_peak_live_capacity_bytes,peak_live_delta_bytes
base64,s1,1179648,983040,-196608,2048580,1995660,-52920
bounce,s1,1572864,1376256,-196608,2267332,2218820,-48512
permute,s1,1245184,1048576,-196608,2047988,2006748,-41240
rexxcps,s1,1310720,1114112,-196608,2210764,2156796,-53968
richards,s1,1441792,1245184,-196608,2375052,2328644,-46408
sieve,s1,1179648,983040,-196608,4083076,4041836,-41240
towers,s1,1376256,1179648,-196608,3166900,3032668,-134232
base64,s1b,1179648,1835008,+655360,2048580,2048580,+0
bounce,s1b,1572864,2490368,+917504,2267332,2267332,+0
permute,s1b,1245184,1966080,+720896,2047988,2047988,+0
rexxcps,s1b,1310720,2097152,+786432,2210764,2210764,+0
richards,s1b,1441792,2097152,+655360,2375052,2375052,+0
sieve,s1b,1179648,1835008,+655360,4083076,4083076,+0
towers,s1b,1376256,1966080,+589824,3166900,3166900,+0
