runtime,vm,lifecycle,phase,sequence,elapsed_ns,correctness
crexx,shared,compile-load-first-result,compile,1,79055000,pass
crexx,shared,compile-load-first-result,assemble,1,7942000,pass
crexx,rxvm,compile-load-first-result,load_first_result,1,3040000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,1,2915000,pass
crexx,shared,compile-load-first-result,compile,2,77088000,pass
crexx,shared,compile-load-first-result,assemble,2,7240000,pass
crexx,rxvm,compile-load-first-result,load_first_result,2,3127000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,2,2687000,pass
crexx,shared,compile-load-first-result,compile,3,76990000,pass
crexx,shared,compile-load-first-result,assemble,3,7304000,pass
crexx,rxvm,compile-load-first-result,load_first_result,3,2887000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,3,2791000,pass
crexx,shared,compile-load-first-result,compile,4,77615000,pass
crexx,shared,compile-load-first-result,assemble,4,7091000,pass
crexx,rxvm,compile-load-first-result,load_first_result,4,2837000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,4,3533000,pass
crexx,shared,compile-load-first-result,compile,5,77304000,pass
crexx,shared,compile-load-first-result,assemble,5,7427000,pass
crexx,rxvm,compile-load-first-result,load_first_result,5,3052000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,5,2712000,pass
crexx,shared,compile-load-first-result,compile,6,77678000,pass
crexx,shared,compile-load-first-result,assemble,6,7115000,pass
crexx,rxvm,compile-load-first-result,load_first_result,6,2916000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,6,2957000,pass
crexx,shared,compile-load-first-result,compile,7,76629000,pass
crexx,shared,compile-load-first-result,assemble,7,7515000,pass
crexx,rxvm,compile-load-first-result,load_first_result,7,2991000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,7,2765000,pass
crexx,shared,compile-load-first-result,compile,8,77206000,pass
crexx,shared,compile-load-first-result,assemble,8,7247000,pass
crexx,rxvm,compile-load-first-result,load_first_result,8,2982000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,8,2862000,pass
crexx,shared,compile-load-first-result,compile,9,78016000,pass
crexx,shared,compile-load-first-result,assemble,9,7573000,pass
crexx,rxvm,compile-load-first-result,load_first_result,9,3145000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,9,3183000,pass
crexx,shared,compile-load-first-result,compile,10,78859000,pass
crexx,shared,compile-load-first-result,assemble,10,7030000,pass
crexx,rxvm,compile-load-first-result,load_first_result,10,3109000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,10,2774000,pass
oorexx,oorexx,compile-load-first-result,translate,1,89385000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,1,70060000,pass
oorexx,oorexx,compile-load-first-result,translate,2,4844000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,2,8850000,pass
oorexx,oorexx,compile-load-first-result,translate,3,4442000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,3,10245000,pass
oorexx,oorexx,compile-load-first-result,translate,4,4293000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,4,8938000,pass
oorexx,oorexx,compile-load-first-result,translate,5,4796000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,5,9027000,pass
oorexx,oorexx,compile-load-first-result,translate,6,4230000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,6,8706000,pass
oorexx,oorexx,compile-load-first-result,translate,7,4449000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,7,8619000,pass
oorexx,oorexx,compile-load-first-result,translate,8,4055000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,8,8867000,pass
oorexx,oorexx,compile-load-first-result,translate,9,4268000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,9,8762000,pass
oorexx,oorexx,compile-load-first-result,translate,10,4224000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,10,8201000,pass
netrexx,netrexx,compile-load-first-result,compile,1,668944000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,1,29625000,pass
netrexx,netrexx,compile-load-first-result,compile,2,439435000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,2,28824000,pass
netrexx,netrexx,compile-load-first-result,compile,3,440336000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,3,28753000,pass
netrexx,netrexx,compile-load-first-result,compile,4,445704000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,4,30364000,pass
netrexx,netrexx,compile-load-first-result,compile,5,441122000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,5,29804000,pass
netrexx,netrexx,compile-load-first-result,compile,6,453712000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,6,31060000,pass
netrexx,netrexx,compile-load-first-result,compile,7,467428000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,7,31727000,pass
netrexx,netrexx,compile-load-first-result,compile,8,458972000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,8,31314000,pass
netrexx,netrexx,compile-load-first-result,compile,9,460854000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,9,31560000,pass
netrexx,netrexx,compile-load-first-result,compile,10,462728000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,10,31598000,pass
crexx,shared,compile-load-first-result,compile,11,78378000,pass
crexx,shared,compile-load-first-result,assemble,11,7356000,pass
crexx,rxvm,compile-load-first-result,load_first_result,11,2849000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,11,2862000,pass
crexx,shared,compile-load-first-result,compile,12,77724000,pass
crexx,shared,compile-load-first-result,assemble,12,7162000,pass
crexx,rxvm,compile-load-first-result,load_first_result,12,2978000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,12,2984000,pass
crexx,shared,compile-load-first-result,compile,13,77177000,pass
crexx,shared,compile-load-first-result,assemble,13,7321000,pass
crexx,rxvm,compile-load-first-result,load_first_result,13,2825000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,13,2615000,pass
crexx,shared,compile-load-first-result,compile,14,78151000,pass
crexx,shared,compile-load-first-result,assemble,14,7005000,pass
crexx,rxvm,compile-load-first-result,load_first_result,14,3077000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,14,2749000,pass
crexx,shared,compile-load-first-result,compile,15,77265000,pass
crexx,shared,compile-load-first-result,assemble,15,7407000,pass
crexx,rxvm,compile-load-first-result,load_first_result,15,3178000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,15,2752000,pass
crexx,shared,compile-load-first-result,compile,16,77872000,pass
crexx,shared,compile-load-first-result,assemble,16,7348000,pass
crexx,rxvm,compile-load-first-result,load_first_result,16,2949000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,16,2938000,pass
crexx,shared,compile-load-first-result,compile,17,77380000,pass
crexx,shared,compile-load-first-result,assemble,17,7180000,pass
crexx,rxvm,compile-load-first-result,load_first_result,17,3257000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,17,2721000,pass
crexx,shared,compile-load-first-result,compile,18,77110000,pass
crexx,shared,compile-load-first-result,assemble,18,7368000,pass
crexx,rxvm,compile-load-first-result,load_first_result,18,2952000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,18,2926000,pass
crexx,shared,compile-load-first-result,compile,19,78419000,pass
crexx,shared,compile-load-first-result,assemble,19,6952000,pass
