role,runtime,workload,form,path,size_bytes,sha256
product,crexx,toolchain,compiler,/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/bin/rxc,3388392,161dc6126527ef9443a00088933ae6f35cffbf20a65944b4996f13018b0a73ce
product,crexx,toolchain,assembler,/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/bin/rxas,696256,448e20c0ec7d0cc74c200c7b6ae1ffded5113bb60ecd3e6b5ffa4f382b12f3ce
product,crexx,toolchain,linker,/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/bin/rxlink,158128,ecba085042b5b539e68722f67f581bae1f20108768bfc70d3a4e34219e226fd6
product,crexx,runtime,threaded-executable,/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/bin/rxvm,1197872,812117ce6d6c410ec19c30b5f3b77cc87a231f504a6e511533b10efe8e2a86c0
product,crexx,runtime,bytecode-executable,/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/bin/rxbvm,1181488,3c2d3010fa16ff5bdee279486c1c9581580256b46112665fd6a9c59cf7451c10
product,crexx,library,linked-rxbin,/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/bin/library.rxbin,862560,637c816a010255cd33260d86f24f700c8be9b1d62a3eaf0e8d9e9bdcdbdacf9b
build,crexx,toolchain,cmake-cache,/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/CMakeCache.txt,41343,6b609ca8bc9b18e74850aec9c70c336dfee538145416a217a7b1b9bc26f74380
tool,crexx,PERF2-11,matrix-driver,performance/tools/run_cross_runtime_matrix.crexx,31904,9dd43b437e4c9bfb46b0e66048103136a0f993aa1138f1997516ac142f200820
tool,crexx,PERF2-11,lifecycle-driver,performance/tools/run_lifecycle.crexx,18513,5da9fc920a1b94c1f0b030606c5c63b1e0d296f740d3526505b2607a83f880b2
tool,crexx,PERF2-11,artifact-inventory,performance/tools/inventory_performance_artifacts.crexx,8322,a5621d16720af1723ae2d3d3760d702f9bb978a51ae9957bfda1604813052754
manifest,all,PERF2-11,formal-matrix,/home/adrian/CLionProjects/CREXX/performance/evidence/2026-07-28-perf2-10-11-intel-linux/manifests/perf2-11-linux-x86-64-clang-baseline-v1.txt,9178,33b6227b16eb10bf3d381facc39fd6df43670faa8e35c3e7c1a53595c6db9cc5
manifest,all,PERF2-11,timing-append,/home/adrian/CLionProjects/CREXX/performance/evidence/2026-07-28-perf2-10-11-intel-linux/manifests/perf2-11-linux-x86-64-clang-timing-noise-append-v1.txt,2819,9946693b404e0d16d04e27e05181236264b8ece0f0ac1a8aa5ac1098cd714877
manifest,all,PERF2-11,rss-append,/home/adrian/CLionProjects/CREXX/performance/evidence/2026-07-28-perf2-10-11-intel-linux/manifests/perf2-11-linux-x86-64-clang-rss-noise-append-v1.txt,1238,4462822cdd4a55d3493210aab7693d73a41cbdd7eaf1d3180e39705a7be78777
benchmark,crexx,Sieve,source,tests/benchmarks/awfy_sieve.crexx,983,395cc773ded763af39cd7ca0813582281e7f1be5768e5207f05e379e1756c18d
benchmark,crexx,Sieve,rxas,/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxas,9774,966809207608512d0fe16771b9086baa36ff4754cee2ea5252fc8881bd498358
benchmark,crexx,Sieve,rxbin,/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxbin,4864,75d264a9acb4f17aab6c85e1a2991904580950ec6cd4da1c235d1010319e4f7f
benchmark,crexx,Permute,source,tests/benchmarks/awfy_permute.crexx,1313,272178f1429f704f8b90e530b96a4e161acb627872530a277d2c7e6e9daed7e4
benchmark,crexx,Permute,rxas,/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_awfy_permute_opt.rxas,29684,cf203b7484dec623bee0e263f6748a6b6a9160832714df245c1097d00779182d
benchmark,crexx,Permute,rxbin,/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_awfy_permute_opt.rxbin,11773,c1aa378b3dad522a6c9a4c35395da762cc89d870e4f36e920d22bbab7fac83e2
benchmark,crexx,Bounce,source,tests/benchmarks/awfy_bounce.crexx,2230,9d569ff3f2995dfc8408352b5b085bc0e91e828d05c99684802677c5105284f1
benchmark,crexx,Bounce,rxas,/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxas,45362,18682cbb57d7d2933f7963fb8da6a5359838950231fe3f5e389967c770631a2e
benchmark,crexx,Bounce,rxbin,/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxbin,17175,7510f0b3857f0f87fcda024e63ae49472888cd1f4e6daf968940b986dffb0aee
