rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,245960,6,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | ICOPY_REG_REG(r4,r3) | UNLINK_REG(r3)","r1=R33;r2=R31;r3=R27;c1=int:2;r4=R26","benchmark_awfy_towers_opt",295
2,164040,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1) | BR_ID(c2)","r1=R7;r2=R9;c1=int:1;r3=R6;c2=label@1154","benchmark_awfy_towers_opt",1143
3,163951,3,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_towers_opt",0
4,163951,3,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2) | SETNUMSTD_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_towers_opt",2
5,163950,2,1,4,over_3_symbols,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","r1=R15;c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_towers_opt",1036
6,163870,7,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | COPY_REG_REG(r4,r2)","r1=R8;r2=R6;c1=int:1;r3=R7;r4=R5","benchmark_awfy_towers_opt",127
7,163820,10,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R8;c1=int:0;r2=R7;r3=R6;c2=int:3","benchmark_awfy_towers_opt",88
8,163790,7,1,5,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r1,r3,c2) | ICOPY_REG_REG(r1,r2)","r1=R8;r2=R7;c1=int:0;r3=R6;c2=int:7","benchmark_awfy_towers_opt",110
9,136620,7,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r4,r2) | UNLINK_REG(r2)","c1=label@1137;r1=R1;r2=R6;r3=R15;c2=int:2;r4=R3","benchmark_awfy_towers_opt",1072
10,109330,6,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r1) | BR_ID(c2)","r1=R6;r2=R15;c1=int:2;r3=R3;c2=label@1137","benchmark_awfy_towers_opt",1075
11,109230,6,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r2,r4) | UNLINK_REG(r2)","c1=label@1246;r1=R7;r2=R6;r3=R15;c2=int:2;r4=R16","benchmark_awfy_towers_opt",1220
12,109230,6,1,8,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | COPY_REG_REG(r3,r5)","r1=R7;r2=R17;c1=int:0;c2=label@1246;r3=R6;r4=R15;c3=int:2;r5=R16","benchmark_awfy_towers_opt",1216
13,82050,3,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1) | BRF_ID_REG(c2,r3)","r1=R6;r2=R15;c1=int:3;r3=R1;c2=label@1137","benchmark_awfy_towers_opt",1063
14,82050,4,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SETTP_REG_INT(r4,c2)","r1=R17;c1=int:3;r2=R11;c2=int:256;r3=R18;r4=R8","benchmark_awfy_towers_opt",197
15,82050,1,1,6,over_3_symbols,"NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | IEQ_REG_REG_INT(r3,r4,c2)","r1=R3;c1=string@13784;r2=R1;c2=int:0;r3=R5;r4=R17","benchmark_awfy_towers_opt",1048
16,82050,1,1,3,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c2)","c1=int:1;r1=R3;c2=string@13784","benchmark_awfy_towers_opt",1044
17,82050,1,1,2,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1)","c1=int:1;r1=R3","benchmark_awfy_towers_opt",1042
18,82050,1,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c2) | LOAD_REG_INT(r2,c3)","c1=int:1;r1=R3;c2=string@13784;r2=R1;c3=int:0","benchmark_awfy_towers_opt",1046
19,82050,1,1,7,over_3_symbols,"SETOBJUNINIT_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | IEQ_REG_REG_INT(r3,r4,c2) | BRF_ID_REG(c3,r3)","r1=R3;c1=string@13784;r2=R1;c2=int:0;r3=R5;r4=R17;c3=label@1086","benchmark_awfy_towers_opt",1050
