rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,328010,9,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R27;r2=R33;c1=int:2;r3=R26","benchmark_awfy_towers_opt",298
2,245960,6,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | ICOPY_REG_REG(r4,r3)","r1=R33;r2=R31;r3=R27;c1=int:2;r4=R26","benchmark_awfy_towers_opt",295
3,245870,14,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1)","r1=R7;r2=R6;c1=int:3;r3=R8","benchmark_awfy_towers_opt",91
4,245660,6,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6)","r1=R8;r2=R21;r3=R5;r4=R22;r5=R7;r6=R23","benchmark_awfy_towers_opt",2119
5,245540,11,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1)","r1=R27;r2=R32;c1=int:2;r3=R25","benchmark_awfy_towers_opt",329
6,218580,12,1,7,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3)","r1=R5;r2=R17;c1=int:0;c2=label@1086;r3=R6;r4=R15;c3=int:3","benchmark_awfy_towers_opt",1056
7,164040,2,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | BR_ID(c1)","r1=R6;r2=R7;c1=label@1154","benchmark_awfy_towers_opt",1147
8,163951,3,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_towers_opt",0
9,163951,3,1,1,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1)","c1=int:1","benchmark_awfy_towers_opt",4
10,163951,3,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_towers_opt",2
11,163950,2,1,3,candidate,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2)","r1=R15;c1=int:18;c2=int:0","benchmark_awfy_towers_opt",1036
12,163950,8,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2)","r1=R17;c1=int:3;r2=R11;c2=int:256;r3=R18","benchmark_awfy_towers_opt",197
13,163930,10,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R27;r2=R32;c1=int:2;r3=R31","benchmark_awfy_towers_opt",286
14,163870,7,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4)","r1=R8;r2=R7;r3=R5;r4=R6","benchmark_awfy_towers_opt",131
15,163820,10,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r2,r1)","r1=R8;c1=int:0;r2=R7;r3=R6;c2=int:3","benchmark_awfy_towers_opt",88
16,163790,7,1,5,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r1,r3,c2)","r1=R8;r2=R7;c1=int:0;r3=R6;c2=int:7","benchmark_awfy_towers_opt",110
17,163780,4,1,5,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4)","r1=R5;c1=int:256;r2=R22;r3=R23;r4=R7","benchmark_awfy_towers_opt",2106
18,163780,4,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | CALL_REG_FUNC_REG(r5,c1,r6)","r1=R22;r2=R5;r3=R23;r4=R7;r5=R17;c1=func@10944;r6=R20","benchmark_awfy_towers_opt",2109
19,136620,7,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r4,r2)","c1=label@1137;r1=R1;r2=R6;r3=R15;c2=int:2;r4=R3","benchmark_awfy_towers_opt",1072
20,109330,6,1,3,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2) | BR_ID(c1)","r1=R3;r2=R6;c1=label@1137","benchmark_awfy_towers_opt",1079
21,109230,6,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r2,r4)","c1=label@1246;r1=R7;r2=R6;r3=R15;c2=int:2;r4=R16","benchmark_awfy_towers_opt",1220
22,82050,3,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | BRF_ID_REG(c1,r1)","r1=R1;r2=R6;c1=label@1137","benchmark_awfy_towers_opt",1067
23,82050,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R1;c1=int:0;r2=R5;r3=R17;c2=label@1086","benchmark_awfy_towers_opt",1053
