----- REXXCPS 2.2c-opaque -- Measuring cREXX clauses/second -----
 cREXX version is: macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
       System is: macOS
TRACE_KERNEL_BEGIN
   159 *-*     call time(\"R\")
       >L>   "R"
       >F>   "0.002505"
   160 *-*     do count
       >V>   "0"
   162 *-*       flag = opaque_zero as .string; p0 = opaque_marker
       >=>   "0"
   162 *-*       flag = opaque_zero as .string; p0 = opaque_marker
       >=>   "b"
   163 *-*       do lvar = 1 to 14
       >L>   "1"
   163 *-*       do lvar = 1 to 14
       >L>   "14"
   200 *-*         text = \"This is an awfully boring program\"; parse var text p1 (p0) p5
   201 *-*         text = \"is an awfully boring program This\"; parse var text p2 (p0) p6
   202 *-*         text = \"an awfully boring program This is\"; parse var text p3 (p0) p7
   203 *-*         text = \"awfully boring program This is an\"; parse var text p4 (p0) p8
   200 *-*         text = \"This is an awfully boring program\"; parse var text p1 (p0) p5
   201 *-*         text = \"is an awfully boring program This\"; parse var text p2 (p0) p6
   202 *-*         text = \"an awfully boring program This is\"; parse var text p3 (p0) p7
   203 *-*         text = \"awfully boring program This is an\"; parse var text p4 (p0) p8
   195 *-*         parse value opaque_foo_bar with v1 +5 v2 .
       >V>   "Key Bee"
   165 *-*         key1 = opaque_key
       >=>   "Key Bee"
   166 *-*         acompound.key1.lvar = substr(opaque_digits, 6, 2)
       >V>   "1"
       >C>   "Key Bee.1"
       >  >   substr.crexx
    51 *-*   available = .int
    52 *-*   copy_length = .int
    48 *-*   pad_character = .int
    47 *-*   pad_length = .int
    53 *-*   padding_length = .int
    50 *-*   start_offset = .int
    46 *-*   string_length = .int
       >V>   "12345678"
       >  >   rexxcps_levelb_opaque.crexx
   166 *-*         acompound.key1.lvar = substr(opaque_digits, 6, 2)
       >=>   "12345678"
       >L>   " "
       >  >   substr.crexx
    49 *-*   pad_index = 0
       >L>   "0"
    54 *-*   result = \"\"
       >L>   ""
    60 *-*   assembler strlen pad_length,pad
       >V>   "1"
       >O>   "0"
       >V>   "0"
    64 *-*   assembler strlen string_length,string
    65 *-*   start_offset = start - 1
       >L>   "5"
    66 *-*   available = string_length - start_offset
       >O>   "3"
       >L>   "3"
    78 *-*   copy_length = length
       >L>   "2"
       >=>   "2"
       >O>   "1"
       >V>   "5"
       >O>   "0"
       >O>   "0"
       >O>   "0"
       >V>   "12345678"
    83 *-*     assembler setstrpos string,start_offset
       >V>   ""
    84 *-*     assembler substring result,string,copy_length
       >V>   "2"
    87 *-*   padding_length = length - copy_length
       >O>   "0"
       >V>   "67"
    92 *-*   return result
       >=>   "67"
       >  >   rexxcps_levelb_opaque.crexx
   167 *-*         if flag = acompound.key1.lvar then say \"Failed1\"
       >V>   "1"
       >C>   "Key Bee.1"
       >V>   "67"
       >O>   "0"
   168 *-*         do j = 1.1 to 2.2 by 1.1 /* executed 28 times */
       >L>   "1.1"
   168 *-*         do j = 1.1 to 2.2 by 1.1 /* executed 28 times */
       >L>   "2.2"
   168 *-*         do j = 1.1 to 2.2 by 1.1 /* executed 28 times */
       >L>   "1.1"
   168 *-*         do j = 1.1 to 2.2 by 1.1 /* executed 28 times */
   169 *-*           if j > (acompound.key1.lvar as .decimal) then say \"Failed2\"
       >V>   "1.1"
       >V>   "1"
       >C>   "Key Bee.1"
       >V>   "67"
       >O>   "0"
       >V>   "1.1"
   170 *-*           if 17 < length(j as .string) - 1 then say \"Failed3\"
       >=>   "1.1"
       >  >   length.crexx
    42 *-*   result = 0
       >L>   "0"
    43 *-*   assembler strlen result,string
       >V>   "3"
    44 *-*   return result
       >O>   "2"
       >V>   "1.1"
       >  >   rexxcps_levelb_opaque.crexx
   171 *-*           if (j as .string) = opaque_failure then say \"Failed4\"
       >V>   "foobar"
       >O>   "0"
       >  >   substr.crexx
    51 *-*   available = .int
    52 *-*   copy_length = .int
    48 *-*   pad_character = .int
    47 *-*   pad_length = .int
    53 *-*   padding_length = .int
    50 *-*   start_offset = .int
    46 *-*   string_length = .int
       >V>   "12345678"
       >  >   rexxcps_levelb_opaque.crexx
   172 *-*           if substr(opaque_digits, 1, 1) = opaque_nine then say \"Failed5\"
       >=>   "12345678"
       >L>   " "
       >  >   substr.crexx
    49 *-*   pad_index = 0
       >L>   "0"
    54 *-*   result = \"\"
       >L>   ""
    60 *-*   assembler strlen pad_length,pad
       >V>   "1"
       >O>   "0"
       >V>   "0"
    64 *-*   assembler strlen string_length,string
    65 *-*   start_offset = start - 1
       >L>   "0"
    66 *-*   available = string_length - start_offset
       >O>   "8"
       >L>   "8"
    78 *-*   copy_length = length
       >L>   "1"
       >=>   "1"
       >O>   "1"
       >V>   "0"
       >O>   "1"
       >V>   "1"
       >O>   "0"
       >O>   "0"
       >V>   "12345678"
    83 *-*     assembler setstrpos string,start_offset
       >V>   ""
    84 *-*     assembler substring result,string,copy_length
