capture,metric,samples,mean,min,max,mean_t95_low,mean_t95_high,relative_halfwidth_percent
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-cpu,backend_setup_ms,10,1.7944502,1.6995,1.882167,1.75110593152588,1.83779446847412,2.41546232233802
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-cpu,model_load_ms,10,16.6958085,16.026959,17.980125,16.2815651245673,17.1100518754327,2.48112198599229
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-cpu,context_create_ms.1,10,0.6774999,0.650292,0.719541,0.663480048902013,0.691519751097987,2.06935102100933
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-cpu,first_request_ms,10,2.4233126,2.28925,2.664375,2.35431900447228,2.49230619552772,2.84707781933382
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-cpu,preparation_requests_ms,10,758.8687375,708.406375,908.127291,719.305441104051,798.432033895949,5.21345714230968
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-cpu,warm_single_total_ms,10,1448.2098632,1365.258623,1512.638248,1417.35592104133,1479.06380535867,2.13048833202214
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-cpu,warm_batch_total_ms,10,2543.5861218,2458.774584,2686.698418,2493.84737962627,2593.32486397373,1.95545736578127
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-cpu,retained_growth_bytes,10,298188.8,180224,393216,248218.367493981,348159.232506019,16.7579843729941
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-cpu,load_cancel_elapsed_ms,10,18.3102874,17.81525,20.03675,17.8517574905954,18.7688173094046,2.50422016535156
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-metal,backend_setup_ms,10,46.868925,40.524041,52.822917,43.6667857695954,50.0710642304046,6.83211580040416
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-metal,model_load_ms,10,20.4107668,15.865917,28.373417,16.8042696907545,24.0172639092455,17.6695816702265
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-metal,context_create_ms.1,10,3.7807708,3.271458,4.729708,3.46299486554803,4.09854673445197,8.40505683264294
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-metal,first_request_ms,10,6.5618417,4.089583,9.130417,5.15507103504435,7.96861236495566,21.4386559333739
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-metal,preparation_requests_ms,10,149.9780875,139.9845,162.16925,144.30408558822,155.65208941178,3.78322060666381
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-metal,warm_single_total_ms,10,478.7485625,455.917167,492.995292,469.643183252972,487.853941747028,1.90191260303316
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-metal,warm_batch_total_ms,10,349.794612,337.955917,362.802126,342.85293423047,356.73628976953,1.98450105615981
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-metal,retained_growth_bytes,10,49152,32768,65536,39582.3273104417,58721.6726895583,19.4695489289516
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/bge-metal,load_cancel_elapsed_ms,10,20.7178791,15.91575,27.573958,17.4976282714575,23.9381299285425,15.5433421201039
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-cpu-bounded128,backend_setup_ms,10,2.3607833,1.823208,2.618208,2.13142844544344,2.59013815455656,9.71520149928889
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-cpu-bounded128,model_load_ms,10,270.0514665,245.666666,292.25125,258.851257781425,281.251675218575,4.14743488111173
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-cpu-bounded128,context_create_ms.1,10,9.3826958,9.017708,9.8415,9.20129765532459,9.56409394467541,1.93332650383278
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-cpu-bounded128,first_request_ms,10,238.86555,235.3525,243.535667,237.235059243306,240.496040756693,0.682597702637982
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-cpu-bounded128,preparation_requests_ms,10,773.1722917,731.765667,799.778291,756.47134448878,789.87323891122,2.16005506023748
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-cpu-bounded128,warm_single_total_ms,10,13007.0814398,10845.184124,14296.836043,12088.790979961,13925.371899639,7.05992704119756
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-cpu-bounded128,warm_batch_total_ms,10,5927.9669326,5111.205377,6341.943414,5594.01493830766,6261.91892689234,5.63349961444324
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-cpu-bounded128,retained_growth_bytes,10,219545.6,114688,376832,157971.616005536,281119.583994464,28.0461024928142
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-cpu-bounded128,load_cancel_elapsed_ms,10,70.333875,56.89075,76.131583,65.3064018955613,75.3613481044388,7.14801097542082
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-metal-bounded128,backend_setup_ms,10,35.1249832,33.938791,35.896584,34.7165603547304,35.5334060452696,1.16277022239156
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-metal-bounded128,model_load_ms,10,42.3049208,41.145208,44.949875,41.5608294793804,43.0490121206196,1.75887652440573
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-metal-bounded128,context_create_ms.1,10,12.2272292,12.036333,12.9855,12.0193329066192,12.4351254933808,1.7002731361311
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-metal-bounded128,first_request_ms,10,276.888075,261.035542,333.3465,262.251852157044,291.524297842956,5.28597081797619
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-metal-bounded128,preparation_requests_ms,10,832.1232751,791.62,935.018708,798.862325062349,865.384225137651,3.99711809931693
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-metal-bounded128,warm_single_total_ms,10,9978.4470529,9833.881914,10102.24849,9924.32134610299,10032.572759697,0.542426156195152
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-metal-bounded128,warm_batch_total_ms,10,5750.7662958,5634.349835,5897.729039,5680.46182729685,5821.07076430315,1.22252348447018
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-metal-bounded128,retained_growth_bytes,10,68812.8,32768,98304,51516.6479541862,86108.9520458138,25.1350795866667
/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-09-14-native-inference-step02/completion/capture/smol-metal-bounded128,load_cancel_elapsed_ms,10,44.5491916,43.470291,47.190959,43.5986217071001,45.4997614928999,2.1337534055273
