-- Install configuration: "Debug"
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/share/crexx/messages
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/share/crexx/messages/diagnostics.en_GB.msg
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/share/crexx/messages/diagnostics.nl_NL.msg
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/share/crexx/messages/diagnostics.de_DE.msg
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/share/crexx/messages/diagnostics.en_US.msg
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/include/crexx_version.h
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/./VERSION
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/./BUILDINFO
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/libcrexxsaa.dylib
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/include/crexxsaa.h
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/crexxsaa
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/include/rxpa/crexxpa.h
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/include/platform/rxinteger.h
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/include/rxpa/crexx_version.h
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/maclib.rexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/macsys.rexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/mathlib.rexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/syslib.rexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxpp-sh
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/functions/array-formatting/arrayformatdemo.rxbin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/exits/pprint/pprint_example.rxbin
-- Up-to-date: /tmp/crexx-rxvm-install.mGHAJT/examples
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/date1.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/time_sample.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/system.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/nthroot.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/sort.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/xref.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/classes
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/classes/README.md
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/plugins
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/plugins/README.md
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/lcm.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/anagram.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/sieveEratosthenes.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/README.md
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/caesar.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/exposeVars.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/strings1.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/stems.rxpp
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/ooBank.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/gausssqr.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/gcd.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/fibonacci.crexx
-- Up-to-date: /tmp/crexx-rxvm-install.mGHAJT/examples/functions
-- Up-to-date: /tmp/crexx-rxvm-install.mGHAJT/examples/functions/array-formatting
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/functions/array-formatting/array_formatting_example.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/functions/array-formatting/README.md
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/functions/array-formatting/arrayformat.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/functions/array-formatting/arraydump.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/functions/README.md
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/factorial.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/MonteCarlo.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/hello.crexx
-- Up-to-date: /tmp/crexx-rxvm-install.mGHAJT/examples/exits
-- Up-to-date: /tmp/crexx-rxvm-install.mGHAJT/examples/exits/pprint
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/exits/pprint/README.md
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/exits/pprint/pprint_example.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/exits/pprint/Pprint.crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/examples/exits/README.md
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/lib/cmake/CREXX/CREXXTargets.cmake
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/lib/cmake/CREXX/CREXXConfig.cmake
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/lib/cmake/CREXX/CREXXConfigVersion.cmake
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/lib/cmake/CREXX/CrexxOperationContract.cmake
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/lib/cmake/CREXX/RXPluginFunction.cmake
-- Up-to-date: /tmp/crexx-rxvm-install.mGHAJT/bin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/crexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxprecomp.rxplugin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxtvm_instrumented
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxfnsc.rxbin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rx_rxmath_static.a
-- Up-to-date: /tmp/crexx-rxvm-install.mGHAJT/bin/rxpp-sh
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/librxvmmemory.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rx_treemap.rxplugin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rx_strings.rxplugin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxvm
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rx_cipher.rxplugin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rx_keyaccess.rxplugin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/crexx-contract
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/librxpashim.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rx_getpi.rxplugin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/messages
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/messages/diagnostics.en_GB.msg
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/messages/diagnostics.nl_NL.msg
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/messages/diagnostics.de_DE.msg
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/messages/diagnostics.en_US.msg
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rx_id_static.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/library.rxbin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/exittestsupport.rxbin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/librxvmref.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/librxpa.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxfnsg.rxbin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/crexxsaa
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxc
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxdb
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/librxbin.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxas
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rx_map.rxplugin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/test_rxseqfile
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxbvm
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/libplatform.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/libavl_tree.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/test_rxcrexxcmd_flush
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/crexx_native_libs_argv
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxvm_db_decimal_manual.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxlink
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rx_rxtcp_static.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rx_llist_static.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/crexx_native_cflags
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/librxclib.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rx_system.rxplugin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxbvme
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxcpack
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rx_recv390.rxplugin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rexxscript
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/crexx_native_ldflags
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxtvm
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/maclib.rexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxvm_mc_decimal.rxvmplugin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rx_stack_static.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/crexx_native_ldflags_argv
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rx_id.rxplugin
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/crexx_native_cflags_argv
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxbvm_instrumented
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/librxvmplugin.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxpp
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/macsys.rexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/mathlib.rexx
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxprecomp_static.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/librxbvml.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rxas_test_flatten
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/rx_treemap_static.a
-- Installing: /tmp/crexx-rxvm-install.mGHAJT/bin/address_argv_fixture
