comparison,workload,crexx_cell,reference_cell,ratio_higher_is_better
rxvm/oorexx,Sieve,sieve-rxvm,sieve-oorexx,7.070043
rxvm/netrexx,Sieve,sieve-rxvm,sieve-netrexx,1.861973
rxbvm/oorexx,Sieve,sieve-rxbvm,sieve-oorexx,6.979285
rxbvm/netrexx,Sieve,sieve-rxbvm,sieve-netrexx,1.838070
rxvm/oorexx,Permute,permute-rxvm,permute-oorexx,2.052495
rxvm/netrexx,Permute,permute-rxvm,permute-netrexx,0.148597
rxbvm/oorexx,Permute,permute-rxbvm,permute-oorexx,2.037269
rxbvm/netrexx,Permute,permute-rxbvm,permute-netrexx,0.147494
rxvm/oorexx,Bounce,bounce-rxvm,bounce-oorexx,0.330164
rxvm/netrexx,Bounce,bounce-rxvm,bounce-netrexx,0.163196
rxbvm/oorexx,Bounce,bounce-rxbvm,bounce-oorexx,0.325103
rxbvm/netrexx,Bounce,bounce-rxbvm,bounce-netrexx,0.160694
rxvm/oorexx,Richards,richards-rxvm,richards-oorexx,0.151097
rxvm/netrexx,Richards,richards-rxvm,richards-netrexx,0.097623
rxbvm/oorexx,Richards,richards-rxbvm,richards-oorexx,0.150410
rxbvm/netrexx,Richards,richards-rxbvm,richards-netrexx,0.097179
rxvm/oorexx,Base64,base64-rxvm,base64-oorexx,0.741593
rxvm/netrexx,Base64,base64-rxvm,base64-netrexx,0.858257
rxbvm/oorexx,Base64,base64-rxbvm,base64-oorexx,0.728089
rxbvm/netrexx,Base64,base64-rxbvm,base64-netrexx,0.842630
