comparison,n,geometric_mean,membership
rxvm/oorexx,5,0.883021,Sieve;Permute;Bounce;Richards;Base64
rxvm/netrexx,5,0.327772,Sieve;Permute;Bounce;Richards;Base64
rxbvm/oorexx,5,0.872707,Sieve;Permute;Bounce;Richards;Base64
rxbvm/netrexx,5,0.323944,Sieve;Permute;Bounce;Richards;Base64
