comparison,n,geometric_mean,membership
rxvm/oorexx,5,2.453066,Sieve;Permute;Bounce;Richards;Base64
rxvm/netrexx,5,0.912280,Sieve;Permute;Bounce;Richards;Base64
rxbvm/oorexx,5,2.285744,Sieve;Permute;Bounce;Richards;Base64
rxbvm/netrexx,5,0.850054,Sieve;Permute;Bounce;Richards;Base64
