comparison,n,geometric_mean,membership
rxvm/oorexx,5,2.531116,Sieve;Permute;Bounce;Richards;Base64
rxvm/netrexx,5,0.798683,Sieve;Permute;Bounce;Richards;Base64
rxbvm/oorexx,5,2.567971,Sieve;Permute;Bounce;Richards;Base64
rxbvm/netrexx,5,0.810312,Sieve;Permute;Bounce;Richards;Base64
