comparison,workload,crexx_cell,reference_cell,ratio_higher_is_better
rxvm/oorexx,Sieve,sieve-rxvm,sieve-oorexx,7.409844
rxvm/netrexx,Sieve,sieve-rxvm,sieve-netrexx,1.969762
rxbvm/oorexx,Sieve,sieve-rxbvm,sieve-oorexx,7.042606
rxbvm/netrexx,Sieve,sieve-rxbvm,sieve-netrexx,1.872139
rxvm/oorexx,Permute,permute-rxvm,permute-oorexx,9.492960
rxvm/netrexx,Permute,permute-rxvm,permute-netrexx,0.611122
rxbvm/oorexx,Permute,permute-rxbvm,permute-oorexx,10.175540
rxbvm/netrexx,Permute,permute-rxbvm,permute-netrexx,0.655064
rxvm/oorexx,Bounce,bounce-rxvm,bounce-oorexx,4.920976
rxvm/netrexx,Bounce,bounce-rxvm,bounce-netrexx,1.895338
rxbvm/oorexx,Bounce,bounce-rxbvm,bounce-oorexx,5.206623
rxbvm/netrexx,Bounce,bounce-rxbvm,bounce-netrexx,2.005357
rxvm/oorexx,Richards,richards-rxvm,richards-oorexx,0.342747
rxvm/netrexx,Richards,richards-rxvm,richards-netrexx,0.172875
rxbvm/oorexx,Richards,richards-rxbvm,richards-oorexx,0.341700
rxbvm/netrexx,Richards,richards-rxbvm,richards-netrexx,0.172347
rxvm/oorexx,Base64,base64-rxvm,base64-oorexx,0.875639
rxvm/netrexx,Base64,base64-rxvm,base64-netrexx,0.823971
rxbvm/oorexx,Base64,base64-rxbvm,base64-oorexx,0.875909
rxbvm/netrexx,Base64,base64-rxbvm,base64-netrexx,0.824225
