rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
65,24758,2,1,5,candidate,"IGT_REG_REG_REG(r1,r2,r3) | UNLINKN_REG_REG(r3,r4) | UNLINKN_REG_REG(r2,r5)","r1=R11;r2=R7;r3=R8;r4=R9;r5=R5","benchmark_awfy_richards_opt",2660
66,24758,2,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r4) | BRF_ID_REG(c1,r5)","r1=R8;r2=R9;r3=R7;r4=R5;c1=label@2675;r5=R11","benchmark_awfy_richards_opt",2664
67,24627,1,1,4,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r1,r2)","c1=label@2976;r1=R7;r2=R8;c2=int:0","benchmark_awfy_richards_opt",2965
68,24627,1,1,5,candidate,"UNLINKN_REG_REG(r1,r2) | LOAD_REG_INT(r1,c1) | BRTF_ID_ID_REG(c2,c3,r1)","r1=R8;r2=R6;c1=int:0;c2=label@6718;c3=label@6743","benchmark_awfy_richards_opt",6705
69,24409,2,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r3,r5,c3)","r1=R23;c1=int:18;r2=R5;r3=R7;c2=int:17;r4=R8;r5=R24;c3=int:0","benchmark_awfy_richards_opt",2756
70,23256,10,1,7,candidate,"UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r3,c1,r4) | LINKATTR1_REG_REG_INT(r1,r5,c2)","r1=R15;r2=R4;r3=R11;c1=int:0;r4=R10;r5=R47;c2=int:9","benchmark_awfy_richards_opt",617
71,23253,9,1,8,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r4,r5,c2) | IGETUNLINK_REG_REG(r6,r4)","r1=R4;r2=R11;c1=int:0;r3=R10;r4=R15;r5=R47;c2=int:9;r6=R9","benchmark_awfy_richards_opt",619
72,23252,1,1,7,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | INE_REG_REG_INT(r4,r5,c2)","c1=label@4126;r1=R28;r2=R34;r3=R55;r4=R29;r5=R1;c2=int:0","benchmark_awfy_richards_opt",3660
73,23252,1,1,6,candidate,"COPY_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R34;r2=R55;r3=R29;r4=R1;c1=int:0;c2=label@3758","benchmark_awfy_richards_opt",3663
74,23250,1,1,10,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r6,r7,c3)","r1=R1;r2=R6;r3=R4;r4=R5;r5=R55;c1=int:20;c2=int:6;r6=R8;r7=R56;c3=int:1","benchmark_awfy_richards_opt",3049
75,23250,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | BRTF_ID_ID_REG(c2,c3,r2)","r1=R8;c1=int:1;r2=R7;c2=label@3041;c3=label@3177","benchmark_awfy_richards_opt",3028
76,23250,1,1,4,candidate,"UNLINKN_REG_REG(r1,r2) | LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r3,r1)","r1=R8;r2=R6;c1=int:1;r3=R7","benchmark_awfy_richards_opt",3025
