rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
127,10127,1,1,5,candidate,"UNLINK_REG(r1) | INE_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R6;r2=R7;r3=R0;c1=int:0;c2=label@2115","benchmark_awfy_richards_opt",2087
128,10000,1,1,6,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2)","c1=label@3370;r1=R11;r2=R15;r3=R55;r4=R9;c2=int:8","benchmark_awfy_richards_opt",3181
129,10000,1,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | ISUB_REG_REG_INT(r4,r3,c2)","r1=R15;r2=R55;r3=R9;c1=int:8;r4=R8;c2=int:1","benchmark_awfy_richards_opt",3184
130,10000,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IEQ_REG_REG_INT(r4,r3,c2)","r1=R15;c1=int:8;r2=R8;r3=R10;r4=R9;c2=int:0","benchmark_awfy_richards_opt",3197
131,10000,1,1,5,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1)","r1=R8;r2=R9;c1=int:1;r3=R15;c2=int:8","benchmark_awfy_richards_opt",3191
132,10000,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R9;r2=R15;c1=int:8;r3=R8;c2=int:1","benchmark_awfy_richards_opt",3187
133,9999,1,1,6,candidate,"COPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r3,r4,c1) | BRT_ID_REG(c2,r3)","r1=R3;r2=R13;r3=R4;r4=R14;c1=int:0;c2=label@2598","benchmark_awfy_richards_opt",2584
134,9999,1,1,4,candidate,"IAND_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r1,r1,c2)","r1=R9;r2=R10;c1=int:1;c2=int:0","benchmark_awfy_richards_opt",3285
135,9999,1,1,11,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r4,c2,c3,r5,r6,c4) | LINKATTR1_REG_REG_INT(r7,r4,c2)","r1=R4;r2=R5;c1=int:0;r3=R6;r4=R13;c2=int:24;c3=int:6;r5=R7;r6=R1;c4=int:1;r7=R9","benchmark_awfy_richards_opt",2631
136,9999,2,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r1,c3)","r1=R15;c1=int:7;r2=R6;r3=R19;c2=int:4;c3=int:256","benchmark_awfy_richards_opt",3308
137,9999,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IAND_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R10;r2=R15;c1=int:7;r3=R9;c2=int:1","benchmark_awfy_richards_opt",3281
138,9999,2,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IDIV_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R7;r2=R15;c1=int:7;r3=R6;c2=int:2","benchmark_awfy_richards_opt",3298
139,9999,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r2,c5,c2,r6,r4,c3)","r1=R6;r2=R13;c1=int:19;c2=int:6;r3=R5;r4=R1;c3=int:1;r5=R4;c4=int:0;c5=int:24;r6=R7","benchmark_awfy_richards_opt",2623
140,9999,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r2,c1) | LINKATTR1_REG_REG_INT(r6,r2,c4)","r1=R5;r2=R13;c1=int:24;c2=int:6;r3=R7;r4=R1;c3=int:1;r5=R9;r6=R4;c4=int:2","benchmark_awfy_richards_opt",2636
141,9999,2,1,6,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | CALL2_REG_FUNC_REG_REG(r3,c3,r2,r1)","r1=R19;c1=int:4;r2=R15;c2=int:256;r3=R13;c3=func@94248","benchmark_awfy_richards_opt",3312
142,9999,1,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r3,r4,c3)","c1=int:18;c2=int:1;r1=R3;r2=R13;r3=R4;r4=R14;c3=int:0","benchmark_awfy_richards_opt",2580
143,9999,1,1,7,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | IGT_REG_REG_REG(r4,r5,r1)","r1=R8;r2=R9;c1=int:6;r3=R4;c2=int:1;r4=R11;r5=R7","benchmark_awfy_richards_opt",2652
144,9999,1,1,5,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | RET_REG(r4)","r1=R7;r2=R5;c1=label@2675;r3=R11;r4=R1","benchmark_awfy_richards_opt",2667
145,9999,1,1,4,candidate,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c2,r2)","r1=R10;r2=R9;c1=int:0;c2=label@3331","benchmark_awfy_richards_opt",3289
146,9999,1,1,5,candidate,"UNLINK_REG(r1) | IGT_REG_REG_REG(r2,r3,r4) | UNLINKN_REG_REG(r4,r5)","r1=R4;r2=R11;r3=R7;r4=R8;r5=R9","benchmark_awfy_richards_opt",2658
147,9987,1,1,5,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | RET_REG(r3)","r1=R7;r2=R11;c1=int:0;c2=label@2072;r3=R10","benchmark_awfy_richards_opt",2063
148,9333,32,1,8,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r3,r4,c2) | LINKATTR1_REG_REG_INT(r5,r4,c3)","r1=R12;r2=R10;c1=int:0;r3=R4;r4=R47;c2=int:15;r5=R11;c3=int:9","benchmark_awfy_richards_opt",479
149,9333,32,1,7,candidate,"UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r3,c1,r4) | LINKATTR1_REG_REG_INT(r4,r5,c2)","r1=R11;r2=R12;r3=R10;c1=int:0;r4=R4;r5=R47;c2=int:15","benchmark_awfy_richards_opt",477
150,9308,1,1,7,candidate,"BRT_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | IADD_REG_REG_INT(r4,r2,c3)","c1=label@3631;r1=R9;r2=R7;r3=R22;c2=int:26;r4=R6;c3=int:1","benchmark_awfy_richards_opt",3498
151,9308,1,1,5,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISUB_REG_REG_INT(r3,r1,c2)","r1=R7;r2=R8;c1=int:65;r3=R17;c2=int:1","benchmark_awfy_richards_opt",3539
152,9308,1,1,4,candidate,"IGT_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1)","r1=R7;r2=R8;c1=int:26;c2=label@3535","benchmark_awfy_richards_opt",3519
153,9308,1,1,7,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r4,r5,c2)","r1=R9;r2=R19;r3=R10;c1=label@3631;r4=R7;r5=R22;c2=int:26","benchmark_awfy_richards_opt",3494
154,9308,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IGT_REG_REG_INT(r4,r3,c1)","r1=R22;c1=int:26;r2=R6;r3=R8;r4=R7","benchmark_awfy_richards_opt",3511
155,9308,1,1,7,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | IEQ_REG_REG_INT(r3,r4,c2) | BRF_ID_REG(c3,r3)","r1=R17;r2=R7;c1=int:1;r3=R8;r4=R19;c2=int:0;c3=label@3571","benchmark_awfy_richards_opt",3545
156,9308,1,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1)","r1=R8;r2=R22;c1=int:26;r3=R7","benchmark_awfy_richards_opt",3515
157,9308,1,1,6,candidate,"UNLINK_REG(r1) | ISUB_REG_REG_INT(r2,r3,c1) | IEQ_REG_REG_INT(r1,r4,c2)","r1=R8;r2=R17;r3=R7;c1=int:1;r4=R19;c2=int:0","benchmark_awfy_richards_opt",3543
158,9302,5,1,6,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2)","r1=R10;r2=R47;c1=int:9;r3=R11;r4=R4;c2=int:17","benchmark_awfy_richards_opt",458
159,9300,1,1,7,candidate,"IADD_REG_REG_INT(r1,r2,c1) | ISETUNLINKN_REG_REG_REG(r3,r1,r4) | SETTP_REG_INT(r5,c2)","r1=R43;r2=R27;c1=int:1;r3=R45;r4=R44;r5=R34;c2=int:256","benchmark_awfy_richards_opt",4100
160,9300,1,1,10,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r2,r6,c3) | IGETUNLINK_REG_REG(r7,r2)","r1=R7;r2=R45;r3=R5;r4=R43;r5=R34;c1=int:5;c2=int:6;r6=R56;c3=int:1;r7=R25","benchmark_awfy_richards_opt",3754
161,9300,1,1,8,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | SETTP_REG_INT(r4,c1) | CALL2_REG_FUNC_REG_REG(r5,c2,r4,r6)","r1=R45;r2=R43;r3=R44;r4=R34;c1=int:256;r5=R33;c2=func@98904;r6=R26","benchmark_awfy_richards_opt",4104
162,9300,1,1,9,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IADD_REG_REG_INT(r5,r6,c3)","r1=R44;r2=R34;c1=int:14;r3=R45;r4=R25;c2=int:0;r5=R43;r6=R27;c3=int:1","benchmark_awfy_richards_opt",4091
163,9300,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IADD_REG_REG_INT(r4,r5,c2) | ISETUNLINKN_REG_REG_REG(r1,r4,r2)","r1=R45;r2=R44;r3=R25;c1=int:0;r4=R43;r5=R27;c2=int:1","benchmark_awfy_richards_opt",4095
164,9300,4,1,9,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | LINKATTR1_REG_REG_INT(r4,r5,c2) | MINLINKATTR1_REG_REG_REG_INT(r6,r4,r7,c1)","r1=R44;r2=R43;r3=R26;c1=int:0;r4=R41;r5=R34;c2=int:10;r6=R42;r7=R25","benchmark_awfy_richards_opt",3974
165,9300,1,1,10,candidate,"UNLINKN_REG_REG(r1,r2) | ISETUNLINKN_REG_REG_REG(r3,r4,r5) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r6,c1,c2,r4,r7,c3)","r1=R4;r2=R43;r3=R7;r4=R45;r5=R5;r6=R34;c1=int:5;c2=int:6;r7=R56;c3=int:1","benchmark_awfy_richards_opt",3751
166,9300,1,1,5,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | IEQ_REG_REG_INT(r2,r4,c1)","r1=R41;r2=R45;r3=R43;r4=R27;c1=int:0","benchmark_awfy_richards_opt",3958
167,9297,2,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | COPY_REG_REG(r4,r1)","r1=R16;r2=R8;r3=R6;r4=R12","benchmark_awfy_richards_opt",3265
168,9297,2,1,7,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | LINKATTR1_REG_REG_INT(r4,r1,c3)","r1=R15;c1=int:6;r2=R7;r3=R6;c2=int:19;r4=R10;c3=int:2","benchmark_awfy_richards_opt",3224
169,9297,2,1,6,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | IGETUNLINK_REG_REG(r4,r1)","r1=R8;r2=R6;c1=int:6;r3=R10;c2=int:1;r4=R16","benchmark_awfy_richards_opt",3257
170,9297,2,1,5,candidate,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | COPY_REG_REG(r4,r5)","r1=R6;r2=R12;r3=R16;r4=R55;r5=R15","benchmark_awfy_richards_opt",3268
171,9297,2,1,4,candidate,"UNLINK_REG(r1) | IGETUNLINK_REG_REG(r2,r3) | UNLINK_REG(r4)","r1=R10;r2=R16;r3=R8;r4=R6","benchmark_awfy_richards_opt",3263
172,9296,1,1,7,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKATTR1_REG_REG_INT(r4,r5,c1) | IADD_REG_REG_INT(r3,r4,c2)","r1=R45;r2=R1;r3=R42;r4=R43;r5=R51;c1=int:6;c2=int:1","benchmark_awfy_richards_opt",4246
173,9296,1,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ISETUNLINKN_REG_REG_REG(r3,r5,r1) | LINKATTR1_REG_REG_INT(r6,r2,c2)","r1=R42;r2=R51;c1=int:3;c2=int:6;r3=R45;r4=R56;c3=int:1;r5=R1;r6=R43","benchmark_awfy_richards_opt",4238
174,9294,1,1,9,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | SETTP_REG_INT(r4,c2) | CALL2_REG_FUNC_REG_REG(r5,c3,r4,r6)","r1=R39;r2=R42;c1=int:0;r3=R40;r4=R51;c2=int:256;r5=R49;c3=func@98904;r6=R43","benchmark_awfy_richards_opt",4217
175,9294,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | SETTP_REG_INT(r2,c5)","r1=R40;r2=R51;c1=int:3;c2=int:6;r3=R42;r4=R56;c3=int:1;r5=R39;c4=int:0;c5=int:256","benchmark_awfy_richards_opt",4209
176,8490,1,1,6,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | IEQ_REG_REG_INT(r2,r4,c1) | BRF_ID_REG(c2,r2)","r1=R6;r2=R11;c1=int:0;r3=R9;r4=R56;c2=label@3370","benchmark_awfy_richards_opt",3172
177,8490,1,1,9,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r2,r5,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c4,r3)","r1=R6;r2=R11;c1=int:1;r3=R9;r4=R55;c2=int:25;c3=int:6;r5=R56;c4=int:0","benchmark_awfy_richards_opt",3146
178,8490,1,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | IEQ_REG_REG_INT(r3,r4,c4)","r1=R9;r2=R55;c1=int:19;c2=int:6;r3=R11;r4=R56;c3=int:1;r5=R6;c4=int:0","benchmark_awfy_richards_opt",3164
179,8487,1,1,7,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r5) | COPY_REG_REG(r6,r7)","r1=R18;r2=R21;r3=R16;r4=R10;r5=R8;r6=R23;r7=R11","benchmark_awfy_richards_opt",2919
180,8487,1,1,7,candidate,"UNLINKN_REG_REG(r1,r2) | ISETUNLINKN_REG_REG_REG(r3,r4,r5) | ICOPY_REG_REG(r6,r7)","r1=R7;r2=R19;r3=R18;r4=R21;r5=R16;r6=R10;r7=R8","benchmark_awfy_richards_opt",2916
181,6981,3,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ISETUNLINKN_REG_REG_REG(r1,r4,r2) | BR_ID(c2)","r1=R7;r2=R6;r3=R1;c1=int:0;r4=R17;c2=label@3628","benchmark_awfy_richards_opt",3560
182,6975,3,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r1) | UNLINKBR_REG_ID(r4,c1)","r1=R44;r2=R42;r3=R41;r4=R43;c1=label@4091","benchmark_awfy_richards_opt",3988
183,5007,1,1,7,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | IDIV_REG_REG_INT(r4,r2,c3)","c1=label@3331;r1=R9;r2=R7;r3=R15;c2=int:7;r4=R6;c3=int:2","benchmark_awfy_richards_opt",3295
184,5007,1,1,5,candidate,"IDIV_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1)","r1=R6;r2=R7;c1=int:2;r3=R15;c2=int:7","benchmark_awfy_richards_opt",3302
185,5007,1,1,6,candidate,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r2,r3,c3)","r1=R9;c1=int:0;c2=label@3331;r2=R7;r3=R15;c3=int:7","benchmark_awfy_richards_opt",3291
186,5007,1,1,6,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LOAD_REG_INT(r4,c2)","r1=R7;r2=R15;c1=int:7;r3=R6;r4=R19;c2=int:4","benchmark_awfy_richards_opt",3306
187,4992,1,1,4,candidate,"IDIV_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | IXOR_REG_REG_INT(r1,r1,c2)","r1=R17;r2=R18;c1=int:2;c2=int:53256","benchmark_awfy_richards_opt",3335
188,4992,1,1,6,candidate,"IXOR_REG_REG_INT(r1,r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LOAD_REG_INT(r3,c3)","r1=R17;c1=int:53256;r2=R15;c2=int:7;r3=R19;c3=int:5","benchmark_awfy_richards_opt",3341
189,4992,1,1,5,candidate,"UNLINK_REG(r1) | IXOR_REG_REG_INT(r2,r2,c1) | ISETATTR1_REG_INT_REG(r3,c2,r2)","r1=R18;r2=R17;c1=int:53256;r3=R15;c2=int:7","benchmark_awfy_richards_opt",3339
190,3140,1,1,6,candidate,"BRF_ID_REG(c1,r1) | ICOPY_REG_REG(r2,r3) | COPY_REG_REG(r4,r5)","c1=label@2923;r1=R12;r2=R9;r3=R3;r4=R23;r5=R11","benchmark_awfy_richards_opt",2875
191,3140,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | ICOPY_REG_REG(r4,r5)","r1=R16;r2=R14;c1=label@2923;r3=R12;r4=R9;r5=R3","benchmark_awfy_richards_opt",2872
192,2330,4,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r1,r3) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R4;r2=R1;r3=R3;r4=R47;c1=int:24","benchmark_awfy_richards_opt",357
193,2327,1,1,11,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r3,c2,c3,r7,r5,c4)","c1=label@3726;r1=R17;r2=R8;r3=R34;c2=int:5;c3=int:6;r4=R10;r5=R56;c4=int:1;r6=R36;r7=R35","benchmark_awfy_richards_opt",3689
194,2327,1,1,5,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r1,c2)","r1=R10;r2=R19;c1=int:0;r3=R17;c2=int:3","benchmark_awfy_richards_opt",3483
195,2327,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2)","r1=R10;c1=int:3;r2=R9;r3=R19;c2=label@3631","benchmark_awfy_richards_opt",3491
196,2327,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r1,r2)","r1=R19;c1=int:0;r2=R10;c2=int:3;r3=R9","benchmark_awfy_richards_opt",3488
197,2327,1,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c1,r2) | LOAD_REG_INT(r1,c1)","r1=R19;r2=R17;r3=R1;c1=int:0;r4=R10","benchmark_awfy_richards_opt",3478
198,2327,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ISETUNLINKN_REG_REG_REG(r1,r4,r2) | BCTP_ID_REG(c2,r5)","r1=R28;r2=R29;r3=R1;c1=int:0;r4=R17;c2=label@3494;r5=R19","benchmark_awfy_richards_opt",3619
199,2327,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | ISETUNLINKN_REG_REG_REG(r3,r4,r5) | BR_ID(c1)","r1=R35;r2=R36;r3=R10;r4=R38;r5=R8;c1=label@3758","benchmark_awfy_richards_opt",3717
200,2327,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r2,r3,c1) | MINLINKATTR1_REG_REG_REG_INT(r1,r2,r4,c2)","r1=R19;r2=R17;r3=R22;c1=int:14;r4=R1;c2=int:0","benchmark_awfy_richards_opt",3471
201,2325,1,1,11,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | LINKATTR1_REG_REG_INT(r6,r3,c5)","c1=label@3879;r1=R45;r2=R42;r3=R34;c2=int:5;c3=int:6;r4=R44;r5=R56;c4=int:1;r6=R40;c5=int:17","benchmark_awfy_richards_opt",3835
202,2325,1,1,11,candidate,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c3,c4,r5,r6,c5)","r1=R45;r2=R27;c1=int:4;c2=label@3879;r3=R42;r4=R34;c3=int:5;c4=int:6;r5=R44;r6=R56;c5=int:1","benchmark_awfy_richards_opt",3831
203,2325,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R7;r2=R10;r3=R9;r4=R44;r5=R34;c1=int:14","benchmark_awfy_richards_opt",4086
204,2325,1,1,5,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | SETTP_REG_INT(r4,c1)","r1=R40;r2=R44;r3=R42;r4=R34;c1=int:256","benchmark_awfy_richards_opt",3858
205,2325,1,1,7,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | MINLINKATTR1_REG_REG_REG_INT(r4,r2,r5,c2)","r1=R9;r2=R44;r3=R34;c1=int:14;r4=R45;r5=R25;c2=int:0","benchmark_awfy_richards_opt",4089
206,2325,1,1,6,candidate,"UNLINK_REG(r1) | SETTP_REG_INT(r2,c1) | CALL2_REG_FUNC_REG_REG(r3,c2,r2,r4)","r1=R42;r2=R34;c1=int:256;r3=R31;c2=func@98904;r4=R25","benchmark_awfy_richards_opt",3861
207,1521,2,1,6,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ISETATTR1_REG_INT_REG(r3,c3,r2)","c1=label@3448;r1=R17;r2=R9;c2=int:3;r3=R22;c3=int:27","benchmark_awfy_richards_opt",3436
208,1521,2,1,5,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LOAD_REG_INT(r3,c2)","r1=R19;c1=label@3448;r2=R17;r3=R9;c2=int:3","benchmark_awfy_richards_opt",3434
209,1165,3,1,6,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LINKATTR1_REG_REG_INT(r3,r2,c3)","r1=R3;c1=int:0;r2=R47;c2=int:22;r3=R10;c3=int:9","benchmark_awfy_richards_opt",443
210,1164,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | BR_ID(c3)","r1=R9;c1=int:3;r2=R22;c2=int:27;c3=label@3455","benchmark_awfy_richards_opt",3439
211,357,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IADD_REG_REG_INT(r4,r3,c2)","r1=R22;c1=int:26;r2=R5;r3=R8;r4=R7;c2=int:65","benchmark_awfy_richards_opt",3531
212,357,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LINKATTR1_REG_REG_INT(r3,r2,c2)","r1=R5;c1=int:1;r2=R22;c2=int:26;r3=R8","benchmark_awfy_richards_opt",3528
213,340,1,1,7,candidate,"BRF_ID_REG(c1,r1) | ICOPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r5,c2)","c1=label@2115;r1=R7;r2=R1;r3=R0;r4=R5;r5=R9;c2=int:17","benchmark_awfy_richards_opt",2093
214,340,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | BR_ID(c1)","r1=R0;r2=R6;r3=R5;c1=label@2089","benchmark_awfy_richards_opt",2108
215,340,1,1,5,candidate,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ICOPY_REG_REG(r3,r2)","r1=R7;r2=R0;c1=int:0;c2=label@2115;r3=R1","benchmark_awfy_richards_opt",2089
216,340,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IGETUNLINK_REG_REG(r4,r3)","r1=R5;r2=R9;c1=int:17;r3=R6;r4=R0;c2=int:0","benchmark_awfy_richards_opt",2099
217,340,1,1,4,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r3,r1) | UNLINK_REG(r2)","r1=R6;r2=R5;r3=R0;c1=int:0","benchmark_awfy_richards_opt",2103
218,64,48,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r1,r3,c3)","r1=R4;r2=R47;c1=int:17;r3=R11;c2=int:9;r4=R10;c3=int:0","benchmark_awfy_richards_opt",464
219,64,48,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r4,r1,c2) | UNLINK_REG(r1)","r1=R11;r2=R47;c1=int:9;r3=R10;r4=R4;c2=int:0","benchmark_awfy_richards_opt",468
220,45,35,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | UNLINK_REG(r3) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c1,r2)","r1=R10;r2=R4;r3=R11;c1=int:0;r4=R12","benchmark_awfy_richards_opt",472
