workload,vm,metric,pairs,before_median,after_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,favorable,total,interval_result,guard_hit
Bounce-rxvm,rxvm,elapsed_ns,12,6862549000.000000,1327580000.000000,-81.313101,-80.821112,-80.596165,-80.454503,-80.242630,-80.660121,-80.863172,-80.457070,12,12,clear_favorable,no
Bounce-rxbvm,rxbvm,elapsed_ns,22,7076669500.000000,1524672000.000000,-79.513130,-78.546489,-78.464325,-78.355537,-77.362965,-78.465193,-78.637567,-78.292820,22,22,clear_favorable,no
