cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
base64-c0-rxvm,Base64,crexx,rxvm,C0-current,A,no,no,2500,elapsed_ns,22,1243941000.000000,1418624750.000000,1516122000.000000,1623221000.000000,1677845000.000000,106418000.000000,7.019092,28.619333,yes
base64-prefilter3-rxvm,Base64,crexx,rxvm,C4-production,A,no,no,2500,elapsed_ns,22,1278580000.000000,1381579750.000000,1473103500.000000,1520991000.000000,1623857000.000000,75460500.000000,5.122552,23.438747,yes
base64-c0-rxbvm,Base64,crexx,rxbvm,C0-current,A,no,no,2500,elapsed_ns,22,1382709000.000000,1553233000.000000,1637515000.000000,1716241750.000000,1931438000.000000,85463500.000000,5.219097,33.509861,yes
base64-prefilter3-rxbvm,Base64,crexx,rxbvm,C4-production,A,no,no,2500,elapsed_ns,22,1402162000.000000,1443979000.000000,1531480500.000000,1619681000.000000,1853780000.000000,88543000.000000,5.781530,29.488981,yes
rexxcps-c0-rxvm,RexxCPS,crexx,rxvm,C0-current,A,no,no,1000-clauses,benchmark_rate,12,37790788.000000,38006448.250000,38490908.500000,39021692.000000,39583150.000000,515174.000000,1.338430,4.656585,no
rexxcps-prefilter3-rxvm,RexxCPS,crexx,rxvm,C4-production,A,no,no,1000-clauses,benchmark_rate,12,38836233.000000,39129495.500000,39500187.000000,39761680.500000,40006441.000000,301714.500000,0.763831,2.962538,no
rexxcps-c0-rxbvm,RexxCPS,crexx,rxbvm,C0-current,A,no,no,1000-clauses,benchmark_rate,12,36172350.000000,36584458.750000,36675094.500000,36752765.000000,36888901.000000,78700.500000,0.214588,1.953781,no
rexxcps-prefilter3-rxbvm,RexxCPS,crexx,rxbvm,C4-production,A,no,no,1000-clauses,benchmark_rate,12,35903065.000000,36239348.500000,36498166.500000,36687892.500000,37033779.000000,266456.500000,0.730054,3.098002,no
