cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
storage-rxtvm,Storage,crexx,rxtvm,concrete-engine-control,B,no,no,20,elapsed_ns,10,1545564000.000000,1576497500.000000,1610934500.000000,1618733500.000000,1637034000.000000,25068500.000000,1.556146,5.678071,no
list-rxvm,List,crexx,rxvm,disclosed-arena-control,B,no,no,2000,elapsed_ns,10,1411846000.000000,1420794500.000000,1421422500.000000,1426150500.000000,1440245000.000000,4446500.000000,0.312820,1.997928,no
list-rxtvm,List,crexx,rxtvm,concrete-engine-control,B,no,no,2000,elapsed_ns,10,1442811000.000000,1451973250.000000,1461632000.000000,1468986250.000000,1486812000.000000,9386500.000000,0.642193,3.010402,no
json-legacy-rxvm,JSON-legacy,crexx,rxvm,historical-capability-control,B,no,no,45000,elapsed_ns,10,1261203000.000000,1272917000.000000,1275248500.000000,1282766500.000000,1517070000.000000,5636500.000000,0.441992,20.064089,yes
json-legacy-rxtvm,JSON-legacy,crexx,rxtvm,concrete-engine-control,B,no,no,45000,elapsed_ns,10,1268825000.000000,1278489500.000000,1294164000.000000,1304495000.000000,1379513000.000000,12553000.000000,0.969970,8.552857,no
json-parse-rxvm,JSON-parse,crexx,rxvm,construct-and-validate-control,B,no,no,30000,elapsed_ns,10,1250311000.000000,1266481750.000000,1272447000.000000,1282907250.000000,1486080000.000000,8826000.000000,0.693624,18.528787,yes
json-parse-rxtvm,JSON-parse,crexx,rxtvm,concrete-engine-control,B,no,no,30000,elapsed_ns,10,1288234000.000000,1315337250.000000,1318489500.000000,1324758000.000000,1347647000.000000,5820500.000000,0.441452,4.506141,no
json-query-rxvm,JSON-query,crexx,rxvm,parse-once-query-control,B,no,no,3000000,elapsed_ns,10,1384815000.000000,1422890750.000000,1434637500.000000,1455718250.000000,1762869000.000000,17606000.000000,1.227209,26.351883,yes
json-query-rxtvm,JSON-query,crexx,rxtvm,concrete-engine-control,B,no,no,3000000,elapsed_ns,10,1396010000.000000,1445578000.000000,1463627000.000000,1498941250.000000,1643203000.000000,28925500.000000,1.976289,16.889071,yes
queens-rxvm,Queens,crexx,rxvm,awfy-equivalent-port,B,no,no,4000,elapsed_ns,10,1255111000.000000,1289021000.000000,1293738000.000000,1376255500.000000,1685322000.000000,14462500.000000,1.117885,33.253333,yes
queens-rxtvm,Queens,crexx,rxtvm,concrete-engine-control,B,no,no,4000,elapsed_ns,10,1336630000.000000,1356832500.000000,1369716000.000000,1419419500.000000,1546276000.000000,13991000.000000,1.021453,15.305801,yes
nbody-rxvm,NBody,crexx,rxvm,native-math-control,B,no,no,250000,elapsed_ns,10,1660392000.000000,1676065750.000000,1687384500.000000,1688801250.000000,1715839000.000000,6992000.000000,0.414369,3.285973,no
nbody-rxtvm,NBody,crexx,rxtvm,native-math-concrete-control,B,no,no,250000,elapsed_ns,10,1740942000.000000,1750828500.000000,1753314500.000000,1760897250.000000,1765342000.000000,3773000.000000,0.215192,1.391650,no
