rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,9800,147,8,3,candidate,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3)","r1=R31;r2=R32;r3=R33","benchmark_rexxcps_levelb_noopt",416
2,8008,164,4,3,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3)","r1=R28;r2=R29;r3=R30","benchmark_rexxcps_levelb_noopt",1831
3,3402,9,1,6,over_3_symbols,"STRCHAR_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRF_ID_REG(c2,r4)","r1=R33;r2=R39;r3=R19;r4=R43;c1=int:44;c2=label@222","parseExec",209
4,2662,9,2,6,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r4,r5,r2)","r1=R12;r2=R7;r3=R3;c1=label@16215;r4=R0;r5=R2","trace",16189
5,2660,8,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r2,r3,r4) | IEQ_REG_REG_INT(r5,r2,c2)","c1=label@257;r1=R44;r2=R33;r3=R39;r4=R19;r5=R43;c2=int:44","parseExec",206
6,2156,14,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IGT_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@233;r1=R43;r2=R33;c2=int:57;c3=label@239","parseExec",226
7,2156,14,1,5,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_INT(r1,r2,c3)","r1=R43;r2=R33;c1=int:48;c2=label@233;c3=int:57","parseExec",222
8,1610,9,1,6,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R43;r2=R39;r3=R46;r4=R19;r5=R45;r6=R35","parseExec",384
9,1428,8,1,6,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r4,r4,c1) | BR_ID(c2)","r1=R6;r2=R43;r3=R34;r4=R19;c1=int:1;c2=label@202","parseExec",247
10,1428,8,1,6,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r2,r1,r3) | IADD_REG_REG_INT(r4,r4,c2)","r1=R43;r2=R6;c1=int:10;r3=R34;r4=R19;c2=int:1","parseExec",243
11,1410,5,3,6,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r4,r5,r2)","r1=R59;r2=R61;r3=R60;c1=label@1387;r4=R10;r5=R20","format",1284
12,1372,9,1,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | BR_ID(c3)","r1=R43;r2=R33;c1=int:44;c2=label@222;c3=label@257","parseExec",213
13,1321,31,4,4,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | SCOPY_REG_REG(r3,r4)","r1=R7;r2=R8;r3=R9;r4=R29","benchmark_rexxcps_levelb_noopt",2267
14,1321,52,14,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_rexxcps_levelb_noopt",0
15,1321,52,14,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2)","c1=int:0;c2=int:1","benchmark_rexxcps_levelb_noopt",2
16,1294,2,1,8,over_3_symbols,"BRT_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r2,r3,r4) | IMULT_REG_REG_INT(r5,r6,c2)","c1=label@220;r1=R11;r2=R4;r3=R6;r4=R9;r5=R12;r6=R5;c2=int:31","stem",189
17,1294,2,1,5,over_3_symbols,"IADD_REG_REG_REG(r1,r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | IMOD_REG_REG_REG(r1,r1,r3)","r1=R12;r2=R4;r3=R13;r4=R8;c1=int:7","stem",200
18,1294,2,1,3,candidate,"IMOD_REG_REG_REG(r1,r1,r2) | UNLINK_REG(r2) | ICOPY_REG_REG(r3,r1)","r1=R12;r2=R13;r3=R5","stem",208
19,1294,2,1,7,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r1,r1,r3) | LINKATTR1_REG_REG_INT(r4,r5,c2)","r1=R12;r2=R5;c1=int:31;r3=R4;r4=R13;r5=R8;c2=int:7","stem",196
20,1294,2,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IMOD_REG_REG_REG(r3,r3,r1) | UNLINK_REG(r1)","r1=R13;r2=R8;c1=int:7;r3=R12","stem",204
21,1294,2,1,6,over_3_symbols,"STRCHAR_REG_REG_REG(r1,r2,r3) | IMULT_REG_REG_INT(r4,r5,c1) | IADD_REG_REG_REG(r4,r4,r1)","r1=R4;r2=R6;r3=R9;r4=R12;r5=R5;c1=int:31","stem",192
22,1294,2,1,5,over_3_symbols,"UNLINK_REG(r1) | ICOPY_REG_REG(r2,r3) | BCTP_ID_REG(c1,r4)","r1=R13;r2=R5;r3=R12;c1=label@185;r4=R9","stem",212
23,1286,48,12,1,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1)","c1=int:1","_address",5791
24,1246,3,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | SCOPY_REG_REG(r5,r6)","r1=R93;r2=R4;r3=R95;r4=R6;r5=R102;r6=R7","parseExec",3866
25,1232,8,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IGTE_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c2,r1)","c1=label@268;r1=R44;r2=R19;r3=R40;c2=label@274","parseExec",261
26,1232,8,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | ILT_REG_REG_REG(r4,r2,r5)","r1=R37;r2=R19;r3=R6;c1=int:0;r4=R44;r5=R40","parseExec",196
