# PERF3-11 K04e current-product Apple scorecard artifact inventory.
# role|runtime|workload|form|path
crexx-artifact-inventory|1
product|crexx|toolchain|compiler|/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/build-release/bin/rxc
product|crexx|toolchain|assembler|/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/build-release/bin/rxas
product|crexx|toolchain|linker|/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/build-release/bin/rxlink
product|crexx|toolchain|disassembler|/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/build-release/bin/rxdas
product|crexx|runtime|threaded-executable|/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/build-release/bin/rxvm
product|crexx|runtime|bytecode-executable|/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/build-release/bin/rxbvm
product|crexx|driver|executable|/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/build-release/bin/crexx
product|crexx|library|linked-rxbin|/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/build-release/bin/library.rxbin
build|crexx|toolchain|cmake-cache|/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/build-release/CMakeCache.txt
tool|crexx|PERF3-11-K04e|matrix-driver|performance/tools/run_cross_runtime_matrix.crexx
tool|crexx|PERF3-11-K04e|artifact-inventory|performance/tools/inventory_performance_artifacts.crexx
tool|crexx|PERF3-11-K04e|static-artifact-summary|performance/tools/summarize_perf2_artifacts.crexx
benchmark|crexx|Sieve|source|tests/benchmarks/awfy_sieve.crexx
benchmark|crexx|Sieve|rxas|/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxas
benchmark|crexx|Sieve|rxbin|/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxbin
benchmark|crexx|Permute|source|tests/benchmarks/awfy_permute.crexx
benchmark|crexx|Permute|rxas|/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxas
benchmark|crexx|Permute|rxbin|/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxbin
benchmark|crexx|Bounce|source|tests/benchmarks/awfy_bounce.crexx
benchmark|crexx|Bounce|rxas|/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/build-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxas
