vm,kind,candidate,comparator,candidate_median_us,comparator_median_us,candidate_median_items_per_second,comparator_median_items_per_second,paired_median_speedup,paired_median_delta_percent,candidate_wins,rounds,candidate_min_us,candidate_max_us,comparator_min_us,comparator_max_us
rxbvm,float-read,wrapper-float-read,direct-float-read,11688.500000,11585.500000,171127769,172630624,1.007089,0.709,8,12,10448,12145,10642,12467
rxbvm,float-write,wrapper-float-write,direct-float-write,19472.500000,37233.500000,102710146,53716029,1.900328,90.033,12,12,19262,20157,36143,44986
rxbvm,int-read,wrapper-int-read,direct-int-read,11699.500000,12075.000000,170981690,165638923,1.033213,3.321,8,12,10747,12920,11042,13152
rxbvm,int-write,wrapper-int-write,direct-int-write,11828.500000,19460.000000,169126097,102774936,1.668359,66.836,12,12,11192,12535,18984,20240
rxbvm,int-read,direct-int-read,encoded-int-read,12075.000000,21369.500000,165638923,93591344,1.805830,80.583,12,12,11042,13152,20972,22183
rxbvm,int-write,direct-int-write,encoded-int-write,19460.000000,36417.500000,102774936,54918766,1.870696,87.070,12,12,18984,20240,34239,38956
rxtvm,float-read,wrapper-float-read,direct-float-read,10408.500000,10568.500000,192151320,189242020,1.014609,1.461,8,12,10264,10898,10413,26212
rxtvm,float-write,wrapper-float-write,direct-float-write,23263.500000,38372.500000,85971689,52120660,1.651942,65.194,12,12,22828,23835,36105,39774
rxtvm,int-read,wrapper-int-read,direct-int-read,10360.500000,10469.000000,193041492,191041057,1.004228,0.423,8,12,10186,10699,10263,19452
rxtvm,int-write,wrapper-int-write,direct-int-write,10002.500000,21772.000000,199950696,91862818,2.168509,116.851,12,12,9809,10121,20965,25271
rxtvm,int-read,direct-int-read,encoded-int-read,10469.000000,23594.500000,191041057,84765569,2.232716,123.272,12,12,10263,19452,22745,24087
rxtvm,int-write,direct-int-write,encoded-int-write,21772.000000,37899.000000,91862818,52771840,1.779415,77.941,12,12,20965,25271,36607,56144
