workload,runtime,variant,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness,benchmark_metric,benchmark_unit
sha256-4096,rxbvm,native,process,recorded,1,13542000,0,pass,4918,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxbvm,native,process,recorded,2,15844000,0,pass,4922,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxbvm,native,process,recorded,3,11821000,0,pass,4894,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxbvm,native,process,recorded,4,15955000,0,pass,4910,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxbvm,native,process,recorded,5,14410000,0,pass,4967,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxbvm,native,process,recorded,6,12954000,0,pass,4966,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxbvm,native,process,recorded,7,15830000,0,pass,4926,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxbvm,native,process,recorded,8,14428000,0,pass,5021,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxbvm,native,process,recorded,9,11126000,0,pass,4961,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxbvm,native,process,recorded,10,15879000,0,pass,4863,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
