artifact,role,sha256
repository-control-commit,PERF3-12 control,209206f0f0f07cd709dcdd04665489756e0b433e
accepted-product-commit,clean detached source,5fbe36049e26ee73ea0cf1720a7fc416f33d0fe2
tests/benchmarks/rexxcps_levelb.crexx,canonical source,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6
benchmark_rexxcps_levelb_noopt.rxas,accepted generated no-opt RXAS,75b0cb2c6075316b66b79c6b94d5ee1d21e2042ec093da25ccddb3ba24c8000e
benchmark_rexxcps_levelb_opt.rxas,accepted generated optimized RXAS,b575305ab154f60f378f8cdbd3a44811e66368daa894d8b4add934066726707f
benchmark_rexxcps_levelb_noopt.rxbin,accepted no-opt image,6a3d8844d60f28c4c60315031b7e8116fb344af10f6ac4422359d508c138d223
benchmark_rexxcps_levelb_opt.rxbin,accepted optimized image,e7cd34fc8f54e63aeaf54ee57a0e1f2495a1e5ae9f84027568efb96b0aed1266
library.rxbin,accepted linked library,56d215e2d6222fba7fff806a33aaace6676c68ec4e425df50d9b6493f2053a5f
ordinary-rxc,accepted profiling-off compiler,a14925637cb37ca4890be3346ee2a26ef5df0b8e0105964f0550dec27a77a982
ordinary-rxas,accepted profiling-off assembler,b1dc5be50ac00967e58d3361a1ada3e724c246e3c5581a71b83971d40ef60083
ordinary-crexx,accepted Level B tool driver,8a4e38859d4accd886f065e6c072f6d23a4d199ac8c39bd5e224ec9f3ea831b8
ordinary-rxvm,accepted profiling-off threaded VM,5a4641a60a81c8679773b37b6397bd9080f97417090878dd4d99c997c503b409
ordinary-rxbvm,accepted profiling-off bytecode VM,64784a966562fa457750f7fab375e8671c06976e5877599b28c4b5e1eadf9727
profile-rxvm,counts-only threaded VM,bfb0b4d4034d783769f376e40e994f932b65e478cd0c918f092154a75bdbebdb
profile-rxbvm,counts-only bytecode VM,37c06c7396492557ea3dc6eeca455abbaf2a11b66e64ef0cb438740a6d3b9b76
profile-rxseq,sequence capture/analyser,479c58243ee20bbb7337845ffd76dd064a8c7290368d74657a353f035bb00242
