phase,round,position,vm,cell,variant,rate_jobs_per_second,elapsed_us
recorded,1,5,rxbvml,channel-latency,accepted,133056.133056133054,7696
recorded,1,5,rxbvml,channel-throughput,accepted,2963.168738569808,86394
recorded,1,6,rxbvml,channel-latency,candidate,132694.052092782164,7717
recorded,1,6,rxbvml,channel-throughput,candidate,3053.107371584634,83849
recorded,1,7,rxtvml,channel-latency,accepted,134277.471806976129,7626
recorded,1,7,rxtvml,channel-throughput,accepted,2188.876063443205,116955
recorded,1,8,rxtvml,channel-latency,candidate,109671.200599764372,9337
recorded,1,8,rxtvml,channel-throughput,candidate,2550.766226260936,100362
recorded,2,9,rxtvml,channel-latency,candidate,136297.085052575538,7513
recorded,2,9,rxtvml,channel-throughput,candidate,2613.071481795262,97969
recorded,2,10,rxtvml,channel-latency,accepted,134400.840005250036,7619
recorded,2,10,rxtvml,channel-throughput,accepted,2605.757094580840,98244
recorded,2,11,rxbvml,channel-latency,candidate,135971.318549993361,7531
recorded,2,11,rxbvml,channel-throughput,candidate,2976.848029582427,85997
recorded,2,12,rxbvml,channel-latency,accepted,129325.587269512500,7918
recorded,2,12,rxbvml,channel-throughput,accepted,3005.612041233240,85174
recorded,3,13,rxbvml,channel-latency,accepted,136043.576458084222,7527
recorded,3,13,rxbvml,channel-throughput,accepted,2956.563918371118,86587
recorded,3,14,rxbvml,channel-latency,candidate,141105.139864957979,7257
recorded,3,14,rxbvml,channel-throughput,candidate,2966.190067897945,86306
recorded,3,15,rxtvml,channel-latency,accepted,126826.851622491944,8074
recorded,3,15,rxtvml,channel-throughput,accepted,2533.976065804191,101027
recorded,3,16,rxtvml,channel-latency,candidate,136061.652936486847,7526
recorded,3,16,rxtvml,channel-throughput,candidate,2244.905117682135,114036
recorded,4,17,rxtvml,channel-latency,candidate,131771.972719083773,7771
recorded,4,17,rxtvml,channel-throughput,candidate,2598.087969634847,98534
recorded,4,18,rxtvml,channel-latency,accepted,134719.115905801882,7601
recorded,4,18,rxtvml,channel-throughput,accepted,2575.737757699544,99389
recorded,4,19,rxbvml,channel-latency,candidate,134701.394369902671,7602
recorded,4,19,rxbvml,channel-throughput,candidate,2972.872538089930,86112
recorded,4,20,rxbvml,channel-latency,accepted,135503.506682545994,7557
recorded,4,20,rxbvml,channel-throughput,accepted,2894.290559638214,88450
recorded,5,21,rxbvml,channel-latency,accepted,134154.329883401020,7633
recorded,5,21,rxbvml,channel-throughput,accepted,2953.391785879096,86680
recorded,5,22,rxbvml,channel-latency,candidate,136496.934150893096,7502
recorded,5,22,rxbvml,channel-throughput,candidate,3009.994121105232,85050
recorded,5,23,rxtvml,channel-latency,accepted,136953.323525478132,7477
recorded,5,23,rxtvml,channel-throughput,accepted,2544.124662108443,100624
recorded,5,24,rxtvml,channel-latency,candidate,143517.869656622293,7135
recorded,5,24,rxtvml,channel-throughput,candidate,2536.310856599362,100934
recorded,6,25,rxtvml,channel-latency,candidate,135899.137358991371,7535
recorded,6,25,rxtvml,channel-throughput,candidate,2241.543863335873,114207
recorded,6,26,rxtvml,channel-latency,accepted,133576.832768066786,7666
recorded,6,26,rxtvml,channel-throughput,accepted,2568.811021804790,99657
recorded,6,27,rxbvml,channel-latency,candidate,133090.720041590859,7694
recorded,6,27,rxbvml,channel-throughput,candidate,2963.546068092101,86383
recorded,6,28,rxbvml,channel-latency,accepted,137801.103485399013,7431
recorded,6,28,rxbvml,channel-throughput,accepted,2876.307540195274,89003
recorded,7,29,rxbvml,channel-latency,accepted,136115.911205636046,7523
recorded,7,29,rxbvml,channel-throughput,accepted,2935.443183121202,87210
recorded,7,30,rxbvml,channel-latency,candidate,136916.700093595398,7479
recorded,7,30,rxbvml,channel-throughput,candidate,2986.955405689217,85706
recorded,7,31,rxtvml,channel-latency,accepted,137394.337850529992,7453
recorded,7,31,rxtvml,channel-throughput,accepted,2542.406546696858,100692
recorded,7,32,rxtvml,channel-latency,candidate,130578.933945422090,7842
recorded,7,32,rxtvml,channel-throughput,candidate,2425.827481972122,105531
recorded,8,33,rxtvml,channel-latency,candidate,137136.734967188968,7467
recorded,8,33,rxtvml,channel-throughput,candidate,2487.344662410976,102921
recorded,8,34,rxtvml,channel-latency,accepted,98822.621115614747,10362
recorded,8,34,rxtvml,channel-throughput,accepted,2439.768222018908,104928
recorded,8,35,rxbvml,channel-latency,candidate,137302.225797801017,7458
recorded,8,35,rxbvml,channel-throughput,candidate,2995.658635337070,85457
recorded,8,36,rxbvml,channel-latency,accepted,137320.638326404733,7457
recorded,8,36,rxbvml,channel-throughput,accepted,2914.688435745921,87831
recorded,9,37,rxbvml,channel-latency,accepted,131687.242798353924,7776
recorded,9,37,rxbvml,channel-throughput,accepted,2874.305282658732,89065
recorded,9,38,rxbvml,channel-latency,candidate,137634.408602150535,7440
recorded,9,38,rxbvml,channel-throughput,candidate,2956.939567547588,86576
recorded,9,39,rxtvml,channel-latency,accepted,139795.221843003412,7325
recorded,9,39,rxtvml,channel-throughput,accepted,2518.272229162773,101657
recorded,9,40,rxtvml,channel-latency,candidate,136569.751933849038,7498
recorded,9,40,rxtvml,channel-throughput,candidate,2549.724609822415,100403
recorded,10,41,rxtvml,channel-latency,candidate,135324.435046914237,7567
recorded,10,41,rxtvml,channel-throughput,candidate,2483.170698585757,103094
recorded,10,42,rxtvml,channel-latency,accepted,129571.048968746050,7903
recorded,10,42,rxtvml,channel-throughput,accepted,2472.283385483061,103548
recorded,10,43,rxbvml,channel-latency,candidate,137468.116525708145,7449
recorded,10,43,rxbvml,channel-throughput,candidate,2881.163269670129,88853
recorded,10,44,rxbvml,channel-latency,accepted,135755.004640063649,7543
recorded,10,44,rxbvml,channel-throughput,accepted,2889.847154177861,88586
recorded,11,45,rxbvml,channel-latency,accepted,139414.567733151809,7345
recorded,11,45,rxbvml,channel-throughput,accepted,2934.803792316775,87229
recorded,11,46,rxbvml,channel-latency,candidate,134790.048703435576,7597
recorded,11,46,rxbvml,channel-throughput,candidate,2900.784118206953,88252
recorded,11,47,rxtvml,channel-latency,accepted,138490.668109277787,7394
recorded,11,47,rxtvml,channel-throughput,accepted,2520.131519363667,101582
recorded,11,48,rxtvml,channel-latency,candidate,138791.000271076162,7378
recorded,11,48,rxtvml,channel-throughput,candidate,2497.560975609756,102500
recorded,12,49,rxtvml,channel-latency,candidate,130545.639979602245,7844
recorded,12,49,rxtvml,channel-throughput,candidate,2541.649292110959,100722
recorded,12,50,rxtvml,channel-latency,accepted,139776.139776139782,7326
recorded,12,50,rxtvml,channel-throughput,accepted,2481.918833498148,103146
recorded,12,51,rxbvml,channel-latency,candidate,135413.911663581064,7562
recorded,12,51,rxbvml,channel-throughput,candidate,2852.876278779504,89734
recorded,12,52,rxbvml,channel-latency,accepted,40007.814026176988,25595
recorded,12,52,rxbvml,channel-throughput,accepted,2741.310260638640,93386
