workload,vm,metric,pairs,control_median,candidate_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total,guard_hit
NBody-rxbvm-opt,rxbvm,elapsed_ns,12,1646120000.000000,1644282500.000000,-1.051616,-0.682660,-0.309074,0.109676,2.527761,-0.110782,-0.716006,0.494442,noisy_inconclusive,7,12,no
NBody-rxbvm-noopt,rxbvm,elapsed_ns,12,3162774000.000000,3172594500.000000,-1.511106,-0.205871,0.229132,0.851335,1.504987,0.214055,-0.306838,0.734949,noisy_inconclusive,5,12,no
NBody-rxtvm-opt,rxtvm,elapsed_ns,12,1712672000.000000,1712637000.000000,-2.588409,-0.899324,-0.154595,0.775446,1.312158,-0.211045,-0.949603,0.527513,noisy_inconclusive,8,12,no
NBody-rxtvm-noopt,rxtvm,elapsed_ns,12,3285984500.000000,3302794500.000000,-2.292398,-0.587865,0.569349,1.287869,4.735474,0.583915,-0.550513,1.718344,noisy_inconclusive,4,12,no
CD-rxbvm-opt,rxbvm,elapsed_ns,12,88997000.000000,87589000.000000,-7.571299,-4.304092,-1.514516,2.799205,7.783636,-0.575786,-3.698768,2.547195,noisy_inconclusive,6,12,no
CD-rxbvm-noopt,rxbvm,elapsed_ns,12,57178500.000000,58541500.000000,-9.215352,-1.451331,5.677334,6.604869,12.070819,2.675861,-1.715602,7.067324,noisy_inconclusive,4,12,no
CD-rxtvm-opt,rxtvm,elapsed_ns,12,89333500.000000,85324000.000000,-11.039492,-5.469744,-2.316147,-0.349016,13.912511,-2.141162,-5.998727,1.716403,noisy_inconclusive,10,12,no
CD-rxtvm-noopt,rxtvm,elapsed_ns,12,59301500.000000,59921500.000000,-9.907177,-5.151521,0.961008,5.408706,8.873872,0.302427,-3.912886,4.517740,noisy_inconclusive,5,12,no
