comparison,workload,crexx_cell,reference_cell,ratio_higher_is_better
rxvm/oorexx,Sieve,sieve-rxvm,sieve-oorexx,6.879705
rxvm/netrexx,Sieve,sieve-rxvm,sieve-netrexx,1.933114
rxbvm/oorexx,Sieve,sieve-rxbvm,sieve-oorexx,5.651418
rxbvm/netrexx,Sieve,sieve-rxbvm,sieve-netrexx,1.587980
rxvm/oorexx,Permute,permute-rxvm,permute-oorexx,9.687526
rxvm/netrexx,Permute,permute-rxvm,permute-netrexx,0.597138
rxbvm/oorexx,Permute,permute-rxbvm,permute-oorexx,7.387701
rxbvm/netrexx,Permute,permute-rxbvm,permute-netrexx,0.455377
rxvm/oorexx,Bounce,bounce-rxvm,bounce-oorexx,5.058100
rxvm/netrexx,Bounce,bounce-rxvm,bounce-netrexx,1.985833
rxbvm/oorexx,Bounce,bounce-rxbvm,bounce-oorexx,3.669743
rxbvm/netrexx,Bounce,bounce-rxbvm,bounce-netrexx,1.440758
rxvm/oorexx,Richards,richards-rxvm,richards-oorexx,0.335528
rxvm/netrexx,Richards,richards-rxvm,richards-netrexx,0.167660
rxbvm/oorexx,Richards,richards-rxbvm,richards-oorexx,0.330456
rxbvm/netrexx,Richards,richards-rxbvm,richards-netrexx,0.165125
rxvm/oorexx,Base64,base64-rxvm,base64-oorexx,0.651659
rxvm/netrexx,Base64,base64-rxvm,base64-netrexx,0.615201
rxbvm/oorexx,Base64,base64-rxbvm,base64-oorexx,0.608274
rxbvm/netrexx,Base64,base64-rxbvm,base64-netrexx,0.574243
