vm,kind,packed_median_us,encoded_median_us,packed_median_items_per_second,encoded_median_items_per_second,paired_median_speedup,paired_median_delta_percent,packed_wins,rounds,packed_min_us,packed_max_us,encoded_min_us,encoded_max_us
rxbvm,read,11313.000000,22803.500000,176787766,87705835,2.021324,102.132,12,12,10505,11946,22110,23302
rxbvm,write,19296.500000,38064.000000,103645739,52543085,1.968814,96.881,12,12,18979,19588,36649,39137
rxtvm,read,10247.000000,25871.500000,195179077,77305143,2.532125,153.213,12,12,10156,10382,25629,26310
rxtvm,write,23055.000000,42042.000000,86749078,47571476,1.827385,82.739,12,12,22800,23453,40563,43355
