rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1945400,3,1,4,candidate,"LINKREF_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKREF_REG_REG(r3,r4)","r1=R9;r2=R1;r3=R10;r4=R3","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",557
2,1945400,3,1,3,candidate,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | UNLINK_REG(r3)","r1=R9;r2=R1;r3=R10","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",555
3,1875200,1,1,4,candidate,"BRF_ID_REG(c1,r1) | REFVALID_REG_REG(r2,r3) | BTOI_REG(r2)","c1=label@575;r1=R11;r2=R12;r3=R1","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",538
4,1875200,1,1,3,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R12;c1=int:0;c2=label@555","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",544
5,1875200,1,1,5,candidate,"REFVALID_REG_REG(r1,r2) | BRF_ID_REG(c1,r1) | REFVALID_REG_REG(r3,r4)","r1=R11;r2=R3;c1=label@575;r3=R12;r4=R1","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",535
6,1875200,1,1,3,candidate,"REFVALID_REG_REG(r1,r2) | BTOI_REG(r1) | IEQ_REG_REG_INT(r1,r1,c1)","r1=R12;r2=R1;c1=int:0","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",541
7,1875200,2,1,5,candidate,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | COPYATTR1_REG_REG_INT(r3,r4,c1)","r1=R10;r2=R3;r3=R1;r4=R9;c1=int:1","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",560
8,1805000,1,1,6,candidate,"COPYATTR1_REG_REG_INT(r1,r2,c1) | COPYATTR1_REG_REG_INT(r3,r4,c1) | BR_ID(c2)","r1=R1;r2=R9;c1=int:1;r3=R3;r4=R10;c2=label@535","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",565
9,1805000,1,1,5,candidate,"LINKREF_REG_REG(r1,r2) | COPYATTR1_REG_REG_INT(r3,r4,c1) | COPYATTR1_REG_REG_INT(r2,r1,c1)","r1=R10;r2=R3;r3=R1;r4=R9;c1=int:1","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",562
10,842700,11,1,4,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1) | SETTP_REG_INT(r3,c1)","r1=R18;c1=int:256;r2=R2;r3=R3","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",413
11,284300,2,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | NULLN_REG_REG(r2,r3)","r1=R20;c1=int:18;c2=int:1;r2=R8;r3=R9","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",446
12,281000,2,1,7,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5)","r1=R18;c1=int:18;c2=int:1;r2=R8;r3=R2;r4=R3;r5=R4","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",332
13,280900,1,1,5,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | REFVALID_REG_REG(r5,r3)","r1=R1;r2=R15;r3=R3;r4=R16;r5=R11","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",529
14,280900,1,1,4,candidate,"COPY_REG_REG(r1,r2) | REFVALID_REG_REG(r3,r1) | BRF_ID_REG(c1,r3)","r1=R3;r2=R16;r3=R11;c1=label@575","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",532
15,280900,1,1,4,candidate,"NULLN_REG_REG(r1,r2) | COPY_REG_REG(r1,r3) | COPY_REG_REG(r2,r4)","r1=R1;r2=R3;r3=R15;r4=R16","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",526
16,280900,1,1,5,candidate,"NULLN_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SETTP_REG_INT(r4,c1)","r1=R11;r2=R16;r3=R35;c1=int:256;r4=R37","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",595
17,280900,1,1,8,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG(r5,r6) | SETTP_REG_INT(r7,c1)","r1=R21;r2=R22;r3=R23;r4=R6;r5=R11;r6=R16;r7=R35;c1=int:256","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",590
18,280900,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULLN_REG_REG(r1,r2) | COPY_REG_REG(r1,r3)","c1=int:18;c2=int:1;r1=R1;r2=R3;r3=R15","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",522
19,280900,1,1,8,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG(r5,r6)","c1=int:18;c2=int:1;r1=R21;r2=R22;r3=R23;r4=R6;r5=R11;r6=R16","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",586
20,280900,1,1,6,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1) | CALL3_REG_FUNC_REG_REG_REG(r3,c2,r4,r1,r2)","r1=R37;c1=int:256;r2=R36;r3=R7;c2=func@31432;r4=R35","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",601
21,280900,5,1,7,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1) | CALL4_REG_FUNC_REG_REG_REG_REG(r3,c2,r4,r5,r1,r2)","r1=R3;c1=int:256;r2=R4;r3=R8;c2=func@23568;r4=R18;r5=R2","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",419
22,210700,1,1,3,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | RET_INT(c1)","r1=R9;r2=R10;c1=int:0","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/r2-copyattr/list.rxas",578
