case,frozen_k04_sha256,current_k02_k03_sha256,disposition
duplicate_link_read,bfa4420b15d8c373a98d7168b3404ec48f01db6145d6efeaff9c4a4cb9da0397,bfa4420b15d8c373a98d7168b3404ec48f01db6145d6efeaff9c4a4cb9da0397,legacy_floor_byte_identical
duplicate_link_read_bcopy,a8c522f832d6dec3b57a1fb41a458acaa875401a3e37ff37fbaffaa03e61e84a,a8c522f832d6dec3b57a1fb41a458acaa875401a3e37ff37fbaffaa03e61e84a,legacy_floor_byte_identical
duplicate_link_read_meta_relevant,a5b459d5fe69eaec14e35d5294d1dfdef26ab98a6f7f32dc0649bb1a4910b8d5,8a2ed14dd8c0cf6bcd38b2b4f43838f7e3a5db675457fe6b2f89dc57bbc013dc,stronger_safe_accept
duplicate_link_read_meta_unrelated,0f6e61b71424010246f3847a08536dfc5d93390c51a49fa542ed53fbaef95f36,0f6e61b71424010246f3847a08536dfc5d93390c51a49fa542ed53fbaef95f36,legacy_floor_byte_identical
duplicate_link_read_trace_relevant,2fb62e93fdf24901599a8b644a56229edbe1619e5ab72316515ecf52f5e14e0b,34f2e21be6be6e541a27f239f2ce9dc2c78f9b8ce2511b17e31613cd392d8005,stronger_safe_accept
duplicate_link_read_trace_unrelated,37f8e3ecaebbf9da181b08e56d87213895df25289be177a795b2ece6af4d56f0,37f8e3ecaebbf9da181b08e56d87213895df25289be177a795b2ece6af4d56f0,legacy_floor_byte_identical
duplicate_link_read_copy_families,not_in_legacy_floor,99e06e3dc82af98a67bb54c6b87a33e9b223eb25c83ebe536f0b77a151f04909,new_family_coverage
duplicate_link_read_source_changed,not_in_legacy_floor,230515707eea38c6e836c8b6f49a35829c576c8465a594c4ffe565653f15186f,safety_negative
duplicate_link_read_detached_changed,not_in_legacy_floor,af7e3910ef5b20a25b679f01f1a16372adc5186e0464bb1dbd814384063b2b54,safety_negative
duplicate_link_read_cursor_changed,not_in_legacy_floor,2d3c7ef05f3552eb17f64958433afd464728efcbbd742ed5270776c2ebbb7d18,safety_negative
duplicate_link_read_call_alias,not_in_legacy_floor,5f9ac39ebff56d98fbce0e68d4812c7a3187044a9913f8c48876bc7e4892b6ad,safety_negative
duplicate_link_read_divergent_phi,not_in_legacy_floor,c546cd5561e36b2950ab4b329d8c86e502e00019bc865e80452f67942d293a5c,safety_negative
duplicate_linkattr_read,97d309232c6c9acd5a80f0c4fcd300c0a30f9eb40a4bf2473305e0feedce134c,97d309232c6c9acd5a80f0c4fcd300c0a30f9eb40a4bf2473305e0feedce134c,legacy_floor_byte_identical
duplicate_linkattr_read_bcopy,a482b7c5a255463114d95e424d2d4839668ed47c2ba099f70597c1dc0bf0b47d,a482b7c5a255463114d95e424d2d4839668ed47c2ba099f70597c1dc0bf0b47d,legacy_floor_byte_identical
duplicate_linkattr_different,f44907add36d65f1b00db4c9ca661f5c187b7ef6f5ba570c5492bb8d7215713c,f44907add36d65f1b00db4c9ca661f5c187b7ef6f5ba570c5492bb8d7215713c,legacy_negative_byte_identical
duplicate_linkattr_read_copy_families,not_in_legacy_floor,9616d73b15a9ede7990909521b6febc4856e58f240de61b6ce105ecd81cf120b,new_family_coverage
duplicate_linkattr_count_changed,not_in_legacy_floor,6877be085e11eb8e0f6737049a7173c60b87b7aeec91872990bd952c973ed103,safety_negative
duplicate_linkattr_unproved_signal,not_in_legacy_floor,e1742ac34f748760fe0df2833e99cf2fd84bb614acfcfa14421a81180fed6203,safety_negative
duplicate_linkattr_source_changed,not_in_legacy_floor,e036e4dc0726fd41f5d75b0aa72f501df0a1b9c0322057a1f7f6fc6427af5b93,safety_negative
duplicate_linkattr_owner_alias,not_in_legacy_floor,caf251f1c4e6dca287a2cff5a085eeac811ab38f1b314c4020f4cb3d4f96de28,stronger_owner_alias_accept
duplicate_linkattr_owner_different,not_in_legacy_floor,29365b6a54e843597776954beab747e4472fb58a8e7c6d01ce9e11410c25f59a,safety_negative
