# Stage 5 fresh-build product and timed cREXX artifact inventory.
# This is deliberately a current, bounded inventory rather than a recursive
# historical checksum bundle.
# role|runtime|workload|form|path
crexx-artifact-inventory|1
product|crexx|toolchain|compiler|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/bin/rxc
product|crexx|toolchain|assembler|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/bin/rxas
product|crexx|toolchain|linker|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/bin/rxlink
product|crexx|toolchain|disassembler|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/bin/rxdas
product|crexx|runtime|selected-executable|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/bin/rxvm
control|crexx|runtime|threaded-executable|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/bin/rxtvm
control|crexx|runtime|bytecode-executable|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/bin/rxbvm
product|crexx|library|linked-rxbin|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/bin/library.rxbin
benchmark|crexx|Sieve|rxas|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxas
benchmark|crexx|Sieve|rxbin|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxbin
benchmark|crexx|Permute|rxas|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxas
benchmark|crexx|Permute|rxbin|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxbin
benchmark|crexx|Bounce|rxas|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxas
benchmark|crexx|Bounce|rxbin|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxbin
benchmark|crexx|Richards|rxas|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxas
benchmark|crexx|Richards|rxbin|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxbin
benchmark|crexx|Towers|rxas|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxas
benchmark|crexx|Towers|rxbin|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxbin
benchmark|crexx|Storage|rxas|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/tests/benchmarks/benchmark_awfy_storage_opt.rxas
benchmark|crexx|Storage|rxbin|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/tests/benchmarks/benchmark_awfy_storage_opt.rxbin
benchmark|crexx|List|rxas|/var/folders/nr/7ckzqpl91kz80mcy3316h1tr0000gn/T/crexx-stage5.fmZzkgCyGi/build-release/tests/benchmarks/benchmark_awfy_list_opt.rxas
