entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
list-r12-control,list-r12,List,baseline,control,process,warmup,2,86219000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,1,86053000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,2,87298000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,3,85815000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,4,86020000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,5,85406000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,6,87894000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,7,86154000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,8,87550000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,9,86990000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,10,86041000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,11,86078000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,12,85630000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,13,85669000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,14,87621000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,15,85522000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,warmup,1,79022000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,warmup,2,79348000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,1,79027000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,2,79518000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,3,79440000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,4,80913000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,5,81222000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,6,79429000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,7,79345000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,8,81632000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,9,79419000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,10,79510000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,11,79837000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,12,79662000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,13,78625000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,14,79394000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,15,81327000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,warmup,1,280100000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,warmup,2,365792000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,1,335966000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,2,317608000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,3,287795000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,4,363249000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,5,305119000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,6,306464000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,7,266524000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,8,290265000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,9,310036000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,10,325706000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,11,350756000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,12,283327000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,13,366518000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,14,392297000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,15,317629000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,warmup,1,397192000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,warmup,2,354208000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,1,352850000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,2,304680000,0,pass
