# PERF2-11 Intel Linux clang formal source/product/generated/artifact inventory.
# role|runtime|workload|form|path
crexx-artifact-inventory|1
product|crexx|toolchain|compiler|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/bin/rxc
product|crexx|toolchain|assembler|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/bin/rxas
product|crexx|toolchain|linker|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/bin/rxlink
product|crexx|runtime|threaded-executable|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/bin/rxvm
product|crexx|runtime|bytecode-executable|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/bin/rxbvm
product|crexx|library|linked-rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/bin/library.rxbin
build|crexx|toolchain|cmake-cache|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/CMakeCache.txt
tool|crexx|PERF2-11|matrix-driver|performance/tools/run_cross_runtime_matrix.crexx
tool|crexx|PERF2-11|lifecycle-driver|performance/tools/run_lifecycle.crexx
tool|crexx|PERF2-11|artifact-inventory|performance/tools/inventory_performance_artifacts.crexx
manifest|all|PERF2-11|formal-matrix|/home/adrian/CLionProjects/CREXX/performance/evidence/2026-07-28-perf2-10-11-intel-linux/manifests/perf2-11-linux-x86-64-clang-baseline-v1.txt
manifest|all|PERF2-11|timing-append|/home/adrian/CLionProjects/CREXX/performance/evidence/2026-07-28-perf2-10-11-intel-linux/manifests/perf2-11-linux-x86-64-clang-timing-noise-append-v1.txt
manifest|all|PERF2-11|rss-append|/home/adrian/CLionProjects/CREXX/performance/evidence/2026-07-28-perf2-10-11-intel-linux/manifests/perf2-11-linux-x86-64-clang-rss-noise-append-v1.txt
benchmark|crexx|Sieve|source|tests/benchmarks/awfy_sieve.crexx
benchmark|crexx|Sieve|rxas|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxas
benchmark|crexx|Sieve|rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxbin
benchmark|crexx|Permute|source|tests/benchmarks/awfy_permute.crexx
benchmark|crexx|Permute|rxas|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_awfy_permute_opt.rxas
benchmark|crexx|Permute|rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_awfy_permute_opt.rxbin
benchmark|crexx|Bounce|source|tests/benchmarks/awfy_bounce.crexx
benchmark|crexx|Bounce|rxas|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxas
benchmark|crexx|Bounce|rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxbin
benchmark|crexx|Richards|source|tests/benchmarks/awfy_richards.crexx
benchmark|crexx|Richards|rxas|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_awfy_richards_opt.rxas
benchmark|crexx|Richards|rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_awfy_richards_opt.rxbin
benchmark|crexx|Base64|source|tests/benchmarks/base64_roundtrip.crexx
benchmark|crexx|Base64|rxas|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_base64_roundtrip_opt.rxas
benchmark|crexx|Base64|rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_base64_roundtrip_opt.rxbin
benchmark|crexx|Towers|source|tests/benchmarks/awfy_towers.crexx
benchmark|crexx|Towers|rxas|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_awfy_towers_opt.rxas
benchmark|crexx|Towers|rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/clang-release/tests/benchmarks/benchmark_awfy_towers_opt.rxbin
