crexx-nr05-call-census-manifest|1
# PERF2-11 exact current optimized/noopt Tier A steady-state portfolio; bounded counts-only diagnostics.
sieve-noopt|sieve|Sieve|baseline|noopt|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/tests/benchmarks/benchmark_awfy_sieve_noopt.rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/bin/library.rxbin|50|PASS: AWFY Sieve|source=tests/benchmarks/awfy_sieve.crexx;TRACE=Off|0|1|0c8d9099db3f12caee8bc89ba14bbdffbb418002092590fb85100a3bdc7ea472|637c816a010255cd33260d86f24f700c8be9b1d62a3eaf0e8d9e9bdcdbdacf9b
sieve-opt|sieve|Sieve|candidate|opt|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/bin/library.rxbin|50|PASS: AWFY Sieve|source=tests/benchmarks/awfy_sieve.crexx;TRACE=Off|0|1|75d264a9acb4f17aab6c85e1a2991904580950ec6cd4da1c235d1010319e4f7f|637c816a010255cd33260d86f24f700c8be9b1d62a3eaf0e8d9e9bdcdbdacf9b
permute-noopt|permute|Permute|baseline|noopt|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/tests/benchmarks/benchmark_awfy_permute_noopt.rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/bin/library.rxbin|50|PASS: AWFY Permute|source=tests/benchmarks/awfy_permute.crexx;TRACE=Off|0|1|1bd3161c39e8df0b0830e0b0788faa90df876456d98a0fe72992294186e2af78|637c816a010255cd33260d86f24f700c8be9b1d62a3eaf0e8d9e9bdcdbdacf9b
permute-opt|permute|Permute|candidate|opt|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/tests/benchmarks/benchmark_awfy_permute_opt.rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/bin/library.rxbin|50|PASS: AWFY Permute|source=tests/benchmarks/awfy_permute.crexx;TRACE=Off|0|1|c1aa378b3dad522a6c9a4c35395da762cc89d870e4f36e920d22bbab7fac83e2|637c816a010255cd33260d86f24f700c8be9b1d62a3eaf0e8d9e9bdcdbdacf9b
towers-noopt|towers|Towers|baseline|noopt|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/tests/benchmarks/benchmark_awfy_towers_noopt.rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/bin/library.rxbin|10|PASS: AWFY Towers|source=tests/benchmarks/awfy_towers.crexx;TRACE=Off|0|1|efb6a3bf21c56d54e0868896fd69a0fedadd7048ada89b2088aed42f9b8e3b87|637c816a010255cd33260d86f24f700c8be9b1d62a3eaf0e8d9e9bdcdbdacf9b
towers-opt|towers|Towers|candidate|opt|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/tests/benchmarks/benchmark_awfy_towers_opt.rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/bin/library.rxbin|10|PASS: AWFY Towers|source=tests/benchmarks/awfy_towers.crexx;TRACE=Off|0|1|cb2cee7f07369b89da8c2771cdab553710c5cbdade9d1e35f0aa5e2d47b72e2b|637c816a010255cd33260d86f24f700c8be9b1d62a3eaf0e8d9e9bdcdbdacf9b
bounce-noopt|bounce|Bounce|baseline|noopt|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/tests/benchmarks/benchmark_awfy_bounce_noopt.rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/bin/library.rxbin|100|PASS: AWFY Bounce|source=tests/benchmarks/awfy_bounce.crexx;TRACE=Off|0|1|21b106215b13efb6e125237f19f06754aa53843b1c2a0aca6359304cbb920122|637c816a010255cd33260d86f24f700c8be9b1d62a3eaf0e8d9e9bdcdbdacf9b
bounce-opt|bounce|Bounce|candidate|opt|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/bin/library.rxbin|100|PASS: AWFY Bounce|source=tests/benchmarks/awfy_bounce.crexx;TRACE=Off|0|1|7510f0b3857f0f87fcda024e63ae49472888cd1f4e6daf968940b986dffb0aee|637c816a010255cd33260d86f24f700c8be9b1d62a3eaf0e8d9e9bdcdbdacf9b
richards-noopt|richards|Richards|baseline|noopt|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/tests/benchmarks/benchmark_awfy_richards_noopt.rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/bin/library.rxbin|1|PASS: AWFY Richards|source=tests/benchmarks/awfy_richards.crexx;TRACE=Off|0|1|7e0ada5338b44d7c1cafdd9da202981aa2fbe5aebff75130dbb0222efa5ccb97|637c816a010255cd33260d86f24f700c8be9b1d62a3eaf0e8d9e9bdcdbdacf9b
richards-opt|richards|Richards|candidate|opt|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/tests/benchmarks/benchmark_awfy_richards_opt.rxbin|/tmp/crexx-perf2-linux-x64.d5f0827ca/gcc-release/bin/library.rxbin|1|PASS: AWFY Richards|source=tests/benchmarks/awfy_richards.crexx;TRACE=Off|0|1|12abbbbc694081387774c58bc9fd7b875ac1bee86a94b5e763f8fb6735f658cf|637c816a010255cd33260d86f24f700c8be9b1d62a3eaf0e8d9e9bdcdbdacf9b
