workload,engine,metric,clang_median,gcc_median,clang_throughput_advantage_percent
Base64,rxbvm,elapsed_ns,1646214000.000000,3131324000.000000,90.213666
Base64,rxtvm,elapsed_ns,1563177500.000000,2970547500.000000,90.032642
Bounce,rxbvm,elapsed_ns,1018646500.000000,1915855500.000000,88.078543
Bounce,rxtvm,elapsed_ns,1026873500.000000,1395708500.000000,35.918251
Permute,rxbvm,elapsed_ns,1643371000.000000,2749136500.000000,67.286419
Permute,rxtvm,elapsed_ns,1642086500.000000,2208544500.000000,34.496234
RexxCPS,rxbvm,benchmark_rate,44735520.500000,38954520.500000,14.840383
RexxCPS,rxtvm,benchmark_rate,45998523.000000,44400865.500000,3.598258
Richards,rxbvm,elapsed_ns,2125972500.000000,2275512000.000000,7.033934
Richards,rxtvm,elapsed_ns,2072040000.000000,2163096500.000000,4.394534
Sieve,rxbvm,elapsed_ns,1004369000.000000,1449086000.000000,44.278248
Sieve,rxtvm,elapsed_ns,938885000.000000,1053320500.000000,12.188447
Towers,rxbvm,elapsed_ns,2048710000.000000,2195226000.000000,7.151622
Towers,rxtvm,elapsed_ns,2021119500.000000,2137626000.000000,5.764454
all-seven-geometric-mean,rxbvm,derived-throughput-ratio,,,41.526175
all-seven-geometric-mean,rxtvm,derived-throughput-ratio,,,23.803652
