rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,8696048,3,1,4,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1)","r1=R10;r2=R5;r3=R4;c1=label@256","benchmark_awfy_mandelbrot_opt",62
2,8544877,3,1,4,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R23;r2=R11;c1=int:0;c2=label@190","benchmark_awfy_mandelbrot_opt",138
3,8294876,1,1,5,candidate,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2)","c1=label@190;r1=R22;r2=R23;r3=R11;c2=int:0","benchmark_awfy_mandelbrot_opt",135
4,8195047,1,1,5,candidate,"BRF_ID_REG(c1,r1) | FSUB_REG_REG_REG(r2,r3,r4)","c1=label@190;r1=R23;r2=R24;r3=R16;r4=R15","benchmark_awfy_mandelbrot_opt",142
5,8195047,1,1,4,candidate,"FADD_REG_REG_REG(r1,r2,r3) | FGT_REG_REG_FLOAT(r1,r1,c1)","r1=R24;r2=R16;r3=R15;c1=float@11888","benchmark_awfy_mandelbrot_opt",173
6,8195047,1,1,4,candidate,"FADD_REG_REG_REG(r1,r2,r3) | FMULT_REG_REG_FLOAT(r2,r1,c1)","r1=R19;r2=R24;r3=R12;c1=float@5104","benchmark_awfy_mandelbrot_opt",149
7,8195047,1,1,5,candidate,"FADD_REG_REG_REG(r1,r2,r3) | FMULT_REG_REG_REG(r4,r5,r5)","r1=R14;r2=R24;r3=R6;r4=R16;r5=R19","benchmark_awfy_mandelbrot_opt",161
8,8195047,1,1,3,candidate,"FGT_REG_REG_FLOAT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R24;c1=float@11888;c2=label@187","benchmark_awfy_mandelbrot_opt",177
9,8195047,1,1,4,candidate,"FMULT_REG_REG_FLOAT(r1,r2,c1) | FMULT_REG_REG_REG(r1,r1,r3)","r1=R24;r2=R19;c1=float@5104;r3=R14","benchmark_awfy_mandelbrot_opt",153
10,8195047,1,1,3,candidate,"FMULT_REG_REG_REG(r1,r1,r2) | FADD_REG_REG_REG(r2,r1,r3)","r1=R24;r2=R14;r3=R6","benchmark_awfy_mandelbrot_opt",157
11,8195047,1,1,4,candidate,"FMULT_REG_REG_REG(r1,r2,r2) | FADD_REG_REG_REG(r3,r4,r1)","r1=R15;r2=R14;r3=R24;r4=R16","benchmark_awfy_mandelbrot_opt",169
12,8195047,1,1,4,candidate,"FMULT_REG_REG_REG(r1,r2,r2) | FMULT_REG_REG_REG(r3,r4,r4)","r1=R16;r2=R19;r3=R15;r4=R14","benchmark_awfy_mandelbrot_opt",165
13,8195047,1,1,5,candidate,"FSUB_REG_REG_REG(r1,r2,r3) | FADD_REG_REG_REG(r4,r1,r5)","r1=R24;r2=R16;r3=R15;r4=R19;r5=R12","benchmark_awfy_mandelbrot_opt",145
14,500000,2,1,3,candidate,"LOAD_REG_FLOAT(r1,c1) | LOAD_REG_FLOAT(r2,c1)","r1=R16;c1=float@6440;r2=R14","benchmark_awfy_mandelbrot_opt",98
15,281503,6,1,3,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1)","r1=R9;c1=int:0;r2=R8","benchmark_awfy_mandelbrot_opt",46
16,250500,2,1,6,candidate,"FDIVSUB_REG_REG_REG_FLOAT(r1,r2,r3,c1) | LOAD_REG_INT(r4,c2)","r1=R6;r2=R11;r3=R12;c1=float@5288;r4=R13;c2=int:0","benchmark_awfy_mandelbrot_opt",79
17,250500,2,1,4,candidate,"FMULT_REG_REG_FLOAT(r1,r1,c1) | ITOF_REG_REG(r2,r3)","r1=R11;c1=float@5104;r2=R12;r3=R3","benchmark_awfy_mandelbrot_opt",72
18,250500,2,1,5,candidate,"ITOF_REG_REG(r1,r2) | FDIVSUB_REG_REG_REG_FLOAT(r3,r4,r1,c1)","r1=R12;r2=R3;r3=R6;r4=R11;c1=float@5288","benchmark_awfy_mandelbrot_opt",76
19,250500,2,1,3,candidate,"ITOF_REG_REG(r1,r2) | FMULT_REG_REG_FLOAT(r1,r1,c1)","r1=R11;r2=R5;c1=float@5104","benchmark_awfy_mandelbrot_opt",69
20,250000,1,1,4,candidate,"BRT_ID_REG(c1,r1) | LOAD_REG_FLOAT(r2,c2)","c1=label@253;r1=R18;r2=R16;c2=float@6440","benchmark_awfy_mandelbrot_opt",95
21,250000,1,1,4,candidate,"IADD_REG_REG_INT(r1,r1,c1) | IEQ_REG_REG_INT(r2,r1,c2)","r1=R7;c1=int:1;r2=R24;c2=int:8","benchmark_awfy_mandelbrot_opt",198
22,250000,1,1,5,candidate,"IADD_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r4,r4,c1)","r1=R8;r2=R24;r3=R11;r4=R7;c1=int:1","benchmark_awfy_mandelbrot_opt",194
