-- Install configuration: "MinSizeRel"
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/share/crexx/messages
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/share/crexx/messages/diagnostics.de_DE.msg
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/share/crexx/messages/diagnostics.en_GB.msg
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/share/crexx/messages/diagnostics.en_US.msg
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/share/crexx/messages/diagnostics.nl_NL.msg
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/include/crexx_version.h
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/./VERSION
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/./BUILDINFO
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/lib/crexxsaa.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/crexxsaa.dll
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/include/crexxsaa.h
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/crexxsaa.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/include/rxpa/crexxpa.h
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/include/platform/rxinteger.h
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/include/rxpa/crexx_version.h
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/maclib.rexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/macsys.rexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/mathlib.rexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/syslib.rexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/functions/array-formatting/arrayformatdemo.rxbin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/exits/pprint/pprint_example.rxbin
-- Up-to-date: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/anagram.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/caesar.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/classes
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/classes/README.md
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/classFactory.rxpp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/date1.crexx
-- Up-to-date: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/exits
-- Up-to-date: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/exits/pprint
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/exits/pprint/Pprint.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/exits/pprint/pprint_example.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/exits/pprint/README.md
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/exits/README.md
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/exposeVars.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/factorial.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/fibonacci.crexx
-- Up-to-date: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/functions
-- Up-to-date: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/functions/array-formatting
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/functions/array-formatting/arraydump.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/functions/array-formatting/arrayformat.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/functions/array-formatting/array_formatting_example.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/functions/array-formatting/README.md
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/functions/README.md
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/gausssqr.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/gcd.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/hello.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/lcm.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/MonteCarlo.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/nthroot.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/objects_the_hidden_gems.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/ooBank.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/plugins
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/plugins/README.md
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/README.md
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/rxqueue_named.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/Service_registry.rxpp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/sieveEratosthenes.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/sort.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/stems.rxpp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/stems_the_hidden_gems.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/strings1.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/system.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/time_sample.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/examples/xref.crexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/lib/cmake/CREXX/CREXXTargets.cmake
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/lib/cmake/CREXX/CREXXConfig.cmake
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/lib/cmake/CREXX/CREXXConfigVersion.cmake
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/lib/cmake/CREXX/CrexxOperationContract.cmake
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/lib/cmake/CREXX/RXPluginFunction.cmake
-- Up-to-date: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/address_argv_fixture.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/address_spawn_transfer_fixture.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/avl_tree.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/classlib.rxbin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/classlib_native.rxbin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/crexx-contract.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/crexx.exe
-- Up-to-date: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/crexxsaa.dll
-- Up-to-date: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/crexxsaa.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/crexxsaa.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/crexxsaa.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/crexx_native_cflags
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/crexx_native_cflags_argv
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/crexx_native_compiler
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/crexx_native_compiler_style
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/crexx_native_ldflags
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/crexx_native_ldflags_argv
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/crexx_native_libs
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/crexx_native_libs_argv
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/db_decimal.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/db_decimal.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/decnumber.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/exittestsupport.rxbin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/library.rxbin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/maclib.rexx
