aggregate,vm,metric,pairs,control_median,candidate_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total,guard_hit
common-five,rxtvm,higher_is_better_geomean_ratio,24,1.000000,1.013398,-1.679649,0.454620,1.339826,2.585245,6.100989,1.431079,0.637875,2.224283,clear_favorable,19,24,no
common-five,rxbvm,higher_is_better_geomean_ratio,24,1.000000,1.014828,-3.655624,0.100494,1.482789,2.957207,4.155877,1.218988,0.304829,2.133147,clear_favorable,18,24,no
