workload,vm,metric,pairs,control_median,candidate_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total,guard_hit
Sieve,rxtvm,elapsed_ns,36,1082669000.000000,1083114500.000000,-5.080903,-0.650028,-0.108470,0.508189,2.496903,-0.148155,-0.587162,0.290853,noisy_inconclusive,19,36,no
Sieve,rxbvm,elapsed_ns,36,1067619500.000000,1064493500.000000,-2.344793,-0.807480,-0.205146,0.217908,1.589733,-0.310996,-0.608381,-0.013610,clear_favorable,22,36,no
Permute,rxtvm,elapsed_ns,36,1950651000.000000,1956117500.000000,-3.252296,-0.611450,0.185559,1.188205,3.931523,0.409260,-0.109825,0.928345,noisy_inconclusive,13,36,no
Permute,rxbvm,elapsed_ns,36,1801165500.000000,1804757500.000000,-2.341081,-0.945654,0.110104,1.075752,3.184416,0.175053,-0.274954,0.625060,noisy_inconclusive,15,36,no
Bounce,rxtvm,elapsed_ns,36,1187053000.000000,1183255500.000000,-5.691691,-1.919159,-0.356949,1.879571,3.730419,-0.175584,-1.010993,0.659825,noisy_inconclusive,21,36,no
Bounce,rxbvm,elapsed_ns,36,1125555500.000000,1125817500.000000,-4.803892,-0.675958,-0.114413,0.742153,1.560358,-0.219033,-0.677310,0.239244,noisy_inconclusive,19,36,no
Richards,rxtvm,elapsed_ns,36,2155044000.000000,2141495500.000000,-7.791135,-1.649734,-0.439996,1.127597,7.158433,-0.658579,-1.716323,0.399166,noisy_inconclusive,22,36,no
Richards,rxbvm,elapsed_ns,36,2161755000.000000,2117921500.000000,-4.855704,-2.660494,-0.568306,1.470374,3.939365,-0.571116,-1.421987,0.279755,noisy_inconclusive,21,36,no
Base64,rxtvm,elapsed_ns,36,1800588500.000000,1701862500.000000,-21.476570,-8.279689,-5.530148,1.001197,6.172670,-4.202705,-6.320139,-2.085271,clear_favorable,26,36,no
Base64,rxbvm,elapsed_ns,36,1616361500.000000,1562431000.000000,-16.465672,-9.436415,-2.580885,1.364147,14.592769,-3.166449,-6.091361,-0.241538,clear_favorable,24,36,no
Towers,rxtvm,elapsed_ns,36,2095935000.000000,2105655500.000000,-1.334047,-0.293759,0.391673,1.302262,11.275866,0.986414,0.134681,1.838146,clear_adverse,13,36,no
Towers,rxbvm,elapsed_ns,36,2127439000.000000,2122943500.000000,-3.004049,-0.631256,-0.140573,0.329355,4.481899,-0.049646,-0.548861,0.449570,noisy_inconclusive,22,36,no
RexxCPS,rxtvm,benchmark_rate,36,44445175.500000,44034260.500000,-4.793748,-1.476944,-0.984921,-0.135424,1.274439,-1.012927,-1.390582,-0.635273,clear_adverse,7,36,no
RexxCPS,rxbvm,benchmark_rate,36,44349087.000000,44384716.000000,-13.168414,-0.536072,0.091987,1.009549,8.797771,0.056966,-0.935898,1.049830,noisy_inconclusive,19,36,no
