aggregate,vm,metric,pairs,control_median,candidate_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total,guard_hit
common-five,rxtvm,higher_is_better_geomean_ratio,36,1.000000,1.011017,-1.679649,-0.139040,1.101709,2.076600,6.100989,1.055583,0.465799,1.645367,clear_favorable,26,36,no
common-five,rxbvm,higher_is_better_geomean_ratio,36,1.000000,1.008262,-3.655624,-0.314365,0.826224,2.498601,4.155877,0.939592,0.265290,1.613894,clear_favorable,25,36,no
