workload,vm,metric,pairs,control_median,candidate_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total,guard_hit
Sieve,rxtvm,elapsed_ns,12,1085708000.000000,1082492000.000000,-5.080903,-0.816792,-0.075289,0.464776,0.654958,-0.588002,-1.603721,0.427718,noisy_inconclusive,6,12,no
Sieve,rxbvm,elapsed_ns,12,1073077500.000000,1067864000.000000,-1.979519,-1.007166,-0.255413,0.655098,1.589733,-0.165267,-0.887003,0.556469,noisy_inconclusive,7,12,no
Permute,rxtvm,elapsed_ns,12,1964901000.000000,1978643000.000000,-1.401741,-0.290606,0.572901,1.082058,3.007567,0.519642,-0.273688,1.312972,noisy_inconclusive,4,12,no
Permute,rxbvm,elapsed_ns,12,1876496000.000000,1870854000.000000,-1.391992,-0.867274,-0.022953,0.300315,3.184416,0.103968,-0.805406,1.013341,noisy_inconclusive,6,12,no
Bounce,rxtvm,elapsed_ns,12,1217805500.000000,1213166500.000000,-3.013501,-1.628162,-0.506207,0.129772,2.344810,-0.525604,-1.611277,0.560068,noisy_inconclusive,9,12,no
Bounce,rxbvm,elapsed_ns,12,1192250000.000000,1190469000.000000,-4.803892,-0.831000,-0.370766,0.418172,1.038190,-0.803187,-1.994913,0.388539,noisy_inconclusive,8,12,no
Richards,rxtvm,elapsed_ns,12,2217312500.000000,2205599500.000000,-7.791135,-2.143308,-1.036474,-0.388366,3.143622,-1.784053,-3.834955,0.266849,noisy_inconclusive,10,12,no
Richards,rxbvm,elapsed_ns,12,2214039000.000000,2224139500.000000,-4.613576,-0.282545,1.222956,1.807137,3.939365,0.678671,-0.842751,2.200092,noisy_inconclusive,4,12,no
Base64,rxtvm,elapsed_ns,12,1787268000.000000,1680801000.000000,-12.836536,-7.893063,-7.240259,-3.970314,5.870363,-5.393295,-8.604744,-2.181847,clear_favorable,10,12,no
Base64,rxbvm,elapsed_ns,12,1736355500.000000,1537960000.000000,-16.465672,-14.231964,-6.087199,-1.091805,14.592769,-5.305626,-12.117337,1.506085,noisy_inconclusive,10,12,no
Towers,rxtvm,elapsed_ns,12,2189463000.000000,2203697000.000000,-1.117881,-0.021510,0.642863,1.098404,11.275866,1.588041,-0.536244,3.712327,noisy_inconclusive,3,12,no
Towers,rxbvm,elapsed_ns,12,2233080000.000000,2225743000.000000,-3.004049,-1.022086,-0.640180,0.233322,2.922609,-0.554286,-1.562356,0.453783,noisy_inconclusive,8,12,no
RexxCPS,rxtvm,benchmark_rate,12,44235066.500000,44042851.000000,-1.750248,-1.484637,-0.995279,-0.083399,1.274439,-0.709952,-1.320230,-0.099674,clear_adverse,3,12,no
RexxCPS,rxbvm,benchmark_rate,12,44377056.500000,44346015.500000,-13.168414,-0.791094,-0.146188,0.610414,1.448858,-1.170862,-3.664176,1.322452,noisy_inconclusive,5,12,no
