workload,vm,metric,pairs,control_median,candidate_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total,guard_hit
Sieve,rxtvm,elapsed_ns,24,1081964000.000000,1080953500.000000,-5.080903,-0.629687,-0.108470,0.464776,2.179435,-0.241591,-0.797993,0.314811,noisy_inconclusive,13,24,no
Sieve,rxbvm,elapsed_ns,24,1070698000.000000,1064949000.000000,-2.344793,-0.910611,-0.205146,0.307353,1.589733,-0.314645,-0.733103,0.103813,noisy_inconclusive,15,24,no
Permute,rxtvm,elapsed_ns,24,1956235000.000000,1958148500.000000,-3.252296,-0.246564,0.374812,1.091173,3.931523,0.507536,-0.164135,1.179206,noisy_inconclusive,7,24,no
Permute,rxbvm,elapsed_ns,24,1827677000.000000,1825522500.000000,-1.636999,-0.981742,0.018553,0.657669,3.184416,0.084928,-0.464289,0.634146,noisy_inconclusive,11,24,no
Bounce,rxtvm,elapsed_ns,24,1208449500.000000,1188885000.000000,-4.530712,-2.127778,-0.901188,0.754384,3.335200,-0.676328,-1.597274,0.244618,noisy_inconclusive,17,24,no
Bounce,rxbvm,elapsed_ns,24,1154973000.000000,1159646500.000000,-4.803892,-0.675958,-0.268896,0.881519,1.404643,-0.311510,-0.957121,0.334102,noisy_inconclusive,14,24,no
Richards,rxtvm,elapsed_ns,24,2159530500.000000,2165252000.000000,-7.791135,-1.361381,-0.439996,0.649952,3.143622,-0.777422,-1.907620,0.352776,noisy_inconclusive,15,24,no
Richards,rxbvm,elapsed_ns,24,2177930000.000000,2162715500.000000,-4.855704,-2.817540,-0.283364,1.551438,3.939365,-0.564177,-1.706320,0.577966,noisy_inconclusive,13,24,no
Base64,rxtvm,elapsed_ns,24,1807156500.000000,1689915000.000000,-21.476570,-8.279689,-6.755243,-1.392585,5.870363,-5.390101,-8.000123,-2.780078,clear_favorable,19,24,no
Base64,rxbvm,elapsed_ns,24,1699210500.000000,1587458000.000000,-16.465672,-10.599986,-3.787708,-0.446209,14.592769,-4.273483,-8.076304,-0.470661,clear_favorable,19,24,no
Towers,rxtvm,elapsed_ns,24,2104431000.000000,2117722000.000000,-1.117881,-0.151890,0.421196,1.371816,11.275866,1.313811,0.059969,2.567652,clear_adverse,8,24,no
Towers,rxbvm,elapsed_ns,24,2137018000.000000,2124269500.000000,-3.004049,-0.762691,-0.186450,0.233322,4.481899,-0.201279,-0.888375,0.485818,noisy_inconclusive,15,24,no
RexxCPS,rxtvm,benchmark_rate,24,44368348.500000,44018715.500000,-4.793748,-1.553579,-0.995279,-0.232852,1.274439,-1.047667,-1.543495,-0.551839,clear_adverse,4,24,no
RexxCPS,rxbvm,benchmark_rate,24,44461826.500000,44454299.000000,-13.168414,-0.744563,-0.024660,0.896653,1.448858,-0.585516,-1.802011,0.630980,noisy_inconclusive,12,24,no
