vm	comparison	loop_count	padding_cells	process_run	pair	order	current_us	alternative_us	delta_us	delta_per_call_ns	alternative_delta_percent
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	1	2	current-first	4286	3841	-445	-0.445000	-10.382641
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	1	3	alternative-first	4324	3873	-451	-0.451000	-10.430157
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	1	4	current-first	4298	3852	-446	-0.446000	-10.376919
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	1	1	alternative-first	3932	3501	-431	-0.431000	-10.961343
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	1	2	current-first	4018	3502	-516	-0.516000	-12.842210
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	1	3	alternative-first	4132	3490	-642	-0.642000	-15.537270
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	1	4	current-first	4139	3517	-622	-0.622000	-15.027784
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	2	1	alternative-first	3950	3492	-458	-0.458000	-11.594937
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	2	2	current-first	3948	3534	-414	-0.414000	-10.486322
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	2	3	alternative-first	3997	3558	-439	-0.439000	-10.983237
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	2	4	current-first	3956	3504	-452	-0.452000	-11.425683
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	2	1	alternative-first	4321	3816	-505	-0.505000	-11.687109
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	2	2	current-first	4388	3820	-568	-0.568000	-12.944394
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	2	3	alternative-first	4394	3811	-583	-0.583000	-13.268093
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	2	4	current-first	4311	3833	-478	-0.478000	-11.087915
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	3	1	alternative-first	4222	3876	-346	-0.346000	-8.195168
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	3	2	current-first	4301	3909	-392	-0.392000	-9.114159
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	3	3	alternative-first	4271	3870	-401	-0.401000	-9.388902
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	3	4	current-first	4328	3913	-415	-0.415000	-9.588725
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	3	1	alternative-first	3903	3573	-330	-0.330000	-8.455035
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	3	2	current-first	3896	3543	-353	-0.353000	-9.060575
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	3	3	alternative-first	3940	3569	-371	-0.371000	-9.416244
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	9	3	4	current-first	3913	3555	-358	-0.358000	-9.148991
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	1	1	alternative-first	4334	3905	-429	-0.429000	-9.898477
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	1	2	current-first	4305	3827	-478	-0.478000	-11.103368
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	1	3	alternative-first	4413	3878	-535	-0.535000	-12.123272
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	1	4	current-first	4353	3828	-525	-0.525000	-12.060648
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	1	1	alternative-first	3973	3517	-456	-0.456000	-11.477473
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	1	2	current-first	4029	3530	-499	-0.499000	-12.385207
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	1	3	alternative-first	3978	3516	-462	-0.462000	-11.613876
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	1	4	current-first	4074	3757	-317	-0.317000	-7.781051
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	2	1	alternative-first	4010	3604	-406	-0.406000	-10.124688
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	2	2	current-first	4086	3579	-507	-0.507000	-12.408223
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	2	3	alternative-first	4698	3622	-1076	-1.076000	-22.903363
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	2	4	current-first	4934	4747	-187	-0.187000	-3.790028
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	2	1	alternative-first	4884	4873	-11	-0.011000	-0.225225
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	2	2	current-first	6121	4169	-1952	-1.952000	-31.890214
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	2	3	alternative-first	4719	4040	-679	-0.679000	-14.388642
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	2	4	current-first	4376	4016	-360	-0.360000	-8.226691
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	3	1	alternative-first	5097	4769	-328	-0.328000	-6.435158
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	3	2	current-first	4756	4105	-651	-0.651000	-13.687973
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	3	3	alternative-first	4640	4328	-312	-0.312000	-6.724138
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	3	4	current-first	4651	4140	-511	-0.511000	-10.986885
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	3	1	alternative-first	4277	3818	-459	-0.459000	-10.731821
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	3	2	current-first	4289	3785	-504	-0.504000	-11.750991
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	3	3	alternative-first	4207	3735	-472	-0.472000	-11.219396
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	5	3	4	current-first	4122	3729	-393	-0.393000	-9.534207
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	1	1	alternative-first	4364	3925	-439	-0.439000	-10.059578
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	1	2	current-first	4356	3887	-469	-0.469000	-10.766758
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	1	3	alternative-first	4408	3938	-470	-0.470000	-10.662432
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	1	4	current-first	4354	3860	-494	-0.494000	-11.345889
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	1	1	alternative-first	3954	3635	-319	-0.319000	-8.067779
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	1	2	current-first	3949	3638	-311	-0.311000	-7.875411
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	1	3	alternative-first	4069	3569	-500	-0.500000	-12.288031
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	1	4	current-first	4132	3674	-458	-0.458000	-11.084221
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	2	1	alternative-first	4025	3573	-452	-0.452000	-11.229814
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	2	2	current-first	4052	3645	-407	-0.407000	-10.044423
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	2	3	alternative-first	4333	3661	-672	-0.672000	-15.508885
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	2	4	current-first	4185	4118	-67	-0.067000	-1.600956
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	2	1	alternative-first	6066	4099	-1967	-1.967000	-32.426640
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	2	2	current-first	4384	4044	-340	-0.340000	-7.755474
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	2	3	alternative-first	5819	4430	-1389	-1.389000	-23.870081
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	2	4	current-first	5586	4271	-1315	-1.315000	-23.540995
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	3	1	alternative-first	4670	4281	-389	-0.389000	-8.329764
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	3	2	current-first	4950	4408	-542	-0.542000	-10.949495
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	3	3	alternative-first	4686	4312	-374	-0.374000	-7.981221
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	3	4	current-first	4892	4438	-454	-0.454000	-9.280458
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	3	1	alternative-first	4355	3905	-450	-0.450000	-10.332951
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	3	2	current-first	4461	3775	-686	-0.686000	-15.377718
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	3	3	alternative-first	4326	3826	-500	-0.500000	-11.558021
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	13	3	4	current-first	4694	4145	-549	-0.549000	-11.695782
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	1	1	alternative-first	4798	4276	-522	-0.522000	-10.879533
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	1	2	current-first	4904	4296	-608	-0.608000	-12.398042
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	1	3	alternative-first	4872	4306	-566	-0.566000	-11.617406
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	1	4	current-first	4944	4239	-705	-0.705000	-14.259709
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	1	1	alternative-first	4497	4003	-494	-0.494000	-10.985101
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	1	2	current-first	4574	3980	-594	-0.594000	-12.986445
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	1	3	alternative-first	4434	3990	-444	-0.444000	-10.013532
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	1	4	current-first	4975	3933	-1042	-1.042000	-20.944724
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	2	1	alternative-first	4382	3894	-488	-0.488000	-11.136467
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	2	2	current-first	4315	3787	-528	-0.528000	-12.236385
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	2	3	alternative-first	4221	3753	-468	-0.468000	-11.087420
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	2	4	current-first	4260	4152	-108	-0.108000	-2.535211
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	2	1	alternative-first	4544	4260	-284	-0.284000	-6.250000
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	2	2	current-first	4636	4103	-533	-0.533000	-11.496980
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	2	3	alternative-first	4527	4105	-422	-0.422000	-9.321847
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	2	4	current-first	4526	4164	-362	-0.362000	-7.998232
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	3	1	alternative-first	4631	4141	-490	-0.490000	-10.580868
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	3	2	current-first	4654	4167	-487	-0.487000	-10.464117
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	3	3	alternative-first	4639	4129	-510	-0.510000	-10.993749
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	3	4	current-first	4700	4142	-558	-0.558000	-11.872340
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	3	1	alternative-first	4246	3821	-425	-0.425000	-10.009421
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	3	2	current-first	4240	3830	-410	-0.410000	-9.669811
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	3	3	alternative-first	4383	3799	-584	-0.584000	-13.324207
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	3	3	4	current-first	4236	3844	-392	-0.392000	-9.254013
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	1	1	alternative-first	4579	4205	-374	-0.374000	-8.167722
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	1	2	current-first	4570	4218	-352	-0.352000	-7.702407
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	1	3	alternative-first	4569	4213	-356	-0.356000	-7.791639
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	1	4	current-first	4516	4244	-272	-0.272000	-6.023029
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	1	1	alternative-first	4119	3784	-335	-0.335000	-8.133042
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	1	2	current-first	4095	3700	-395	-0.395000	-9.645910
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	1	3	alternative-first	4104	3683	-421	-0.421000	-10.258285
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	1	4	current-first	4165	3593	-572	-0.572000	-13.733493
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	2	1	alternative-first	4210	3618	-592	-0.592000	-14.061758
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	2	2	current-first	4221	3606	-615	-0.615000	-14.570007
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	2	3	alternative-first	4283	3591	-692	-0.692000	-16.156899
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	2	4	current-first	4726	3785	-941	-0.941000	-19.911130
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	2	1	alternative-first	4368	3948	-420	-0.420000	-9.615385
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	2	2	current-first	4399	3941	-458	-0.458000	-10.411457
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	2	3	alternative-first	4405	3952	-453	-0.453000	-10.283768
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	2	4	current-first	4364	3979	-385	-0.385000	-8.822181
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	3	1	alternative-first	4377	3923	-454	-0.454000	-10.372401
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	3	2	current-first	4368	3925	-443	-0.443000	-10.141941
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	3	3	alternative-first	4262	3879	-383	-0.383000	-8.986391
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	3	4	current-first	4296	3832	-464	-0.464000	-10.800745
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	3	1	alternative-first	3971	3509	-462	-0.462000	-11.634349
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	3	2	current-first	3977	3638	-339	-0.339000	-8.524013
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	3	3	alternative-first	3989	3513	-476	-0.476000	-11.932815
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	11	3	4	current-first	3979	3569	-410	-0.410000	-10.304097
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	1	1	alternative-first	4291	3813	-478	-0.478000	-11.139595
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	1	2	current-first	4322	3876	-446	-0.446000	-10.319297
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	1	3	alternative-first	4312	3831	-481	-0.481000	-11.154917
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	1	4	current-first	4299	3881	-418	-0.418000	-9.723191
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	1	1	alternative-first	3939	3764	-175	-0.175000	-4.442752
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	1	2	current-first	3946	3519	-427	-0.427000	-10.821085
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	1	3	alternative-first	3970	3542	-428	-0.428000	-10.780856
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	1	4	current-first	3974	3510	-464	-0.464000	-11.675893
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	2	1	alternative-first	4157	3576	-581	-0.581000	-13.976425
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	2	2	current-first	4069	3588	-481	-0.481000	-11.821086
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	2	3	alternative-first	4046	3701	-345	-0.345000	-8.526940
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	2	4	current-first	4028	3535	-493	-0.493000	-12.239325
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	2	1	alternative-first	4363	3806	-557	-0.557000	-12.766445
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	2	2	current-first	4365	3877	-488	-0.488000	-11.179840
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	2	3	alternative-first	4332	3818	-514	-0.514000	-11.865189
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	2	4	current-first	4331	3911	-420	-0.420000	-9.697529
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	3	1	alternative-first	4390	3917	-473	-0.473000	-10.774487
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	3	2	current-first	4305	3843	-462	-0.462000	-10.731707
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	3	3	alternative-first	4373	3898	-475	-0.475000	-10.862108
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	3	4	current-first	4402	3969	-433	-0.433000	-9.836438
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	3	1	alternative-first	4393	3527	-866	-0.866000	-19.713180
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	3	2	current-first	4387	3616	-771	-0.771000	-17.574652
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	3	3	alternative-first	3970	3561	-409	-0.409000	-10.302267
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	7	3	4	current-first	3938	3542	-396	-0.396000	-10.055866
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	1	1	alternative-first	4380	3839	-541	-0.541000	-12.351598
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	1	2	current-first	4352	3892	-460	-0.460000	-10.569853
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	1	3	alternative-first	4315	3852	-463	-0.463000	-10.730012
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	1	4	current-first	4386	3871	-515	-0.515000	-11.741906
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	1	1	alternative-first	4138	3525	-613	-0.613000	-14.813920
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	1	2	current-first	4033	3516	-517	-0.517000	-12.819241
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	1	3	alternative-first	4053	3509	-544	-0.544000	-13.422156
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	1	4	current-first	3973	3540	-433	-0.433000	-10.898565
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	2	1	alternative-first	3954	3559	-395	-0.395000	-9.989884
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	2	2	current-first	4018	3570	-448	-0.448000	-11.149826
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	2	3	alternative-first	3996	3523	-473	-0.473000	-11.836837
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	2	4	current-first	3977	3598	-379	-0.379000	-9.529796
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	2	1	alternative-first	4207	3933	-274	-0.274000	-6.512955
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	2	2	current-first	4260	3901	-359	-0.359000	-8.427230
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	2	3	alternative-first	4189	3942	-247	-0.247000	-5.896395
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	2	4	current-first	4163	3933	-230	-0.230000	-5.524862
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	3	1	alternative-first	4414	3817	-597	-0.597000	-13.525147
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	3	2	current-first	4303	3820	-483	-0.483000	-11.224727
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	3	3	alternative-first	4435	3819	-616	-0.616000	-13.889515
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	3	4	current-first	4291	3824	-467	-0.467000	-10.883244
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	3	1	alternative-first	3931	3517	-414	-0.414000	-10.531671
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	3	2	current-first	4054	3566	-488	-0.488000	-12.037494
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	3	3	alternative-first	3969	3495	-474	-0.474000	-11.942555
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	15	3	4	current-first	4036	3603	-433	-0.433000	-10.728444
rxbvm	ITOF2_CHAIN_RETENTION	1000000	0	1	1	alternative-first	3823	4053	230	0.230000	+6.016218
rxbvm	ITOF2_CHAIN_RETENTION	1000000	0	1	2	current-first	3835	4118	283	0.283000	+7.379400
rxbvm	ITOF2_CHAIN_RETENTION	1000000	0	1	3	alternative-first	3831	4097	266	0.266000	+6.943357
rxbvm	ITOF2_CHAIN_RETENTION	1000000	0	1	4	current-first	3834	4077	243	0.243000	+6.338028
rxvm	ITOF2_CHAIN_RETENTION	1000000	0	1	1	alternative-first	3519	3802	283	0.283000	+8.042057
rxvm	ITOF2_CHAIN_RETENTION	1000000	0	1	2	current-first	3513	3745	232	0.232000	+6.604042
rxvm	ITOF2_CHAIN_RETENTION	1000000	0	1	3	alternative-first	3564	3746	182	0.182000	+5.106622
rxvm	ITOF2_CHAIN_RETENTION	1000000	0	1	4	current-first	3522	3706	184	0.184000	+5.224304
rxvm	ITOF2_CHAIN_RETENTION	1000000	0	2	1	alternative-first	3527	3747	220	0.220000	+6.237596
rxvm	ITOF2_CHAIN_RETENTION	1000000	0	2	2	current-first	3546	3842	296	0.296000	+8.347434
rxvm	ITOF2_CHAIN_RETENTION	1000000	0	2	3	alternative-first	3536	3925	389	0.389000	+11.001131
rxvm	ITOF2_CHAIN_RETENTION	1000000	0	2	4	current-first	3577	3783	206	0.206000	+5.759016
rxbvm	ITOF2_CHAIN_RETENTION	1000000	0	2	1	alternative-first	3832	4146	314	0.314000	+8.194154
rxbvm	ITOF2_CHAIN_RETENTION	1000000	0	2	2	current-first	3831	4103	272	0.272000	+7.099974
rxbvm	ITOF2_CHAIN_RETENTION	1000000	0	2	3	alternative-first	3883	4201	318	0.318000	+8.189544
rxbvm	ITOF2_CHAIN_RETENTION	1000000	0	2	4	current-first	3872	4099	227	0.227000	+5.862603
rxbvm	ITOF2_CHAIN_RETENTION	1000000	0	3	1	alternative-first	3850	4058	208	0.208000	+5.402597
rxbvm	ITOF2_CHAIN_RETENTION	1000000	0	3	2	current-first	3840	4082	242	0.242000	+6.302083
rxbvm	ITOF2_CHAIN_RETENTION	1000000	0	3	3	alternative-first	3847	4064	217	0.217000	+5.640759
rxbvm	ITOF2_CHAIN_RETENTION	1000000	0	3	4	current-first	3888	4131	243	0.243000	+6.250000
rxvm	ITOF2_CHAIN_RETENTION	1000000	0	3	1	alternative-first	3569	3698	129	0.129000	+3.614458
rxvm	ITOF2_CHAIN_RETENTION	1000000	0	3	2	current-first	3588	3768	180	0.180000	+5.016722
rxvm	ITOF2_CHAIN_RETENTION	1000000	0	3	3	alternative-first	3548	3680	132	0.132000	+3.720406
rxvm	ITOF2_CHAIN_RETENTION	1000000	0	3	4	current-first	3577	3704	127	0.127000	+3.550461
rxbvm	ITOF2_CHAIN_RETENTION	1000000	8	1	1	alternative-first	3880	4149	269	0.269000	+6.932990
rxbvm	ITOF2_CHAIN_RETENTION	1000000	8	1	2	current-first	3875	4063	188	0.188000	+4.851613
rxbvm	ITOF2_CHAIN_RETENTION	1000000	8	1	3	alternative-first	3883	4118	235	0.235000	+6.052022
rxbvm	ITOF2_CHAIN_RETENTION	1000000	8	1	4	current-first	3881	4100	219	0.219000	+5.642876
rxvm	ITOF2_CHAIN_RETENTION	1000000	8	1	1	alternative-first	3623	3853	230	0.230000	+6.348330
rxvm	ITOF2_CHAIN_RETENTION	1000000	8	1	2	current-first	3569	3679	110	0.110000	+3.082096
rxvm	ITOF2_CHAIN_RETENTION	1000000	8	1	3	alternative-first	3613	3930	317	0.317000	+8.773872
rxvm	ITOF2_CHAIN_RETENTION	1000000	8	1	4	current-first	3668	3651	-17	-0.017000	-0.463468
rxvm	ITOF2_CHAIN_RETENTION	1000000	8	2	1	alternative-first	3634	3659	25	0.025000	+0.687947
rxvm	ITOF2_CHAIN_RETENTION	1000000	8	2	2	current-first	3680	3766	86	0.086000	+2.336957
rxvm	ITOF2_CHAIN_RETENTION	1000000	8	2	3	alternative-first	3640	3740	100	0.100000	+2.747253
rxvm	ITOF2_CHAIN_RETENTION	1000000	8	2	4	current-first	3636	3720	84	0.084000	+2.310231
rxbvm	ITOF2_CHAIN_RETENTION	1000000	8	2	1	alternative-first	3988	4046	58	0.058000	+1.454363
rxbvm	ITOF2_CHAIN_RETENTION	1000000	8	2	2	current-first	3995	4164	169	0.169000	+4.230288
rxbvm	ITOF2_CHAIN_RETENTION	1000000	8	2	3	alternative-first	4094	4088	-6	-0.006000	-0.146556
rxbvm	ITOF2_CHAIN_RETENTION	1000000	8	2	4	current-first	4024	4083	59	0.059000	+1.466203
rxbvm	ITOF2_CHAIN_RETENTION	1000000	8	3	1	alternative-first	3840	4088	248	0.248000	+6.458333
rxbvm	ITOF2_CHAIN_RETENTION	1000000	8	3	2	current-first	3862	4162	300	0.300000	+7.767996
rxbvm	ITOF2_CHAIN_RETENTION	1000000	8	3	3	alternative-first	3839	4112	273	0.273000	+7.111227
rxbvm	ITOF2_CHAIN_RETENTION	1000000	8	3	4	current-first	3857	4144	287	0.287000	+7.441016
rxvm	ITOF2_CHAIN_RETENTION	1000000	8	3	1	alternative-first	3605	3740	135	0.135000	+3.744799
rxvm	ITOF2_CHAIN_RETENTION	1000000	8	3	2	current-first	3584	3699	115	0.115000	+3.208705
rxvm	ITOF2_CHAIN_RETENTION	1000000	8	3	3	alternative-first	3630	3738	108	0.108000	+2.975207
rxvm	ITOF2_CHAIN_RETENTION	1000000	8	3	4	current-first	3580	3713	133	0.133000	+3.715084
rxbvm	ITOF2_CHAIN_RETENTION	1000000	4	1	1	alternative-first	4046	4164	118	0.118000	+2.916461
rxbvm	ITOF2_CHAIN_RETENTION	1000000	4	1	2	current-first	3829	4091	262	0.262000	+6.842518
rxbvm	ITOF2_CHAIN_RETENTION	1000000	4	1	3	alternative-first	4012	4174	162	0.162000	+4.037886
rxbvm	ITOF2_CHAIN_RETENTION	1000000	4	1	4	current-first	3896	4171	275	0.275000	+7.058522
rxvm	ITOF2_CHAIN_RETENTION	1000000	4	1	1	alternative-first	3665	3689	24	0.024000	+0.654843
rxvm	ITOF2_CHAIN_RETENTION	1000000	4	1	2	current-first	3751	3813	62	0.062000	+1.652893
rxvm	ITOF2_CHAIN_RETENTION	1000000	4	1	3	alternative-first	3652	3673	21	0.021000	+0.575027
rxvm	ITOF2_CHAIN_RETENTION	1000000	4	1	4	current-first	3757	3727	-30	-0.030000	-0.798509
rxvm	ITOF2_CHAIN_RETENTION	1000000	4	2	1	alternative-first	3520	3749	229	0.229000	+6.505682
rxvm	ITOF2_CHAIN_RETENTION	1000000	4	2	2	current-first	3519	3702	183	0.183000	+5.200341
rxvm	ITOF2_CHAIN_RETENTION	1000000	4	2	3	alternative-first	3523	3755	232	0.232000	+6.585297
rxvm	ITOF2_CHAIN_RETENTION	1000000	4	2	4	current-first	3541	3671	130	0.130000	+3.671279
