vm	comparison	loop_count	padding_cells	process_run	pair	order	current_us	alternative_us	delta_us	delta_per_call_ns	alternative_delta_percent
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	8	2	3	alternative-first	4043	3516	-527	-0.527000	-13.034875
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	8	2	4	current-first	3976	3571	-405	-0.405000	-10.186117
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	8	3	1	alternative-first	3996	3507	-489	-0.489000	-12.237237
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	8	3	2	current-first	3944	3498	-446	-0.446000	-11.308316
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	8	3	3	alternative-first	3980	3517	-463	-0.463000	-11.633166
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	8	3	4	current-first	3971	3494	-477	-0.477000	-12.012088
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	8	3	1	alternative-first	4399	3835	-564	-0.564000	-12.821096
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	8	3	2	current-first	4383	3870	-513	-0.513000	-11.704312
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	8	3	3	alternative-first	4364	3826	-538	-0.538000	-12.328139
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	8	3	4	current-first	4332	3921	-411	-0.411000	-9.487535
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	1	1	alternative-first	3964	3542	-422	-0.422000	-10.645812
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	1	2	current-first	3997	3606	-391	-0.391000	-9.782337
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	1	3	alternative-first	4014	3561	-453	-0.453000	-11.285501
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	1	4	current-first	3961	3549	-412	-0.412000	-10.401414
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	1	1	alternative-first	4393	3844	-549	-0.549000	-12.497155
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	1	2	current-first	4205	3811	-394	-0.394000	-9.369798
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	1	3	alternative-first	4322	3859	-463	-0.463000	-10.712633
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	1	4	current-first	4183	3834	-349	-0.349000	-8.343294
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	2	1	alternative-first	4303	3816	-487	-0.487000	-11.317685
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	2	2	current-first	4402	3814	-588	-0.588000	-13.357565
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	2	3	alternative-first	4360	3803	-557	-0.557000	-12.775229
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	2	4	current-first	4404	3828	-576	-0.576000	-13.079019
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	2	1	alternative-first	3927	3564	-363	-0.363000	-9.243697
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	2	2	current-first	3943	3923	-20	-0.020000	-0.507228
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	2	3	alternative-first	3927	3999	72	0.072000	+1.833461
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	2	4	current-first	3935	3805	-130	-0.130000	-3.303685
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	3	1	alternative-first	3930	3623	-307	-0.307000	-7.811705
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	3	2	current-first	3942	3577	-365	-0.365000	-9.259259
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	3	3	alternative-first	4086	3604	-482	-0.482000	-11.796378
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	3	4	current-first	4199	3571	-628	-0.628000	-14.955942
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	3	1	alternative-first	4241	3828	-413	-0.413000	-9.738269
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	3	2	current-first	4277	3879	-398	-0.398000	-9.305588
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	3	3	alternative-first	4276	3815	-461	-0.461000	-10.781104
