vm	comparison	n	loop_count	current_mean_us	alternative_mean_us	alternative_speedup_percent	delta_per_call_mean_ns	delta_per_call_ci95_low_ns	delta_per_call_ci95_high_ns	faster_fraction	classification	portfolio_executions	estimated_portfolio_saved_ms
rxbvm	FMULTICOPY_CHAIN_SELECTION	192	1000000	4375.031	3928.000	+11.380633	-0.446375	-0.473578	-0.419172	+1.000000	alternative-saving	501000	+0.223634
rxbvm	ITOF2_CHAIN_RETENTION	192	1000000	3873.000	4099.250	-5.519302	+0.221375	+0.201188	+0.241562	+0.005208	alternative-slowdown	501000	-0.110909
rxbvm	LINKSETATTRSLINKADD_PROMOTION	192	500000	2602.250	2542.062	+2.367664	-0.124125	-0.145295	-0.102955	+0.916667	alternative-saving	5569610	+0.691328
rxbvm	SETLINKILOAD_PROMOTION	192	500000	2433.438	2252.875	+8.014759	-0.365312	-0.383773	-0.346852	+0.994792	alternative-saving	1606900	+0.587021
rxvm	FMULTICOPY_CHAIN_SELECTION	192	1000000	4028.750	3585.688	+12.356417	-0.441094	-0.455429	-0.426759	+0.994792	alternative-saving	501000	+0.220988
rxvm	ITOF2_CHAIN_RETENTION	192	1000000	3587.719	3722.781	-3.628000	+0.135344	+0.111884	+0.158803	+0.088542	alternative-slowdown	501000	-0.067807
rxvm	LINKSETATTRSLINKADD_PROMOTION	192	500000	2620.875	2504.281	+4.655777	-0.221562	-0.279973	-0.163152	+0.901042	alternative-saving	5569610	+1.234017
rxvm	SETLINKILOAD_PROMOTION	192	500000	2250.156	2109.875	+6.648794	-0.256875	-0.285630	-0.228120	+0.906250	alternative-saving	1606900	+0.412772
