entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
sieve-noopt,sieve,Sieve,baseline,noopt,process,warmup,1,19770000,0,pass
sieve-noopt,sieve,Sieve,baseline,noopt,process,recorded,1,17413000,0,pass
sieve-noopt,sieve,Sieve,baseline,noopt,process,recorded,2,16579000,0,pass
sieve-noopt,sieve,Sieve,baseline,noopt,process,recorded,3,16485000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,warmup,1,16351000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,recorded,1,16542000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,recorded,2,15971000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,recorded,3,16547000,0,pass
permute-noopt,permute,Permute,baseline,noopt,process,warmup,1,37601000,0,pass
permute-noopt,permute,Permute,baseline,noopt,process,recorded,1,37587000,0,pass
permute-noopt,permute,Permute,baseline,noopt,process,recorded,2,37781000,0,pass
permute-noopt,permute,Permute,baseline,noopt,process,recorded,3,37961000,0,pass
permute-opt,permute,Permute,candidate,opt,process,warmup,1,75888000,0,pass
permute-opt,permute,Permute,candidate,opt,process,recorded,1,77393000,0,pass
permute-opt,permute,Permute,candidate,opt,process,recorded,2,76286000,0,pass
permute-opt,permute,Permute,candidate,opt,process,recorded,3,76075000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,warmup,1,55370000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,recorded,1,55503000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,recorded,2,55064000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,recorded,3,54428000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,warmup,1,40620000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,recorded,1,41064000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,recorded,2,40238000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,recorded,3,41497000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,warmup,1,29113000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,recorded,1,29633000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,recorded,2,29453000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,recorded,3,29284000,0,pass
richards-opt,richards,Richards,candidate,opt,process,warmup,1,445368000,0,pass
richards-opt,richards,Richards,candidate,opt,process,recorded,1,449353000,0,pass
richards-opt,richards,Richards,candidate,opt,process,recorded,2,448990000,0,pass
richards-opt,richards,Richards,candidate,opt,process,recorded,3,448881000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,warmup,1,452213000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,recorded,1,464125000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,recorded,2,458377000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,recorded,3,505468000,0,pass
base64-opt,base64,Base64,candidate,opt,process,warmup,1,301937000,0,pass
base64-opt,base64,Base64,candidate,opt,process,recorded,1,330564000,0,pass
base64-opt,base64,Base64,candidate,opt,process,recorded,2,295615000,0,pass
base64-opt,base64,Base64,candidate,opt,process,recorded,3,325763000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,warmup,1,967052000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,recorded,1,971191000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,recorded,2,982041000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,recorded,3,967155000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,warmup,1,947965000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,recorded,1,955879000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,recorded,2,950607000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,recorded,3,958534000,0,pass
