comparison,n,geometric_mean,membership
rxvm/oorexx,5,2.465740,Sieve;Permute;Bounce;Richards;Base64
rxvm/netrexx,5,0.894608,Sieve;Permute;Bounce;Richards;Base64
rxbvm/oorexx,5,2.316900,Sieve;Permute;Bounce;Richards;Base64
rxbvm/netrexx,5,0.840606,Sieve;Permute;Bounce;Richards;Base64
