rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,4396101,12,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_list_noopt",0
2,4396101,12,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2) | SETNUMSTD_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_list_noopt",2
3,4392800,8,1,4,over_3_symbols,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","r1=R6;c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_list_noopt",208
4,3827500,4,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1)","c1=int:1;r1=R2;r2=R6","benchmark_awfy_list_noopt",214
5,3821700,8,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | CALL_REG_FUNC_REG(r4,c3,r1)","r1=R7;c1=int:1;r2=R6;c2=int:256;r3=R8;r4=R2;c3=func@6000","benchmark_awfy_list_noopt",92
6,3820600,1,1,3,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | RET_REG(r1)","c1=int:1;r1=R2;r2=R4","benchmark_awfy_list_noopt",281
7,2015600,4,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2) | SWAP_REG_REG(r2,r4)","r1=R9;r2=R13;r3=R12;c1=int:1;r4=R10;c2=int:256","benchmark_awfy_list_noopt",816
8,1945400,3,1,4,over_3_symbols,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKREF_REG_REG(r3,r4)","r1=R9;r2=R1;r3=R10;r4=R3","benchmark_awfy_list_noopt",793
9,1875200,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | REFVALID_REG_REG(r2,r3) | BTOI_REG(r2) | IEQ_REG_REG_INT(r2,r2,c2)","c1=label@837;r1=R11;r2=R12;r3=R1;c2=int:0","benchmark_awfy_list_noopt",773
10,1875200,2,1,7,over_3_symbols,"LINKREF_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2) | SWAP_REG_REG(r5,r4)","r1=R10;r2=R3;r3=R12;c1=int:1;r4=R9;c2=int:256;r5=R13","benchmark_awfy_list_noopt",800
11,1875200,2,1,6,over_3_symbols,"LINKREF_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKREF_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1)","r1=R9;r2=R1;r3=R10;r4=R3;r5=R12;c1=int:1","benchmark_awfy_list_noopt",795
12,1875200,1,1,5,over_3_symbols,"REFVALID_REG_REG(r1,r2) | BRF_ID_REG(c1,r1) | REFVALID_REG_REG(r3,r4) | BTOI_REG(r3)","r1=R11;r2=R3;c1=label@837;r3=R12;r4=R1","benchmark_awfy_list_noopt",770
13,1875200,1,1,4,over_3_symbols,"REFVALID_REG_REG(r1,r2) | BTOI_REG(r1) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R12;r2=R1;c1=int:0;c2=label@793","benchmark_awfy_list_noopt",776
14,1875200,2,1,6,over_3_symbols,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2)","r1=R10;r2=R3;r3=R12;c1=int:1;r4=R9;c2=int:256","benchmark_awfy_list_noopt",798
15,1410400,19,1,5,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3)","r1=R17;c1=int:256;r2=R12;r3=R3;r4=R13","benchmark_awfy_list_noopt",562
16,842800,4,1,4,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3) | NULL_REG(r4)","r1=R2;r2=R3;r3=R4;r4=R5","benchmark_awfy_list_noopt",469
17,842700,11,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3) | SETTP_REG_INT(r5,c1)","r1=R12;r2=R17;r3=R3;c1=int:256;r4=R13;r5=R4","benchmark_awfy_list_noopt",565
18,567700,8,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SETTP_REG_INT(r4,c2)","r1=R11;c1=int:4;r2=R17;c2=int:256;r3=R12;r4=R3","benchmark_awfy_list_noopt",559
19,567700,8,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3) | CALL_REG_FUNC_REG(r5,c2,r6)","r1=R14;r2=R4;r3=R5;c1=int:256;r4=R15;r5=R2;c2=func@24448;r6=R11","benchmark_awfy_list_noopt",577
20,565300,4,1,3,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1) | NULL_REG(r2)","c1=int:1;r1=R2;r2=R3","benchmark_awfy_list_noopt",465
21,565300,4,1,2,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1)","c1=int:1;r1=R2","benchmark_awfy_list_noopt",463
22,281000,2,1,5,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3) | LOAD_REG_INT(r4,c1)","r1=R3;r2=R4;r3=R5;r4=R7;c1=int:0","benchmark_awfy_list_noopt",471
23,281000,2,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3)","c1=int:1;r1=R2;r2=R3;r3=R4","benchmark_awfy_list_noopt",467
24,280900,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | REFVALID_REG_REG(r5,r3) | BRF_ID_REG(c1,r5)","r1=R1;r2=R16;r3=R3;r4=R17;r5=R11;c1=label@837","benchmark_awfy_list_noopt",764
25,280900,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | REFVALID_REG_REG(r3,r1) | BRF_ID_REG(c1,r3) | REFVALID_REG_REG(r4,r5)","r1=R3;r2=R17;r3=R11;c1=label@837;r4=R12;r5=R1","benchmark_awfy_list_noopt",767
26,280900,1,1,5,over_3_symbols,"NULL_REG(r1) | COPY_REG_REG(r2,r3) | COPY_REG_REG(r1,r4) | REFVALID_REG_REG(r5,r1)","r1=R3;r2=R1;r3=R16;r4=R17;r5=R11","benchmark_awfy_list_noopt",762
27,280900,1,1,6,over_3_symbols,"NULL_REG(r1) | LOAD_REG_INT(r2,c1) | SETTP_REG_INT(r3,c2) | SWAP_REG_REG(r4,r3)","r1=R8;r2=R20;c1=int:3;r3=R31;c2=int:256;r4=R21","benchmark_awfy_list_noopt",872
28,280900,1,1,4,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | COPY_REG_REG(r1,r3) | COPY_REG_REG(r2,r4)","r1=R1;r2=R3;r3=R16;r4=R17","benchmark_awfy_list_noopt",760
29,280900,1,1,6,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2)","r1=R6;r2=R8;r3=R20;c1=int:3;r4=R31;c2=int:256","benchmark_awfy_list_noopt",870
30,280900,1,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | NULL_REG(r1) | NULL_REG(r2) | COPY_REG_REG(r1,r3)","c1=int:1;r1=R1;r2=R3;r3=R16","benchmark_awfy_list_noopt",758
31,280900,1,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | BRF_ID_REG(c1,r7)","r1=R31;r2=R21;r3=R33;r4=R22;r5=R32;r6=R23;c1=label@1160;r7=R24","benchmark_awfy_list_noopt",899
32,280900,5,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | SWAP_REG_REG(r7,r8)","r1=R17;r2=R12;r3=R3;r4=R13;r5=R4;r6=R14;r7=R5;r8=R15","benchmark_awfy_list_noopt",590
