record,dimension,origin_mask,shape_mask,bucket_upper,count,total,max_or_peak,notes
total,current_attributes,,,0,,0,,sum across unique addresses
histogram,current_attributes,,,0,1627,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,current_attribute_capacity,,,0,,0,,sum across unique addresses
histogram,current_attribute_capacity,,,0,1627,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_string_length,,,0,,2623,,sum across unique addresses
histogram,max_string_length,,,0,1597,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_string_length,,,1,8,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_string_length,,,4,3,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_string_length,,,16,14,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_string_length,,,64,1,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_string_length,,,1024,4,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_string_capacity,,,0,,4960,,sum across unique addresses
histogram,max_string_capacity,,,0,1597,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_string_capacity,,,32,25,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_string_capacity,,,64,1,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_string_capacity,,,1024,4,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_decimal_length,,,0,,0,,sum across unique addresses
histogram,max_decimal_length,,,0,1627,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_decimal_capacity,,,0,,0,,sum across unique addresses
histogram,max_decimal_capacity,,,0,1627,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_binary_length,,,0,,1855,,sum across unique addresses
histogram,max_binary_length,,,0,1617,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_binary_length,,,4,4,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_binary_length,,,16,3,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_binary_length,,,1024,3,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_binary_capacity,,,0,,3296,,sum across unique addresses
histogram,max_binary_capacity,,,0,1617,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_binary_capacity,,,32,7,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_binary_capacity,,,1024,3,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_attributes,,,0,,18,,sum across unique addresses
histogram,max_attributes,,,0,1617,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_attributes,,,1,9,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_attributes,,,16,1,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_attribute_capacity,,,0,,88,,sum across unique addresses
histogram,max_attribute_capacity,,,0,1617,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_attribute_capacity,,,8,9,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_attribute_capacity,,,16,1,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
