record,dimension,origin_mask,shape_mask,bucket_upper,count,total,max_or_peak,notes
histogram,current_string_capacity,,,0,4343,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,current_decimal_length,,,0,,0,,sum across unique addresses
histogram,current_decimal_length,,,0,4343,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,current_decimal_capacity,,,0,,0,,sum across unique addresses
histogram,current_decimal_capacity,,,0,4343,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,current_binary_length,,,0,,0,,sum across unique addresses
histogram,current_binary_length,,,0,4343,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,current_binary_capacity,,,0,,0,,sum across unique addresses
histogram,current_binary_capacity,,,0,4343,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,current_attributes,,,0,,0,,sum across unique addresses
histogram,current_attributes,,,0,4343,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,current_attribute_capacity,,,0,,0,,sum across unique addresses
histogram,current_attribute_capacity,,,0,4343,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_string_length,,,0,,62,,sum across unique addresses
histogram,max_string_length,,,0,4338,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_string_length,,,4,4,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_string_length,,,64,1,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_string_capacity,,,0,,192,,sum across unique addresses
histogram,max_string_capacity,,,0,4338,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_string_capacity,,,32,4,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_string_capacity,,,64,1,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_decimal_length,,,0,,0,,sum across unique addresses
histogram,max_decimal_length,,,0,4343,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_decimal_capacity,,,0,,0,,sum across unique addresses
histogram,max_decimal_capacity,,,0,4343,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_binary_length,,,0,,0,,sum across unique addresses
histogram,max_binary_length,,,0,4343,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_binary_capacity,,,0,,0,,sum across unique addresses
histogram,max_binary_capacity,,,0,4343,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_attributes,,,0,,2138,,sum across unique addresses
histogram,max_attributes,,,0,3809,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_attributes,,,1,2,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_attributes,,,4,530,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_attributes,,,8,2,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_attribute_capacity,,,0,,4272,,sum across unique addresses
histogram,max_attribute_capacity,,,0,3809,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_attribute_capacity,,,8,534,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
