rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
131,280000,1,1,5,candidate,"SCONCAT_REG_REG_STRING(r1,r2,c1) | LOAD_REG_INT(r3,c2)","r1=R79;r2=R83;c1=string@38600;r3=R80;c2=int:6","benchmark_rexxcps_levelb_noopt",621
132,280000,1,1,2,candidate,"SCOPY_REG_REG(r1,r2) | CNOP()","r1=R71;r2=R45","benchmark_rexxcps_levelb_noopt",1180
133,280000,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | INC_REG(r3)","r1=R68;r2=R53;r3=R60","benchmark_rexxcps_levelb_noopt",1348
134,280000,1,1,5,candidate,"SCOPY_REG_REG(r1,r2) | PARSEPOS2_REG_REG_REG_INT(r3,r4,r1,c1)","r1=R54;r2=R94;r3=R40;r4=R45;c1=int:5","benchmark_rexxcps_levelb_noopt",1169
135,280000,1,1,5,candidate,"SCOPY_REG_REG(r1,r2) | PARSEWORDS3D_REG_REG_REG_REG(r3,r4,r5,r1)","r1=R4;r2=R29;r3=R1;r4=R2;r5=R3","benchmark_rexxcps_levelb_noopt",1723
136,280000,1,1,7,candidate,"SETTP_REG_INT(r1,c1) | CALL4_REG_FUNC_REG_REG_REG_REG(r2,c2,r3,r4,r5,r1)","r1=R94;c1=int:256;r2=R88;c2=func@57968;r3=R91;r4=R92;r5=R93","benchmark_rexxcps_levelb_noopt",1261
137,280000,1,1,4,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | REQ_REG_REG_REG(r3,r4,r1)","r1=R79;r2=R0;r3=R82;r4=R38","benchmark_rexxcps_levelb_noopt",660
138,280000,1,1,4,candidate,"STEMRESET_REG_REG(r1,r2) | REQ_REG_REG_STRING(r2,r3,c1)","r1=R2;r2=R87;r3=R38;c1=string@47488","benchmark_rexxcps_levelb_noopt",902
139,280000,1,1,6,candidate,"STEMSET_REG_REG_REG(r1,r2,r3) | CONCAT_REG_REG_STRING(r4,r5,c1)","r1=R0;r2=R76;r3=R77;r4=R79;r5=R59;c1=string@38320","benchmark_rexxcps_levelb_noopt",646
140,260000,1,1,4,candidate,"CONCAT_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r2,c1)","r1=R79;r2=R76;r3=R74;c1=int:1","benchmark_rexxcps_levelb_noopt",985
141,20002,3,2,4,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_STRING(r2,c2)","r1=R38;c1=string@29640;r2=R37;c2=string@384","benchmark_rexxcps_levelb_noopt",526
142,20001,2,1,4,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1)","r1=R32;c1=int:2;r2=R31;r3=R33","benchmark_rexxcps_levelb_noopt",416
143,20000,1,1,3,candidate,"BCF_ID_REG(c1,r1) | BR_ID(c2)","c1=label@381;r1=R31;c2=label@376","benchmark_rexxcps_levelb_noopt",376
144,20000,1,1,4,candidate,"BCF_ID_REG(c1,r1) | LOAD_REG_STRING(r2,c2)","c1=label@1359;r1=R26;r2=R38;c2=string@29640","benchmark_rexxcps_levelb_noopt",523
145,20000,1,1,2,candidate,"ENDLIFE_REG(r1) | BR_ID(c1)","r1=R39;c1=label@523","benchmark_rexxcps_levelb_noopt",1355
146,3216,17,1,3,candidate,"ICOPY_REG_REG(r1,r2) | BR_ID(c1)","r1=R18;r2=R19;c1=label@4860","trace",4855
147,3216,16,2,4,candidate,"LOAD_REG_STRING(r1,c1) | STRLEN_REG_REG(r2,r3)","r1=R25;c1=string@1532976;r2=R26;r3=R27","trace",13745
148,3201,17,2,5,candidate,"NULLN_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r5)","r1=R49;r2=R48;r3=R57;r4=R47;r5=R20","_typedformat",749
149,3200,9,2,4,candidate,"REQ_REG_REG_STRING(r1,r2,c1) | BRT_ID_REG(c2,r1)","r1=R26;r2=R5;c1=string@1535296;c2=label@13900","trace",13878
150,3003,17,3,4,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R52;r2=R4;r3=R2;c1=label@1008","_typedformat",701
151,3002,16,2,2,candidate,"BTOI_REG(r1) | ICOPY_REG_REG(r2,r1)","r1=R60;r2=R39","_typedformat",932
152,3000,15,1,3,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BTOI_REG(r1)","r1=R22;r2=R28;c1=int:1","trace",13785
153,3000,15,1,4,candidate,"LOAD_REG_INT(r1,c1) | STRPOS_REG_REG_REG(r1,r2,r3)","r1=R28;c1=int:1;r2=R27;r3=R25","trace",13778
154,3000,15,1,5,candidate,"STRLEN_REG_REG(r1,r2) | ILT_REG_REG_INT(r3,r4,c1)","r1=R24;r2=R25;r3=R22;r4=R26;c1=int:2","trace",13751
155,3000,15,1,4,candidate,"STRLEN_REG_REG(r1,r2) | STRLEN_REG_REG(r3,r4)","r1=R26;r2=R27;r3=R24;r4=R25","trace",13748
156,3000,15,1,5,candidate,"STRPOS_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1)","r1=R28;r2=R27;r3=R25;r4=R22;c1=int:1","trace",13781
157,2965,19,4,4,candidate,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R94;r2=R93;c1=int:0;c2=label@1398","benchmark_rexxcps_levelb_noopt",1388
158,1800,5,2,4,candidate,"BRT_ID_REG(c1,r1) | REQ_REG_REG_STRING(r1,r2,c2)","c1=label@13900;r1=R26;r2=R5;c2=string@1535336","trace",13882
