phase,round,position,vm,cell,variant,rate_jobs_per_second,elapsed_us
recorded,1,13,rxbvml,spin-w1,accepted,1708.397843148,149848.000
recorded,1,14,rxbvml,spin-w1,candidate,1777.136034210,144052.000
recorded,1,15,rxbvml,spin-w4,accepted,5895.357406043,43424.000
recorded,1,16,rxbvml,spin-w4,candidate,6027.500470898,42472.000
recorded,1,17,rxbvml,identity,candidate,490656.444657403,2087.000
recorded,1,18,rxbvml,identity,channel,126357.354392892405,8104
recorded,1,18,rxbvml,spin-w4,channel,3078.773301262778,83150
recorded,1,19,rxtvml,spin-w1,accepted,1367.660179185,187181.000
recorded,1,20,rxtvml,spin-w1,candidate,1292.465832959,198071.000
recorded,1,21,rxtvml,spin-w4,accepted,5158.170461414,49630.000
recorded,1,22,rxtvml,spin-w4,candidate,4676.909585838,54737.000
recorded,1,23,rxtvml,identity,candidate,522715.671260847,1959.000
recorded,1,24,rxtvml,identity,channel,130662.243205308157,7837
recorded,1,24,rxtvml,spin-w4,channel,2636.593027447345,97095
recorded,2,25,rxtvml,identity,channel,137745.493677697057,7434
recorded,2,25,rxtvml,spin-w4,channel,2654.858079168698,96427
recorded,2,26,rxtvml,identity,candidate,559257.236482796,1831.000
recorded,2,27,rxtvml,spin-w4,candidate,4565.314311190,56075.000
recorded,2,28,rxtvml,spin-w4,accepted,5485.792654181,46666.000
recorded,2,29,rxtvml,spin-w1,candidate,1289.146494378,198581.000
recorded,2,30,rxtvml,spin-w1,accepted,1504.997060553,170100.000
recorded,2,31,rxbvml,identity,channel,125844.905985006757,8137
recorded,2,31,rxbvml,spin-w4,channel,3010.560481689677,85034
recorded,2,32,rxbvml,identity,candidate,522982.635342186,1958.000
recorded,2,33,rxbvml,spin-w4,candidate,5444.144354890,47023.000
recorded,2,34,rxbvml,spin-w4,accepted,6206.662464239,41246.000
recorded,2,35,rxbvml,spin-w1,candidate,1613.015014901,158709.000
recorded,2,36,rxbvml,spin-w1,accepted,1683.047894547,152105.000
recorded,3,37,rxbvml,spin-w1,accepted,1724.753582569,148427.000
recorded,3,38,rxbvml,spin-w1,candidate,1798.017966133,142379.000
recorded,3,39,rxbvml,spin-w4,accepted,5922.361541665,43226.000
recorded,3,40,rxbvml,spin-w4,candidate,6100.757828512,41962.000
recorded,3,41,rxbvml,identity,candidate,514831.573655103,1989.000
recorded,3,42,rxbvml,identity,channel,134985.499604534678,7586
recorded,3,42,rxbvml,spin-w4,channel,3064.473652708947,83538
recorded,3,43,rxtvml,spin-w1,accepted,1359.301658773,188332.000
recorded,3,44,rxtvml,spin-w1,candidate,1299.380256526,197017.000
recorded,3,45,rxtvml,spin-w4,accepted,5231.643267325,48933.000
recorded,3,46,rxtvml,spin-w4,candidate,4850.505892607,52778.000
recorded,3,47,rxtvml,identity,candidate,538947.368421053,1900.000
recorded,3,48,rxtvml,identity,channel,127553.562531141011,8028
recorded,3,48,rxtvml,spin-w4,channel,2572.062975354412,99531
recorded,4,49,rxtvml,identity,channel,137044.967880085664,7472
recorded,4,49,rxtvml,spin-w4,channel,2651.201325600663,96560
recorded,4,50,rxtvml,identity,candidate,538097.740409879,1903.000
recorded,4,51,rxtvml,spin-w4,candidate,4816.738165124,53148.000
recorded,4,52,rxtvml,spin-w4,accepted,5366.763799501,47701.000
recorded,4,53,rxtvml,spin-w1,candidate,1277.859585195,200335.000
recorded,4,54,rxtvml,spin-w1,accepted,1497.724161333,170926.000
recorded,4,55,rxbvml,identity,channel,134967.707921444584,7587
recorded,4,55,rxbvml,spin-w4,channel,3077.588901445024,83182
recorded,4,56,rxbvml,identity,candidate,522982.635342186,1958.000
recorded,4,57,rxbvml,spin-w4,candidate,5991.247162349,42729.000
recorded,4,58,rxbvml,spin-w4,accepted,6233.260287314,41070.000
recorded,4,59,rxbvml,spin-w1,candidate,1608.717236525,159133.000
recorded,4,60,rxbvml,spin-w1,accepted,1696.442771563,150904.000
recorded,5,61,rxbvml,spin-w1,accepted,1730.466347161,147937.000
recorded,5,62,rxbvml,spin-w1,candidate,1788.321422833,143151.000
