benchmark,vm,mode,runs,min_ns,median_ns,mean_ns,max_ns,platform,crexx_version,vm_role,result_role
havlak,rxvm,noopt,1,42057878000,42057878000,42057878000,42057878000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.ge06c19a2e284.dirty 20260817,product,process-smoke
havlak,rxvm,opt,1,37861901000,37861901000,37861901000,37861901000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.ge06c19a2e284.dirty 20260817,product,process-smoke
