comparison,n,geometric_mean,membership
rxvm/oorexx,5,2.144645,Sieve;Permute;Bounce;Richards;Base64
rxvm/netrexx,5,0.792983,Sieve;Permute;Bounce;Richards;Base64
rxbvm/oorexx,5,1.812960,Sieve;Permute;Bounce;Richards;Base64
rxbvm/netrexx,5,0.670342,Sieve;Permute;Bounce;Richards;Base64
