comparison,workload,crexx_cell,reference_cell,ratio_higher_is_better
rxvm/oorexx,Sieve,sieve-rxvm,sieve-oorexx,7.195990
rxvm/netrexx,Sieve,sieve-rxvm,sieve-netrexx,1.919618
rxbvm/oorexx,Sieve,sieve-rxbvm,sieve-oorexx,5.398431
rxbvm/netrexx,Sieve,sieve-rxbvm,sieve-netrexx,1.440097
rxvm/oorexx,Permute,permute-rxvm,permute-oorexx,8.245182
rxvm/netrexx,Permute,permute-rxvm,permute-netrexx,0.584882
rxbvm/oorexx,Permute,permute-rxbvm,permute-oorexx,7.030051
rxbvm/netrexx,Permute,permute-rxbvm,permute-netrexx,0.498685
rxvm/oorexx,Bounce,bounce-rxvm,bounce-oorexx,3.857717
rxvm/netrexx,Bounce,bounce-rxvm,bounce-netrexx,1.812345
rxbvm/oorexx,Bounce,bounce-rxbvm,bounce-oorexx,2.840418
rxbvm/netrexx,Bounce,bounce-rxbvm,bounce-netrexx,1.334421
rxvm/oorexx,Richards,richards-rxvm,richards-oorexx,0.259917
rxvm/netrexx,Richards,richards-rxvm,richards-netrexx,0.174008
rxbvm/oorexx,Richards,richards-rxbvm,richards-oorexx,0.258458
rxbvm/netrexx,Richards,richards-rxbvm,richards-netrexx,0.173031
rxvm/oorexx,Base64,base64-rxvm,base64-oorexx,0.762643
rxvm/netrexx,Base64,base64-rxvm,base64-netrexx,0.885577
rxbvm/oorexx,Base64,base64-rxbvm,base64-oorexx,0.702980
rxbvm/netrexx,Base64,base64-rxbvm,base64-netrexx,0.816296
