entry,name,count,bytes,max_bytes,high_water,status
rexxcps-noopt,frame_blocks,25,146968,28256,0,complete
rexxcps-noopt,standalone_values,39,9672,248,0,complete
rexxcps-noopt,attribute_value_blocks,21,59520,7936,0,complete
rexxcps-noopt,attribute_pointer_storage,57,5568,256,0,complete
rexxcps-noopt,string_buffers,132029,4226560,128,0,complete
rexxcps-noopt,binary_buffers,2,4096,2048,0,complete
rexxcps-noopt,value_slots,785,194680,26040,0,complete
rexxcps-noopt,frame_activations,206644,0,0,5,complete
rexxcps-noopt,frame_reuses,206619,0,0,0,complete
rexxcps-opt,frame_blocks,21,134720,27992,0,complete
rexxcps-opt,standalone_values,165039,40929672,248,0,complete
rexxcps-opt,attribute_value_blocks,21,59520,7936,0,complete
rexxcps-opt,attribute_pointer_storage,57,5568,256,0,complete
rexxcps-opt,string_buffers,42023,1345984,128,0,complete
rexxcps-opt,binary_buffers,2,4096,2048,0,complete
rexxcps-opt,value_slots,165746,41105008,25792,0,complete
rexxcps-opt,frame_activations,47043,0,0,5,complete
rexxcps-opt,frame_reuses,47022,0,0,0,complete
