vm,candidate,n,cps_mean,cps_delta_vs_A_percent,cps_min,cps_max,wall_mean_s,wall_delta_vs_A_percent,wall_min_s,wall_max_s
rxvm,A,3,1132514.333,+0.000,1122694,1146742,8.847,+0.000,8.74,8.92
rxvm,B,3,1158309.333,+2.278,1140532,1175228,8.647,-2.261,8.52,8.78
rxvm,C,3,1150868.667,+1.621,1129725,1180035,8.707,-1.583,8.49,8.87
rxbvm,A,3,1095915.000,+0.000,1075992,1113945,9.140,+0.000,8.99,9.31
rxbvm,B,3,1105751.000,+0.898,1098914,1118543,9.060,-0.875,8.95,9.12
rxbvm,C,3,1107632.667,+1.069,1083713,1130936,9.047,-1.021,8.86,9.24
