rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,4110000,6,1,2,candidate,"NULL_REG(r1) | NULL_REG(r2)","r1=R0;r2=R1","substr",59
2,3077006,24,1,3,candidate,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1)","r1=R4;c1=int:256;r2=R7","benchmark_base64_roundtrip_noopt",97
3,2392001,11,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1)","r1=R10;r2=R4;r3=R2;c1=int:256","benchmark_base64_roundtrip_noopt",195
4,2054008,12,5,2,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2)","c1=int:18;c2=int:0","benchmark_base64_roundtrip_noopt",0
5,2054008,12,5,1,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1)","c1=int:1","benchmark_base64_roundtrip_noopt",4
6,2054008,12,5,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2)","c1=int:0;c2=int:1","benchmark_base64_roundtrip_noopt",2
7,2053005,20,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2)","r1=R6;c1=int:1;r2=R4;c2=int:256","benchmark_base64_roundtrip_noopt",94
8,2052505,9,4,1,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1)","c1=int:1","benchmark_base64_roundtrip_noopt",6
9,2051502,4,3,4,over_3_symbols,"BRTPANDT_ID_REG_INT(c1,r1,c2) | SCOPY_REG_REG(r2,r1)","c1=label@19;r1=R3;c2=int:512;r2=R1","length",10
10,2051502,4,3,3,candidate,"SCOPY_REG_REG(r1,r2) | BR_ID(c1)","r1=R1;r2=R3;c1=label@22","length",14
11,2051001,4,3,4,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R8;r2=R5;c1=int:1;c2=label@74","benchmark_base64_roundtrip_noopt",52
12,1369004,5,4,4,over_3_symbols,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3)","c1=int:2;c2=label@19;r1=R3;c3=int:512","binary",8
13,1369001,12,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4)","r1=R4;r2=R10;r3=R2;r4=R11","benchmark_base64_roundtrip_noopt",208
14,1369000,5,2,4,over_3_symbols,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R17;r2=R15;c1=int:1;c2=label@499","benchmark_base64_roundtrip_noopt",484
15,1368000,7,1,5,over_3_symbols,"SETTP_REG_INT(r1,c1) | CALL_REG_FUNC_REG(r2,c2,r3)","r1=R12;c1=int:512;r2=R13;c2=func@34976;r3=R8","benchmark_base64_roundtrip_noopt",723
16,686006,16,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | CALL_REG_FUNC_REG(r3,c1,r4)","r1=R7;r2=R4;r3=R3;c1=func@5240;r4=R6","benchmark_base64_roundtrip_noopt",100
17,686003,11,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2)","r1=R3;c1=int:1024;r2=R1;c2=int:2","benchmark_base64_roundtrip_noopt",337
18,685003,4,2,4,over_3_symbols,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R9;r2=R7;c1=int:1368;c2=label@189","benchmark_base64_roundtrip_noopt",148
19,685001,2,2,4,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R7;r2=R6;c1=int:0;c2=label@712","binary",703
20,685000,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2)","c1=label@231;r1=R15;r2=R14;r3=R11;c2=int:0","substr",191
21,685000,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | ILT_REG_REG_INT(r2,r3,c2)","c1=label@104;r1=R3;r2=R14;r3=R20;c2=int:0","substr",93
22,685000,1,1,5,over_3_symbols,"BRTPANDT_ID_REG_INT(c1,r1,c2) | LOAD_REG_STRING(r2,c3)","c1=label@44;r1=R21;c2=int:256;r2=R4;c3=string@321248","substr",32
23,685000,1,1,5,over_3_symbols,"GETANDTP_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2)","r1=R3;r2=R20;c1=int:256;r3=R6;c2=int:0","substr",73
24,685000,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | BGE_ID_REG_REG(c1,r3,r1)","r1=R1;r2=R20;c1=label@187;r3=R0","substr",177
25,685000,1,1,5,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | BRTF_ID_ID_REG(c2,c3,r1)","r1=R14;r2=R20;c1=int:0;c2=label@110;c3=label@113","substr",96
26,685000,1,1,5,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_REG(r3,r4,r1)","r1=R11;r2=R19;c1=int:1;r3=R0;r4=R13","substr",129
27,685000,1,1,5,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | BGE_ID_REG_INT(c1,r1,c2)","r1=R0;r2=R13;r3=R11;c1=label@144;c2=int:0","substr",133
28,685000,1,1,5,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | BLE_ID_REG_INT(c1,r1,c2)","r1=R8;r2=R20;r3=R1;c1=label@247;c2=int:0","substr",231
29,685000,1,1,3,candidate,"LOAD_REG_INT(r1,c1) | BRF_ID_REG(c2,r1)","r1=R16;c1=int:0;c2=label@224","substr",216
