record,dimension,origin_mask,shape_mask,bucket_upper,count,total,max_or_peak,notes
logical_seen,unique_values,,20,0,2,,,at least one observation of this simultaneous logical mask
logical_observations,events,,20,0,10,,,operation/reset/storage observation frequency
total,current_string_length,,,0,,141,,sum across unique addresses
histogram,current_string_length,,,0,696,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,current_string_length,,,1,1,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,current_string_length,,,4,7,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,current_string_length,,,8,12,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,current_string_length,,,16,3,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,current_string_capacity,,,0,,832,,sum across unique addresses
histogram,current_string_capacity,,,0,693,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,current_string_capacity,,,32,26,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,current_decimal_length,,,0,,0,,sum across unique addresses
histogram,current_decimal_length,,,0,719,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,current_decimal_capacity,,,0,,0,,sum across unique addresses
histogram,current_decimal_capacity,,,0,719,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,current_binary_length,,,0,,0,,sum across unique addresses
histogram,current_binary_length,,,0,719,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,current_binary_capacity,,,0,,0,,sum across unique addresses
histogram,current_binary_capacity,,,0,719,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,current_attributes,,,0,,43,,sum across unique addresses
histogram,current_attributes,,,0,717,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,current_attributes,,,16,1,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,current_attributes,,,32,1,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,current_attribute_capacity,,,0,,48,,sum across unique addresses
histogram,current_attribute_capacity,,,0,717,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,current_attribute_capacity,,,16,1,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,current_attribute_capacity,,,32,1,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
total,max_string_length,,,0,,1920,,sum across unique addresses
histogram,max_string_length,,,0,495,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_string_length,,,1,15,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_string_length,,,2,22,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
histogram,max_string_length,,,4,51,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
