vm,metric,s0,h2,h2_change_percent
rxtvm,total_instructions,775479029,53199057,-93.14
rxtvm,parseexec_calls,1120000,0,-100.00
rxtvm,stream_next_item_calls,6720000,0,-100.00
rxtvm,parseplan_executions,0,1120000,n/a
rxtvm,frame_activations,9242942,282942,-96.94
rxtvm,attribute_value_blocks,1120020,22,-100.00
rxtvm,attribute_pointer_storage,3360055,61,-100.00
rxtvm,value_slots,8960819,685,-99.99
rxtvm,string_buffers,4760920,2520901,-47.05
rxtvm,string_copy_string,46745653,6425656,-86.25
rxtvm,call_window_setup_swaps,1121236,1236,-99.89
rxbvm,total_instructions,775479029,53199057,-93.14
rxbvm,parseexec_calls,1120000,0,-100.00
rxbvm,stream_next_item_calls,6720000,0,-100.00
rxbvm,parseplan_executions,0,1120000,n/a
rxbvm,frame_activations,9242942,282942,-96.94
rxbvm,attribute_value_blocks,1120020,22,-100.00
rxbvm,attribute_pointer_storage,3360055,61,-100.00
rxbvm,value_slots,8960819,685,-99.99
rxbvm,string_buffers,4760920,2520901,-47.05
rxbvm,string_copy_string,46745653,6425656,-86.25
rxbvm,call_window_setup_swaps,1121236,1236,-99.89
