workload,vm,entry,schema,dynamic_instructions,calls,fresh_frames,reused_frames,frame_entry_work,copy_ops,copy_bytes,move_ops,move_bytes,clear_reset_destroy_ops,clear_reset_destroy_bytes,conversion_ops,allocation_requests,allocation_bytes,max_request_bytes,frame_high_water,branch_executions,branch_taken,branch_fallthrough,backedges,selector_attempts,frame_entry_ns,copy_ns,move_ns,clear_reset_destroy_ns,conversion_ns,status
permute,rxvm,opt,5,12906826,432950,7,432944,11256730,10259602,74012810,0,0,2893,2645,3,866526,248760,9144,7,1118005,685053,432952,252000,0,20902072,0,0,0,6084,complete
list,rxvm,opt,5,28477526,572500,44,572457,15030414,4611602,76811,80800,74400,282470,224818,3,1220456,26374640,10992,19,6054805,4035903,2018902,1805100,0,27798622,0,0,0,3083,complete
base64,rxvm,opt,5,46724369,500,2,499,21045,2221507,18789128,500,512000,1382,1075088,4,1700,610688,13104,2,13007111,9587060,3420051,344548,0,28278,0,0,0,6083,complete
rexxcps,rxvm,opt,5,21712209,112842,21,112822,3112186,864924,37681097,2624,8029,1278006,55930344,2465511,1181411,213949672,29256,5,3537332,2647212,890120,439430,0,5632998,0,0,0,86740220,complete
permute,rxbvm,opt,5,12906826,432950,7,432944,11256730,10259602,74012810,0,0,2893,2645,3,866526,248760,9144,7,1118005,685053,432952,252000,0,21126861,0,0,0,2166,complete
list,rxbvm,opt,5,28477526,572500,44,572457,15030414,4611602,76811,80800,74400,282470,224818,3,1220456,26374640,10992,19,6054805,4035903,2018902,1805100,0,27679384,0,0,0,2333,complete
base64,rxbvm,opt,5,46724369,500,2,499,21045,2221507,18789128,500,512000,1382,1075088,4,1700,610688,13104,2,13007111,9587060,3420051,344548,0,27994,0,0,0,3625,complete
rexxcps,rxbvm,opt,5,22826637,118442,21,118422,3268986,909324,39634697,2624,8036,1344006,58834358,2593511,1242211,225040872,29256,5,3717342,2782019,935323,462231,0,5816547,0,0,0,90437831,complete
