[0/2] Re-checking globbed directories...
[1/23] Building C object interpreter/CMakeFiles/rxbvm_core_objects.dir/interrupt.c.o
[2/23] Building C object interpreter/CMakeFiles/rxbvm_core_objects.dir/rxvmsequence.c.o
[3/23] Building C object interpreter/CMakeFiles/rxbvm_core_objects.dir/rxvml/rxvm_run.c.o
[4/23] Building C object interpreter/CMakeFiles/rxtvm_core_objects.dir/interrupt.c.o
[5/23] Building C object interpreter/CMakeFiles/rxbvm_core_objects.dir/rxpafuncs.c.o
[6/23] Building C object interpreter/CMakeFiles/rxbvm_core_objects.dir/rxvmload.c.o
[7/23] Building C object interpreter/CMakeFiles/rxtvm_core_objects.dir/rxvml/rxvm_run.c.o
[8/23] Building C object interpreter/CMakeFiles/rxtvm_core_objects.dir/rxvmload.c.o
[9/23] Building C object interpreter/CMakeFiles/rxbvm_core_objects.dir/rxspawn.c.o
[10/23] Building C object interpreter/CMakeFiles/rxtvm_core_objects.dir/rxpafuncs.c.o
[11/23] Building C object interpreter/CMakeFiles/rxvm_platform_objects.dir/rxvmsock.c.o
[12/23] Building C object interpreter/CMakeFiles/rxtvm_core_objects.dir/rxvmsequence.c.o
[13/23] Building C object interpreter/CMakeFiles/rxtvm_core_objects.dir/rxspawn.c.o
[14/23] Building C object interpreter/CMakeFiles/test_rxvmprofile.dir/tests/test_rxvmprofile.c.o
[15/23] Building C object interpreter/CMakeFiles/rxbvm_core_objects.dir/rxvmprofile.c.o
[16/23] Building C object interpreter/CMakeFiles/rxtvm_core_objects.dir/rxvmprofile.c.o
[17/23] Building C object interpreter/CMakeFiles/rxbvm_core_objects.dir/rxvmintp.c.o
[18/23] Linking C executable bin/rxbvm
[19/23] Linking C executable bin/test_rxvmprofile
[20/23] Creating rxvm symlink to rxbvm
[21/23] Building C object interpreter/CMakeFiles/rxtvm_core_objects.dir/rxvmintp.c.o
[22/23] Linking C executable bin/rxtvm
