workload,vm,metric,pairs,before_median,after_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total
Sieve,rxvm,elapsed_ns,12,24010500.000000,24023000.000000,-8.480988,-0.829562,0.124500,0.791391,2.460361,-0.565139,-2.327652,1.197374,noisy_inconclusive,4,12
Sieve,rxbvm,elapsed_ns,12,27238500.000000,27265500.000000,-4.960379,-0.630700,0.062916,1.752423,4.980539,0.192891,-1.556105,1.941887,noisy_inconclusive,5,12
Permute,rxvm,elapsed_ns,12,81843500.000000,34179500.000000,-60.494296,-58.699922,-58.401325,-58.155493,-56.635144,-58.446333,-59.030189,-57.862478,clear_favorable,12,12
Permute,rxbvm,elapsed_ns,12,87114500.000000,37562000.000000,-58.132628,-57.204350,-56.856895,-56.730424,-56.555834,-57.009671,-57.287960,-56.731383,clear_favorable,12,12
Bounce,rxvm,elapsed_ns,12,41418500.000000,72825500.000000,73.111414,74.051719,75.743079,77.515975,81.721549,76.139956,74.531942,77.747969,clear_adverse,0,12
Bounce,rxbvm,elapsed_ns,12,50459000.000000,84609500.000000,63.601732,65.052144,67.266751,68.678920,70.512950,67.083348,65.669862,68.496834,clear_adverse,0,12
Richards,rxvm,elapsed_ns,12,454587000.000000,355938000.000000,-22.764475,-21.876681,-21.525920,-21.413617,-20.651349,-21.627336,-21.954408,-21.300265,clear_favorable,12,12
Richards,rxbvm,elapsed_ns,12,460349500.000000,362790000.000000,-22.127430,-21.603782,-20.964519,-20.442673,-19.736750,-20.981441,-21.468029,-20.494853,clear_favorable,12,12
Base64,rxvm,elapsed_ns,12,334675500.000000,342674000.000000,-19.355354,-4.187538,7.669114,11.885108,14.217469,2.770050,-4.382263,9.922363,noisy_inconclusive,5,12
Base64,rxbvm,elapsed_ns,12,331295500.000000,351907500.000000,-24.369707,-5.007677,3.386596,12.341396,23.298396,2.942231,-5.190288,11.074750,noisy_inconclusive,4,12
RexxCPS,rxvm,elapsed_ns,12,947529500.000000,930490000.000000,-4.521551,-2.875093,-0.695186,1.986379,4.520389,-0.402921,-2.371218,1.565377,noisy_inconclusive,7,12
RexxCPS,rxbvm,elapsed_ns,12,939832500.000000,937353000.000000,-5.080645,-2.053119,0.911195,1.351543,2.322772,-0.283350,-1.809176,1.242476,noisy_inconclusive,5,12
